 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P1W1
      OFFSETS:	0-2
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	بصراحة
     IS_TRANS:	bSrAHp
        INDEX:	P1W2
      OFFSETS:	3-9
       TOKENS:	P1W2-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SarAHap_1]
   UNSPLITVOC:	(biSarAHap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+SarAH+ap
        GLOSS:	with/by+sincerity/candor/frankness/explicitly/openly+[fem.sg.]

 INPUT STRING:	جاى
     IS_TRANS:	jAY
        INDEX:	P1W3
      OFFSETS:	10-13
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAy~_1]
   UNSPLITVOC:	(jAy~)
          POS:	ADJ.VN
          VOC:	jAy~
        GLOSS:	coming

 INPUT STRING:	عليهم
     IS_TRANS:	Elyhm
        INDEX:	P1W4
      OFFSETS:	14-19
       TOKENS:	P1W5-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayhum)
          POS:	PREP+PRON_3P
          VOC:	EalaY+hum
        GLOSS:	on/above+them

 INPUT STRING:	اوى
     IS_TRANS:	AwY
        INDEX:	P1W5
      OFFSETS:	20-23
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(>awiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	much/many/a lot

 INPUT STRING:	وممكن
     IS_TRANS:	wmmkn
        INDEX:	P1W6
      OFFSETS:	24-29
       TOKENS:	P1W8-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(wimumokin)
          POS:	CONJ+ADJ
          VOC:	wi+mumokin
        GLOSS:	and+possible

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P1W7
      OFFSETS:	30-34
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwn)
          POS:	IV3MS+IV
          VOC:	yi+kuwn
        GLOSS:	he/it+be

 INPUT STRING:	ظالمهم
     IS_TRANS:	ZAlmhm
        INDEX:	P1W8
      OFFSETS:	35-41
       TOKENS:	P1W11-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ZAlim_1]
   UNSPLITVOC:	(ZAlmhum)
          POS:	ADJ+PRON_3P
          VOC:	ZAlm+hum
        GLOSS:	be unfair with+they

 INPUT STRING:	وللاسف
     IS_TRANS:	wllAsf
        INDEX:	P2W1
      OFFSETS:	0-6
       TOKENS:	P2W1-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asaf_1]
   UNSPLITVOC:	(wilil>asaf)
          POS:	CONJ+PREP+DET+NOUN
          VOC:	wi+li+Al+>asaf
        GLOSS:	and+for/to+the+regret/sorry

 INPUT STRING:	لسة
     IS_TRANS:	lsp
        INDEX:	P2W2
      OFFSETS:	7-10
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	still

 INPUT STRING:	محدش
     IS_TRANS:	mHd$
        INDEX:	P2W3
      OFFSETS:	11-15
       TOKENS:	P2W5-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(mA_Had~i$)
          POS:	NEG_PART+NOUN+NEG_PART
          VOC:	mA+Had~+$
        GLOSS:	not+one/person/individual+not

 INPUT STRING:	عرف
     IS_TRANS:	Erf
        INDEX:	P2W4
      OFFSETS:	16-19
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earaf_1]
   UNSPLITVOC:	(Earaf)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Earaf+(null)
        GLOSS:	know/be known+he/it

 INPUT STRING:	نتيجة
     IS_TRANS:	ntyjp
        INDEX:	P2W5
      OFFSETS:	20-25
       TOKENS:	P2W9-P2W9
