 INPUT STRING:	أخواتي
     IS_TRANS:	>xwAty
        INDEX:	P1W1
      OFFSETS:	0-6
       TOKENS:	P1W1-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>uxot_1]
   UNSPLITVOC:	(>axawAtiy)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_1S
          VOC:	>axaw+At+iy
        GLOSS:	sisters+[fem.pl.]+my

 INPUT STRING:	وأخواني
     IS_TRANS:	w>xwAny
        INDEX:	P1W2
      OFFSETS:	7-14
       TOKENS:	P1W3-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ax~_1]
   UNSPLITVOC:	(wi<ixowAniy)
          POS:	CONJ+NOUN+POSS_PRON_1S
          VOC:	wi+<ixowAn+iy
        GLOSS:	and+brothers+my

 INPUT STRING:	أعضاء
     IS_TRANS:	>EDA'
        INDEX:	P1W3
      OFFSETS:	15-20
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EuDow_1]
   UNSPLITVOC:	(>aEoDA')
          POS:	NOUN
          VOC:	>aEoDA'
        GLOSS:	members

 INPUT STRING:	عالم
     IS_TRANS:	EAlm
        INDEX:	P1W4
      OFFSETS:	21-25
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAlam_1]
   UNSPLITVOC:	(EAlam)
          POS:	NOUN
          VOC:	EAlam
        GLOSS:	world

 INPUT STRING:	ابن
     IS_TRANS:	Abn
        INDEX:	P1W5
      OFFSETS:	26-29
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ibon_1]
   UNSPLITVOC:	(<ibon)
          POS:	NOUN
          VOC:	<ibon
        GLOSS:	son

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P1W6
      OFFSETS:	30-33
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	أعترف
     IS_TRANS:	>Etrf
        INDEX:	P2W1
      OFFSETS:	0-5
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aEotaraf_1]
   UNSPLITVOC:	(>aEotarif)
          POS:	IV1S+IV
          VOC:	>a+Eotarif
        GLOSS:	I+acknowledge/recognize/admit/confess

 INPUT STRING:	بأنني
     IS_TRANS:	b>nny
        INDEX:	P2W2
      OFFSETS:	6-11
       TOKENS:	P2W2-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~_1]
