 INPUT STRING:	قرر
     IS_TRANS:	qrr
        INDEX:	P1W1
      OFFSETS:	0-3
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qar~ar_1]
   UNSPLITVOC:	(qar~ar)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qar~ar+(null)
        GLOSS:	decide/resolve+he/it

 INPUT STRING:	محمد
     IS_TRANS:	mHmd
        INDEX:	P1W2
      OFFSETS:	4-8
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHam~ad_1]
   UNSPLITVOC:	(maHam~ad)
          POS:	NOUN_PROP
          VOC:	maHam~ad
        GLOSS:	Mahamad

 INPUT STRING:	بركات
     IS_TRANS:	brkAt
        INDEX:	P1W3
      OFFSETS:	9-14
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[barakap_1]
   UNSPLITVOC:	(barakAt)
          POS:	NOUN_PROP+NSUFF_FEM_PL
          VOC:	barak+At
        GLOSS:	Barakaat/Barakat+[fem.pl.]

 INPUT STRING:	لاعب
     IS_TRANS:	lAEb
        INDEX:	P1W4
      OFFSETS:	15-19
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAEib_1]
   UNSPLITVOC:	(lAEib)
          POS:	NOUN
          VOC:	lAEib
        GLOSS:	player/athlete

 INPUT STRING:	النادى
     IS_TRANS:	AlnAdY
        INDEX:	P1W5
      OFFSETS:	20-26
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAdiy_1]
   UNSPLITVOC:	(Aln~Adiy)
          POS:	DET+NOUN
          VOC:	Al+nAdiy
        GLOSS:	the+club/association/clubs/associations

 INPUT STRING:	الأهلى
     IS_TRANS:	Al>hlY
        INDEX:	P1W6
      OFFSETS:	27-33
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaholiy_1]
   UNSPLITVOC:	(AlAholiy)
          POS:	DET+NOUN_PROP
          VOC:	Al+Aholiy
        GLOSS:	the+Ahly/Ahli

 INPUT STRING:	إعتزال
     IS_TRANS:	<EtzAl
        INDEX:	P1W7
      OFFSETS:	34-40
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotizAl_1]
   UNSPLITVOC:	(AiEotizAl)
          POS:	NOUN
          VOC:	AiEotizAl
        GLOSS:	retirement/seclusion

 INPUT STRING:	الكرة
     IS_TRANS:	Alkrp
        INDEX:	P1W8
      OFFSETS:	41-46
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kurap_1]
   UNSPLITVOC:	(Alkurap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+kur+ap
        GLOSS:	the+ball/globe/sphere/balls/globes/spheres/soccer/football+[fem.sg.]

 INPUT STRING:	نهائياً
     IS_TRANS:	nhA}yAF
        INDEX:	P1W9
      OFFSETS:	47-54
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nihA}iy~_1]
   UNSPLITVOC:	(nihA}iy~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	nihA}iy~+AF
        GLOSS:	final/definitive/conclusive+[acc.indef.]

 INPUT STRING:	بسبب
     IS_TRANS:	bsbb
