 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P1W1
      OFFSETS:	0-2
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P1W2
      OFFSETS:	3-5
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	ليس
     IS_TRANS:	lys
        INDEX:	P1W3
      OFFSETS:	6-9
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layosa_1]
   UNSPLITVOC:	(layosa)
          POS:	NEG_PART
          VOC:	layosa
        GLOSS:	not

 INPUT STRING:	لديكم
     IS_TRANS:	ldykm
        INDEX:	P1W4
      OFFSETS:	10-15
       TOKENS:	P1W4-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ladaY_1]
   UNSPLITVOC:	(ladaykum)
          POS:	NOUN+POSS_PRON_2P
          VOC:	ladiY+kum
        GLOSS:	with/by+you [masc.pl.]

 INPUT STRING:	حياء
     IS_TRANS:	HyA'
        INDEX:	P1W5
      OFFSETS:	16-20
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HayA'_1]
   UNSPLITVOC:	(HayA')
          POS:	NOUN
          VOC:	HayA'
        GLOSS:	modesty/shame

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P1W6
      OFFSETS:	21-23
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	خشي
     IS_TRANS:	x$y
        INDEX:	P1W7
      OFFSETS:	24-27
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xi$aY_1]
   UNSPLITVOC:	(xi$aY)
          POS:	NOUN
          VOC:	xi$aY
        GLOSS:	modesty/shame

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W8
      OFFSETS:	27-28
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W9
      OFFSETS:	28-29
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W10
      OFFSETS:	29-30
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W11
      OFFSETS:	30-31
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W12
      OFFSETS:	31-32
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W13
      OFFSETS:	32-33
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W14
      OFFSETS:	33-34
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	استقالة
     IS_TRANS:	AstqAlp
        INDEX:	P1W15
      OFFSETS:	35-42
       TOKENS:	P1W16-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotiqAlap_1]
   UNSPLITVOC:	(AisotiqAlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	AisotiqAl+ap
        GLOSS:	resignation/retirement+[fem.sg.]

 INPUT STRING:	وزير
     IS_TRANS:	wzyr
        INDEX:	P1W16
      OFFSETS:	43-47
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waziyr_1]
   UNSPLITVOC:	(waziyr)
          POS:	NOUN
          VOC:	waziyr
        GLOSS:	minister

 INPUT STRING:	الداخلية
     IS_TRANS:	AldAxlyp
        INDEX:	P1W17
      OFFSETS:	48-56
       TOKENS:	P1W18-P1W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAxoliy~ap_1]
   UNSPLITVOC:	(Ald~Axoliy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+dAxoliy~+ap
        GLOSS:	the+interior/of state+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P1W18
      OFFSETS:	57-58
       TOKENS:	P1W19-P1W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P2W1
      OFFSETS:	0-2
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	العالم
     IS_TRANS:	AlEAlm
        INDEX:	P2W2
      OFFSETS:	3-9
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAlam_1]
   UNSPLITVOC:	(AlEAlam)
          POS:	DET+NOUN
          VOC:	Al+EAlam
        GLOSS:	the+world/people

 INPUT STRING:	المتمدين
     IS_TRANS:	Almtmdyn
        INDEX:	P2W3
      OFFSETS:	10-18
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Almutamadoyin_1]
   UNSPLITVOC:	(Almutamadoyin)
          POS:	DET+ADJ
          VOC:	Al+mutamadoyin
        GLOSS:	the+civilized/sophisticated

 INPUT STRING:	والمتحضر
