 INPUT STRING:	ألحقو
     IS_TRANS:	>lHqw
        INDEX:	P1W1
      OFFSETS:	0-5
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laHaq_1]
   UNSPLITVOC:	(AiloHaquwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	AiloHaq+uwA
        GLOSS:	hurry+you

 INPUT STRING:	يابنات
     IS_TRANS:	yAbnAt
        INDEX:	P1W2
      OFFSETS:	6-12
       TOKENS:	P1W2-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(yAbanAt)
          POS:	VOC_PART+NOUN
          VOC:	yaA+banAt
        GLOSS:	oh+daughter/girl/daughters/girls

 INPUT STRING:	البرادعى
     IS_TRANS:	AlbrAdEY
        INDEX:	P1W3
      OFFSETS:	13-21
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[barAdiEiy~_2]
   UNSPLITVOC:	(AlbarAdiEiy~)
          POS:	DET+NOUN_PROP
          VOC:	Al+barAdiEiy~
        GLOSS:	the+Baradei

 INPUT STRING:	بيتكلم
     IS_TRANS:	bytklm
        INDEX:	P1W4
      OFFSETS:	22-28
       TOKENS:	P1W5-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitokal~im_1]
   UNSPLITVOC:	(biyitokal~im)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+tokal~im
        GLOSS:	[present-tense]+he/it+speak

 INPUT STRING:	حذر
     IS_TRANS:	H*r
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ha*~ar_1]
   UNSPLITVOC:	(Ha*~ar)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Ha*~ar+(null)
        GLOSS:	warn/caution/be warned/be cautioned+he/it

 INPUT STRING:	المدير
     IS_TRANS:	Almdyr
        INDEX:	P2W2
      OFFSETS:	4-10
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mudiyr_1]
   UNSPLITVOC:	(Almudiyr)
          POS:	DET+NOUN
          VOC:	Al+mudiyr
        GLOSS:	the+director/manager/chief/directors/managers

 INPUT STRING:	السابق
     IS_TRANS:	AlsAbq
        INDEX:	P2W3
      OFFSETS:	11-17
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAbiq_1]
   UNSPLITVOC:	(Als~Abiq)
          POS:	DET+ADJ
          VOC:	Al+sAbiq
        GLOSS:	the+former/previous/preceding

 INPUT STRING:	لوكالة
     IS_TRANS:	lwkAlp
        INDEX:	P2W4
      OFFSETS:	18-24
       TOKENS:	P2W4-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wikAlap_1]
   UNSPLITVOC:	(liwikAlap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+wikAl+ap
        GLOSS:	for/to+agency+[fem.sg.]

 INPUT STRING:	الطاقة
     IS_TRANS:	AlTAqp
        INDEX:	P2W5
      OFFSETS:	25-31
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAqap_1]
   UNSPLITVOC:	(AlT~Aqap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+TAq+ap
        GLOSS:	the+energy/power/potential+[fem.sg.]

 INPUT STRING:	الذرية
     IS_TRANS:	Al*ryp
        INDEX:	P2W6
      OFFSETS:	32-38
       TOKENS:	P2W7-P2W7
