 INPUT STRING:	أعلن
     IS_TRANS:	>Eln
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aEolan_1]
   UNSPLITVOC:	(>aEolan)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	>aEolan+(null)
        GLOSS:	announce/declare/be announced/be declared+he/it

 INPUT STRING:	وزير
     IS_TRANS:	wzyr
        INDEX:	P1W2
      OFFSETS:	5-9
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waziyr_1]
   UNSPLITVOC:	(waziyr)
          POS:	NOUN
          VOC:	waziyr
        GLOSS:	minister

 INPUT STRING:	شئون
     IS_TRANS:	$}wn
        INDEX:	P1W3
      OFFSETS:	10-14
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	($u}uwn)
          POS:	NOUN
          VOC:	$u}uwn
        GLOSS:	matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	مجلسى
     IS_TRANS:	mjlsY
        INDEX:	P1W4
      OFFSETS:	15-20
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(majolisay)
          POS:	NOUN+NSUFF_MASC_DU
          VOC:	majolis+ay
        GLOSS:	council/board+two

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P1W5
      OFFSETS:	21-26
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	والشورى
