 INPUT STRING:	سميرة
     IS_TRANS:	smyrp
        INDEX:	P1W1
      OFFSETS:	0-5
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[samiyrap_1]
   UNSPLITVOC:	(samiyrap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	samiyr+ap
        GLOSS:	Samira/Sameera+[fem.sg.]

 INPUT STRING:	ترفع
     IS_TRANS:	trfE
        INDEX:	P1W2
      OFFSETS:	6-10
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rafaE_1]
   UNSPLITVOC:	(tirofaE)
          POS:	IV3FS+IV
          VOC:	ti+rofaE
        GLOSS:	it/they/she+promote/raise

 INPUT STRING:	يدها
     IS_TRANS:	ydhA
        INDEX:	P1W3
      OFFSETS:	11-15
       TOKENS:	P1W3-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yad~_1]
   UNSPLITVOC:	(yad~ahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	yad~+hA
        GLOSS:	hand+its/their/her

 INPUT STRING:	بعلامة
     IS_TRANS:	bElAmp
        INDEX:	P1W4
      OFFSETS:	16-22
       TOKENS:	P1W5-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalAmap_1]
   UNSPLITVOC:	(biEalAmap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+EalAm+ap
        GLOSS:	with/by+mark/sign/point/marks/signs/points+[fem.sg.]

 INPUT STRING:	النصر
     IS_TRANS:	AlnSr
        INDEX:	P1W5
      OFFSETS:	23-28
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naSor_1]
   UNSPLITVOC:	(Aln~aSor)
          POS:	DET+NOUN
          VOC:	Al+naSor
        GLOSS:	the+victory/assistance

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P1W6
      OFFSETS:	29-32
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	الحكم
     IS_TRANS:	AlHkm
        INDEX:	P1W7
      OFFSETS:	33-38
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukom_1]
   UNSPLITVOC:	(AlHukom)
          POS:	DET+NOUN
          VOC:	Al+Hukom
        GLOSS:	the+judgment/decision/verdict/statutes/laws/judgments/decisions//verdicts

 INPUT STRING:	التاريخي
     IS_TRANS:	AltAryxy
        INDEX:	P1W8
      OFFSETS:	39-47
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAriyxiy_1]
   UNSPLITVOC:	(Alt~Ariyxiy)
          POS:	DET+ADJ
          VOC:	Al+tAriyxiy
        GLOSS:	the+historical

 INPUT STRING:	بثبوت
     IS_TRANS:	bvbwt
        INDEX:	P1W9
      OFFSETS:	48-53
       TOKENS:	P1W11-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vubuwt_1]
   UNSPLITVOC:	(bivubuwt)
          POS:	PREP+NOUN
          VOC:	bi+vubuwt
        GLOSS:	with/by+proof

 INPUT STRING:	واقعة
     IS_TRANS:	wAqEp
        INDEX:	P1W10
      OFFSETS:	54-59
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAqiEap_1]
   UNSPLITVOC:	(wAqiEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	wAqiE+ap
        GLOSS:	incident+[fem.sg.]

 INPUT STRING:	هتك
     IS_TRANS:	htk
        INDEX:	P1W11
      OFFSETS:	60-63
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hatok_1]
   UNSPLITVOC:	(hatok)
          POS:	NOUN
          VOC:	hatok
        GLOSS:	tearing apart/disclosure/degradation

 INPUT STRING:	العرض
     IS_TRANS:	AlErD
        INDEX:	P1W12
      OFFSETS:	64-69
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaroD_1]
   UNSPLITVOC:	(AlEaroD)
          POS:	DET+NOUN
          VOC:	Al+EaroD
        GLOSS:	the+honor

 INPUT STRING:	بالسجن
     IS_TRANS:	bAlsjn
        INDEX:	P1W13
      OFFSETS:	70-76
       TOKENS:	P1W16-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sijon_1]
   UNSPLITVOC:	(biAls~ijon)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+sijon
        GLOSS:	with/by+the+prison

 INPUT STRING:	الحربي
     IS_TRANS:	AlHrby
        INDEX:	P1W14
      OFFSETS:	77-83
       TOKENS:	P1W18-P1W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Harobiy_1]
   UNSPLITVOC:	(AlHarobiy)
          POS:	DET+ADJ
          VOC:	Al+Harobiy
        GLOSS:	the+military/war-related

 INPUT STRING:	وفور
     IS_TRANS:	wfwr
        INDEX:	P1W15
      OFFSETS:	84-88
       TOKENS:	P1W19-P1W20
