 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P1W1
      OFFSETS:	1-3
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P1W2
      OFFSETS:	4-6
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P1W3
      OFFSETS:	7-9
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P1W4
      OFFSETS:	10-13
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W5
      OFFSETS:	13-14
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W6
      OFFSETS:	14-15
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	اذن
     IS_TRANS:	A*n
        INDEX:	P1W7
      OFFSETS:	15-18
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<i*an_1]
   UNSPLITVOC:	(<i*an)
          POS:	ADV
          VOC:	<i*an
        GLOSS:	hence so

 INPUT STRING:	ورينا
     IS_TRANS:	wrynA
        INDEX:	P1W8
      OFFSETS:	19-24
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wrynA)
          POS:	NO_FUNC
          VOC:	wrynA
        GLOSS:	nogloss

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P1W9
      OFFSETS:	25-28
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aiyh_2]
   UNSPLITVOC:	(Aiyh)
          POS:	REL_PRON
          VOC:	Aiyh
        GLOSS:	what/which

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P1W10
      OFFSETS:	29-31
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/she/they

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P1W11
      OFFSETS:	32-35
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	ابتسامة
     IS_TRANS:	AbtsAmp
        INDEX:	P2W1
      OFFSETS:	2-9
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AibotisAmap_1]
   UNSPLITVOC:	(AibotisAmap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	AibotisAm+ap
        GLOSS:	smile+[fem.sg.]

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P2W2
      OFFSETS:	10-13
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	متتنسيش
     IS_TRANS:	mttnsy$
        INDEX:	P2W3
      OFFSETS:	14-21
       TOKENS:	P2W3-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<itonasaY_1]
   UNSPLITVOC:	(mAtitonisiy$)
          POS:	NEG_PART+IV3FS+IV_PASS+NEG_PART
          VOC:	mA+ti+tonisiy+$
        GLOSS:	not+it/she+forgotten+not

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P3W1
      OFFSETS:	1-4
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	this

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P3W2
      OFFSETS:	5-7
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	رأي
     IS_TRANS:	r>y
        INDEX:	P3W3
      OFFSETS:	8-11
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(ra>oy)
          POS:	NOUN
          VOC:	ra>oy
        GLOSS:	opinion/view/idea

 INPUT STRING:	وزارة
     IS_TRANS:	wzArp
        INDEX:	P3W4
      OFFSETS:	12-17
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wizArap_1]
   UNSPLITVOC:	(wizArap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	wizAr+ap
        GLOSS:	ministry+[fem.sg.]

 INPUT STRING:	السياحة
     IS_TRANS:	AlsyAHp
        INDEX:	P3W5
      OFFSETS:	18-25
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAHap_1]
   UNSPLITVOC:	(Als~iyAHap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+siyAH+ap
        GLOSS:	the+tourism+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
