 INPUT STRING:	نحن
     IS_TRANS:	nHn
        INDEX:	P1W1
      OFFSETS:	1-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[naHonu_1]
   UNSPLITVOC:	(naHonu)
          POS:	PRON_1P
          VOC:	naHonu
        GLOSS:	we

 INPUT STRING:	نستحق
     IS_TRANS:	nstHq
        INDEX:	P1W2
      OFFSETS:	5-10
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{isotaHaq~_1]
   UNSPLITVOC:	(nasotaHiq~u)
          POS:	IV1P+IV+IVSUFF_MOOD:I
          VOC:	na+sotaHiq~+u
        GLOSS:	we+deserve/merit+[ind.]

 INPUT STRING:	وما
     IS_TRANS:	wmA
        INDEX:	P1W3
      OFFSETS:	13-16
       TOKENS:	P1W3-P1W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mA_7]
   UNSPLITVOC:	(wamA)
          POS:	CONJ+VERB
          VOC:	wa+mA
        GLOSS:	and+not

 INPUT STRING:	لجرح
     IS_TRANS:	ljrH
        INDEX:	P1W4
      OFFSETS:	17-21
       TOKENS:	P1W5-P1W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[juroH_1]
   UNSPLITVOC:	(lijuroHK)
          POS:	PREP+NOUN+CASE_INDEF_GEN
          VOC:	li+juroH+K
        GLOSS:	for/to+wound/injury+[indef.gen.]

 INPUT STRING:	بميت
     IS_TRANS:	bmyt
        INDEX:	P1W5
      OFFSETS:	22-26
       TOKENS:	P1W7-P1W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[may~it_1]
   UNSPLITVOC:	(bimay~itK)
          POS:	PREP+NOUN+CASE_INDEF_GEN
          VOC:	bi+may~it+K
