 INPUT STRING:	بسم
     IS_TRANS:	bsm
        INDEX:	P1W1
      OFFSETS:	1-4
       TOKENS:	P1W1-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sim~_1]
   UNSPLITVOC:	(bisim~)
          POS:	PREP+NOUN
          VOC:	bi+sim~
        GLOSS:	with/by+name

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P1W2
      OFFSETS:	5-9
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	الرحمن
     IS_TRANS:	AlrHmn
        INDEX:	P1W3
      OFFSETS:	10-16
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlraHoman_1]
   UNSPLITVOC:	(AlraHoman)
          POS:	DET+ADJ
          VOC:	Al+raHoman
        GLOSS:	the+merciful

 INPUT STRING:	الرحيم
     IS_TRANS:	AlrHym
        INDEX:	P1W4
      OFFSETS:	17-23
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raHiym_1]
   UNSPLITVOC:	(Alr~aHiym)
          POS:	DET+ADJ
          VOC:	Al+raHiym
        GLOSS:	the+compassionate

 INPUT STRING:	السلام
     IS_TRANS:	AlslAm
        INDEX:	P2W1
      OFFSETS:	0-6
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salAm_1]
   UNSPLITVOC:	(Als~alAm)
          POS:	DET+NOUN
          VOC:	Al+salAm
        GLOSS:	the+greeting/salute/salutation

 INPUT STRING:	عليكم
     IS_TRANS:	Elykm
        INDEX:	P2W2
      OFFSETS:	7-12
       TOKENS:	P2W2-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealaykum)
          POS:	PREP+PRON_2P
          VOC:	EalaY+kum
        GLOSS:	on/above+you

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W3
      OFFSETS:	12-13
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W4
      OFFSETS:	13-14
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W5
      OFFSETS:	14-15
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W6
      OFFSETS:	15-16
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W7
      OFFSETS:	16-17
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W8
      OFFSETS:	17-18
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W9
      OFFSETS:	18-19
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W10
      OFFSETS:	19-20
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
