 INPUT STRING:	جميعنا
     IS_TRANS:	jmyEnA
        INDEX:	P1W1
      OFFSETS:	0-6
       TOKENS:	P1W1-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jamiyE_1]
   UNSPLITVOC:	(jamiyEnA)
          POS:	NOUN_QUANT+POSS_PRON_1P
          VOC:	jamiyE+nA
        GLOSS:	all/entire/every/whole+our

 INPUT STRING:	مر
     IS_TRANS:	mr
        INDEX:	P1W2
      OFFSETS:	7-9
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mar~_1]
   UNSPLITVOC:	(mar~)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	mar~+(null)
        GLOSS:	pass/go through+he/it

 INPUT STRING:	بأشخاص
     IS_TRANS:	b>$xAS
        INDEX:	P1W3
      OFFSETS:	10-16
       TOKENS:	P1W4-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$axoS_1]
   UNSPLITVOC:	(bi>a$oxAS)
          POS:	PREP+NOUN
          VOC:	bi+>a$oxAS
        GLOSS:	with/by+individuals/persons

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P1W4
      OFFSETS:	17-19
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الحياة
     IS_TRANS:	AlHyAp
        INDEX:	P1W5
      OFFSETS:	20-26
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HayAp_1]
   UNSPLITVOC:	(AlHayAp)
          POS:	DET+NOUN
          VOC:	Al+HayAp
