 INPUT STRING:	العالم
     IS_TRANS:	AlEAlm
        INDEX:	P1W1
      OFFSETS:	0-6
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAlam_1]
   UNSPLITVOC:	(AlEAlam)
          POS:	DET+NOUN
          VOC:	Al+EAlam
        GLOSS:	the+world

 INPUT STRING:	بأسرة
     IS_TRANS:	b>srp
        INDEX:	P1W2
      OFFSETS:	7-12
       TOKENS:	P1W2-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asor_1]
   UNSPLITVOC:	(bi>asoruh)
          POS:	PREP+NOUN+POSS_PRON_3MS
          VOC:	bi+>asor+uh
        GLOSS:	with/by+entirety+its/his

 INPUT STRING:	وكل
     IS_TRANS:	wkl
        INDEX:	P1W3
      OFFSETS:	13-16
       TOKENS:	P1W5-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(wikul~)
          POS:	CONJ+NOUN_QUANT
          VOC:	wi+kul~
        GLOSS:	and+all/every/entire/whole

 INPUT STRING:	المصريين
     IS_TRANS:	AlmSryyn
        INDEX:	P1W4
      OFFSETS:	17-25
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy~iyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+maSoriy~+iyn
        GLOSS:	the+Egyptian+[masc.pl.]

 INPUT STRING:	شاهدوا
     IS_TRANS:	$AhdwA
        INDEX:	P1W5
      OFFSETS:	26-32
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ahid_1]
   UNSPLITVOC:	($AhoduwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	$Ahod+uwA
        GLOSS:	watch/observe/witness+they [verb]

 INPUT STRING:	الفيديو
     IS_TRANS:	Alfydyw
        INDEX:	P1W6
      OFFSETS:	33-40
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiydyuw_1]
   UNSPLITVOC:	(Alfiydyuw)
          POS:	DET+NOUN
          VOC:	Al+fiydyuw
        GLOSS:	the+video

 INPUT STRING:	العار
     IS_TRANS:	AlEAr
        INDEX:	P1W7
      OFFSETS:	41-46
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlEAr_1]
   UNSPLITVOC:	(AlEAr)
          POS:	DET+ADJ
          VOC:	Al+EAr
        GLOSS:	the+shame/disgrace/infamy

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P1W8
      OFFSETS:	47-50
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	العسكرية
     IS_TRANS:	AlEskryp
        INDEX:	P1W9
      OFFSETS:	51-59
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Easokariy~ap_1]
   UNSPLITVOC:	(AlEasokariy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Easokariy~+ap
        GLOSS:	the+military/army+[fem.sg.]

 INPUT STRING:	المصرية
     IS_TRANS:	AlmSryp
        INDEX:	P1W10
      OFFSETS:	60-67
       TOKENS:	P1W13-P1W13
