 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P1W1
      OFFSETS:	0-2
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	قلت
     IS_TRANS:	qlt
        INDEX:	P1W2
      OFFSETS:	3-6
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qult)
          POS:	PV+PVSUFF_SUBJ:2MS
          VOC:	qul+t
        GLOSS:	said/say/be said/say/(for example)+you

 INPUT STRING:	المصريين
     IS_TRANS:	AlmSryyn
        INDEX:	P1W3
      OFFSETS:	7-15
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy~iyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+maSoriy~+iyn
        GLOSS:	the+Egyptians+two

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P1W4
      OFFSETS:	16-18
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P1W5
      OFFSETS:	19-23
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who

 INPUT STRING:	يدخلوا
     IS_TRANS:	ydxlwA
        INDEX:	P1W6
      OFFSETS:	24-30
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daxal_1]
   UNSPLITVOC:	(yudoxuluwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yu+doxul+uwA
        GLOSS:	they+enter/be entered+we

 INPUT STRING:	مفيش
     IS_TRANS:	mfy$
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(mafiyh$)
          POS:	NEG_PART+PREP+PRON_3MS+NEG_PART
          VOC:	ma+fiy+h+$
        GLOSS:	not+in+he/it+not

 INPUT STRING:	فايده
     IS_TRANS:	fAydh
        INDEX:	P2W2
      OFFSETS:	5-10
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAyodap_1]
   UNSPLITVOC:	(fAyodap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fAyod+ap
        GLOSS:	benefit+[fem.sg.]

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P3W1
      OFFSETS:	0-3
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	عاوزه
     IS_TRANS:	EAwzh
        INDEX:	P3W2
      OFFSETS:	4-9
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAwiz_1]
   UNSPLITVOC:	(EAwozap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EAwoz+ap
        GLOSS:	wanting/needing+[fem.sg.]

 INPUT STRING:	افهم
     IS_TRANS:	Afhm
        INDEX:	P3W3
      OFFSETS:	10-14
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fihim_1]
   UNSPLITVOC:	(Aafoham)
          POS:	IV1S+IV
          VOC:	Aa+foham
        GLOSS:	I+understand

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P3W4
      OFFSETS:	15-19
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P3W5
      OFFSETS:	20-24
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P3W6
      OFFSETS:	25-28
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	INTERROG_ADV
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	بقينا
     IS_TRANS:	bqynA
        INDEX:	P3W7
      OFFSETS:	29-34
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqiynA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	baqiy+nA
        GLOSS:	remain+we

 INPUT STRING:	فريقين
     IS_TRANS:	fryqyn
        INDEX:	P3W8
      OFFSETS:	35-41
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fariyq_1]
   UNSPLITVOC:	(fariyqiyn)
          POS:	NOUN+NSUFF_MASC_DU
          VOC:	fariyq+iyn
        GLOSS:	team+two

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P4W1
      OFFSETS:	0-3
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	INTERROG_ADV
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P4W2
      OFFSETS:	4-7
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	baqaY+(null)
        GLOSS:	remain+he/it

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P4W3
      OFFSETS:	8-11
       TOKENS:	P4W3-P4W4
