 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P1W1
      OFFSETS:	0-2
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P1W2
      OFFSETS:	3-7
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be+it/they/she

 INPUT STRING:	إيران
     IS_TRANS:	<yrAn
        INDEX:	P1W3
      OFFSETS:	8-13
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iyrAn_1]
   UNSPLITVOC:	(<iyrAn)
          POS:	NOUN_PROP
          VOC:	<iyrAn
        GLOSS:	NOT_IN_LEXICON

 INPUT STRING:	ورائها
     IS_TRANS:	wrA}hA
        INDEX:	P1W4
      OFFSETS:	14-20
       TOKENS:	P1W4-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[warA}_1]
   UNSPLITVOC:	(wrA}ahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	warA}+hA
        GLOSS:	behind+its/their/her

 INPUT STRING:	سؤال
     IS_TRANS:	s&Al
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[su&Al_1]
   UNSPLITVOC:	(su&Al)
          POS:	NOUN
          VOC:	su&Al
        GLOSS:	question/inquiry

 INPUT STRING:	يطرح
     IS_TRANS:	yTrH
        INDEX:	P2W2
      OFFSETS:	5-9
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaraH_1]
   UNSPLITVOC:	(yiToraH)
          POS:	IV3MS+IV
          VOC:	yi+ToraH
        GLOSS:	he/it+impose/ask

 INPUT STRING:	نفسه
     IS_TRANS:	nfsh
        INDEX:	P2W3
      OFFSETS:	10-14
       TOKENS:	P2W3-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	nafos+uh
        GLOSS:	same/self/selves+his/its

 INPUT STRING:	بقوة
     IS_TRANS:	bqwp
        INDEX:	P2W4
      OFFSETS:	15-19
       TOKENS:	P2W5-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quw~ap_1]
   UNSPLITVOC:	(biquw~ap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+quw~+ap
        GLOSS:	with/by+power/strength/force/violence/armed forces/power/forces+[fem.sg.]

 INPUT STRING:	هتسئلوني
     IS_TRANS:	hts}lwny
        INDEX:	P3W1
      OFFSETS:	0-8
       TOKENS:	P3W1-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sa<al_1]
   UNSPLITVOC:	(Hatis}luwniy)
          POS:	FUT_PART+IV2P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:1S
          VOC:	Ha+ti+s}al+uwA+niy
        GLOSS:	will+you+ask+we+me

 INPUT STRING:	ورا
     IS_TRANS:	wrA
        INDEX:	P3W2
      OFFSETS:	9-12
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[warA_1]
   UNSPLITVOC:	(warA)
          POS:	NOUN
          VOC:	warA
        GLOSS:	behind

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P3W3
      OFFSETS:	13-16
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(>ayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	بالضبط
     IS_TRANS:	bAlDbT
        INDEX:	P3W4
      OFFSETS:	17-23
       TOKENS:	P3W6-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DaboT_1]
   UNSPLITVOC:	(biAlD~aboT)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+DaboT
        GLOSS:	with/by+the+exactness

 INPUT STRING:	هقولكم
     IS_TRANS:	hqwlkm
        INDEX:	P4W1
      OFFSETS:	0-6
       TOKENS:	P4W1-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(HaAaquwlkum)
          POS:	FUT_PART+IV1S+IV+IVSUFF_DO:2P
          VOC:	Ha+Aa+quwl+kum
        GLOSS:	will+I+said/say/be said/say/(for example)+you

 INPUT STRING:	اقروو
     IS_TRANS:	Aqrww
        INDEX:	P4W2
      OFFSETS:	7-12
       TOKENS:	P4W4-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[qara<_1]
   UNSPLITVOC:	(Aqruwh)
          POS:	CV+CVSUFF_SUBJ:2P+CVSUFF_DO:3MS
          VOC:	Aiqor+uwA+uh
        GLOSS:	read++it/him

 INPUT STRING:	الخبر
     IS_TRANS:	Alxbr
        INDEX:	P4W3
      OFFSETS:	13-18
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(Alxabar)
          POS:	DET+NOUN
          VOC:	Al+xabar
        GLOSS:	the+news/report

 INPUT STRING:	إللي
     IS_TRANS:	<lly
        INDEX:	P4W4
      OFFSETS:	19-23
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	that

 INPUT STRING:	أوردته
     IS_TRANS:	>wrdth
        INDEX:	P4W5
      OFFSETS:	24-30
       TOKENS:	P4W8-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[warad_1]
   UNSPLITVOC:	(>wrdituh)
          POS:	PV+PVSUFF_SUBJ:3FS+PVSUFF_DO:3MS
          VOC:	>aworad+it+uh
        GLOSS:	edit+it/they/she+it/him

 INPUT STRING:	البي
     IS_TRANS:	Alby
        INDEX:	P4W6
      OFFSETS:	31-35
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Al_1]
   UNSPLITVOC:	(Albiy)
          POS:	DET+FOREIGN
          VOC:	Al+biy
        GLOSS:	the+B

 INPUT STRING:	بي
     IS_TRANS:	by
        INDEX:	P4W7
      OFFSETS:	36-38
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(by)
          POS:	FOREIGN
          VOC:	by
        GLOSS:	nogloss

 INPUT STRING:	سي
     IS_TRANS:	sy
        INDEX:	P4W8
      OFFSETS:	39-41
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(sy)
          POS:	FOREIGN
          VOC:	sy
