 INPUT STRING:	العلمـــــــانيه
     IS_TRANS:	AlElm_______Anyh
        INDEX:	P1W1
      OFFSETS:	0-16
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalomAniy~ap_1]
   UNSPLITVOC:	(AlEalomAniy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+EalomAniy~+ap
        GLOSS:	the+secular+[fem.sg.]

 INPUT STRING:	والديموقراطيـــــــــه
     IS_TRANS:	wAldymwqrATy_________h
        INDEX:	P1W2
      OFFSETS:	17-39
       TOKENS:	P1W2-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dymwqrATy~ap_1]
   UNSPLITVOC:	(wAldymwqrATy~ap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	w+Al+dymwqrATy~+ap
        GLOSS:	and+the+democracy+[fem.sg.]

 INPUT STRING:	والبرلمانيـــــــــــه
     IS_TRANS:	wAlbrlmAny___________h
        INDEX:	P2W1
      OFFSETS:	0-22
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[barolamAniy~ap_1]
   UNSPLITVOC:	(wiAlbarolamAniy~ap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+barolamAniy~+ap
        GLOSS:	and+the+parliamentarism+[fem.sg.]

 INPUT STRING:	والمولوخيــــــــه
     IS_TRANS:	wAlmwlwxy________h
        INDEX:	P2W2
      OFFSETS:	23-41
       TOKENS:	P2W3-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mwlwxiy~ap_1]
   UNSPLITVOC:	(wAlmwlwxiy~ap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	w+Al+mwlwxiy~+ap
        GLOSS:	and+the+molokhiyya+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W3
      OFFSETS:	41-42
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W4
      OFFSETS:	42-43
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W5
      OFFSETS:	43-44
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P2W6
      OFFSETS:	45-46
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	ايوه
     IS_TRANS:	Aywh
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ayowah_1]
   UNSPLITVOC:	(>ayowah)
          POS:	INTERJ
          VOC:	>ayowah
        GLOSS:	yes

 INPUT STRING:	مشايخ
     IS_TRANS:	m$Ayx
        INDEX:	P3W2
      OFFSETS:	5-10
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$ayox_1]
   UNSPLITVOC:	(ma$Ayix)
          POS:	NOUN
          VOC:	ma$Ayix
        GLOSS:	Sheikhs/chieftains

 INPUT STRING:	وزوجتنا
     IS_TRANS:	wzwjtnA
        INDEX:	P3W3
      OFFSETS:	11-18
       TOKENS:	P3W3-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[zawojap_1]
   UNSPLITVOC:	(wizawojAtnA)
          POS:	CONJ+NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	wi+zawoj+At+nA
