 INPUT STRING:	الأستاذ
     IS_TRANS:	Al>stA*
        INDEX:	P1W1
      OFFSETS:	0-7
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>usotA*_1]
   UNSPLITVOC:	(Al>usotA*)
          POS:	DET+NOUN
          VOC:	Al+>usotA*
        GLOSS:	the+professor

 INPUT STRING:	الفاضل
     IS_TRANS:	AlfADl
        INDEX:	P1W2
      OFFSETS:	8-14
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fADil_1]
   UNSPLITVOC:	(AlfADil)
          POS:	DET+ADJ
          VOC:	Al+fADil
        GLOSS:	the+honorable/eminent

 INPUT STRING:	صاحب
     IS_TRANS:	SAHb
        INDEX:	P1W3
      OFFSETS:	15-19
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAHib_1]
   UNSPLITVOC:	(SAHib)
          POS:	NOUN
          VOC:	SAHib
        GLOSS:	owner/originator/owners/originators

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P1W4
      OFFSETS:	20-27
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	هناك
     IS_TRANS:	hnAk
        INDEX:	P1W5
      OFFSETS:	28-32
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinAk_1]
   UNSPLITVOC:	(hinAk)
          POS:	ADV
          VOC:	hinAk
        GLOSS:	there

 INPUT STRING:	حسابات
     IS_TRANS:	HsAbAt
        INDEX:	P1W6
      OFFSETS:	33-39
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hisobap_1]
   UNSPLITVOC:	(HisAbAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	HisAb+At
        GLOSS:	calculation+[fem.pl.]

 INPUT STRING:	اخري
     IS_TRANS:	Axry
        INDEX:	P1W7
      OFFSETS:	40-44
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>uxoraY_1]
   UNSPLITVOC:	(>uxoraY)
          POS:	ADJ
          VOC:	>uxoraY
        GLOSS:	other/another/additional

 INPUT STRING:	تدخل
     IS_TRANS:	tdxl
        INDEX:	P1W8
      OFFSETS:	45-49
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daxal_1]
   UNSPLITVOC:	(tidoxul)
          POS:	IV3FS+IV
          VOC:	ti+doxul
        GLOSS:	it/they/she+enter/be entered

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P1W9
      OFFSETS:	50-52
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الحسبان
     IS_TRANS:	AlHsbAn
        INDEX:	P1W10
      OFFSETS:	53-60
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HisobAn_1]
   UNSPLITVOC:	(AlHisobAn)
          POS:	DET+NOUN
          VOC:	Al+HisobAn
        GLOSS:	the+consideration

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+afflict/be afflicted

 INPUT STRING:	حركة
     IS_TRANS:	Hrkp
        INDEX:	P2W2
      OFFSETS:	5-9
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Harakap_1]
   UNSPLITVOC:	(Harakap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Harak+ap
        GLOSS:	movement/activity/organization+[fem.sg.]

 INPUT STRING:	حماس
     IS_TRANS:	HmAs
        INDEX:	P2W3
      OFFSETS:	10-14
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HamAs_1]
   UNSPLITVOC:	(HamAs)
          POS:	NOUN_PROP
          VOC:	HamAs
        GLOSS:	Hamas

 INPUT STRING:	عجبها
     IS_TRANS:	EjbhA
        INDEX:	P2W4
      OFFSETS:	15-20
       TOKENS:	P2W4-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eajab_1]
   UNSPLITVOC:	(EajabhA)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3FS
          VOC:	Eajab+(null)+hA
        GLOSS:	arouse admiration+he/it+it/them/her

 INPUT STRING:	الوضع
     IS_TRANS:	AlwDE
        INDEX:	P2W5
      OFFSETS:	21-26
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waDoE_1]
   UNSPLITVOC:	(AlwaDoE)
          POS:	DET+NOUN
          VOC:	Al+waDoE
        GLOSS:	the+situation/status/condition

 INPUT STRING:	الحالي
     IS_TRANS:	AlHAly
        INDEX:	P2W6
      OFFSETS:	27-33
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAliy_1]
   UNSPLITVOC:	(AlHAliy)
          POS:	DET+ADJ
          VOC:	Al+HAliy
        GLOSS:	the+present/current

 INPUT STRING:	واستمرار
     IS_TRANS:	wAstmrAr
        INDEX:	P2W7
      OFFSETS:	34-42
       TOKENS:	P2W8-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotimorAr_1]
   UNSPLITVOC:	(wiAisotimorAr)
          POS:	CONJ+NOUN
          VOC:	wi+AisotimorAr
        GLOSS:	and+continuation/continuity

 INPUT STRING:	الوضع
     IS_TRANS:	AlwDE
        INDEX:	P2W8
      OFFSETS:	43-48
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waDoE_1]
   UNSPLITVOC:	(AlwaDoE)
          POS:	DET+NOUN
          VOC:	Al+waDoE
        GLOSS:	the+situation/status/condition

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P2W9
      OFFSETS:	49-52
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P2W10
      OFFSETS:	53-55
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P2W11
      OFFSETS:	56-58
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P2W12
      OFFSETS:	59-63
       TOKENS:	P2W14-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+it/him

 INPUT STRING:	ومش
     IS_TRANS:	wm$
        INDEX:	P2W13
      OFFSETS:	64-67
       TOKENS:	P2W16-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(wimi$)
          POS:	CONJ+NEG_PART
          VOC:	wi+mi$
        GLOSS:	and+not

 INPUT STRING:	فارق
     IS_TRANS:	fArq
        INDEX:	P2W14
      OFFSETS:	68-72
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAriq_1]
   UNSPLITVOC:	(fAriq)
          POS:	ADJ
          VOC:	fAriq
        GLOSS:	distinctive/differentiating/discriminating

 INPUT STRING:	معها
     IS_TRANS:	mEhA
        INDEX:	P2W15
      OFFSETS:	73-77
       TOKENS:	P2W19-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	maEa+hA
        GLOSS:	with+its/their/her

 INPUT STRING:	الاطفال
     IS_TRANS:	AlATfAl
        INDEX:	P2W16
      OFFSETS:	78-85
       TOKENS:	P2W21-P2W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tifol_1]
   UNSPLITVOC:	(Al>aTofAl)
          POS:	DET+NOUN
          VOC:	Al+>aTofAl
        GLOSS:	the+child/boy/child/girl/children/infants

 INPUT STRING:	والناس
     IS_TRANS:	wAlnAs
        INDEX:	P2W17
      OFFSETS:	86-92
       TOKENS:	P2W22-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(wiAlnAs)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+nAs
        GLOSS:	and+the+people

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P2W18
      OFFSETS:	93-95
       TOKENS:	P2W24-P2W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	غزة
     IS_TRANS:	gzp
        INDEX:	P2W19
      OFFSETS:	96-99
       TOKENS:	P2W25-P2W25
