 INPUT STRING:	سؤال
     IS_TRANS:	s&Al
        INDEX:	P1W1
      OFFSETS:	1-5
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[su&Al_1]
   UNSPLITVOC:	(su&Al)
          POS:	NOUN
          VOC:	su&Al
        GLOSS:	question/inquiry

 INPUT STRING:	لكل
     IS_TRANS:	lkl
        INDEX:	P1W2
      OFFSETS:	6-9
       TOKENS:	P1W2-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(likul~)
          POS:	PREP+NOUN
          VOC:	li+kul~
        GLOSS:	for/to+all, entire, every, whole

 INPUT STRING:	اخواني
     IS_TRANS:	AxwAny
        INDEX:	P1W3
      OFFSETS:	10-16
       TOKENS:	P1W4-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AixwAn_1]
   UNSPLITVOC:	(AixwAniy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	AixwAn+iy
        GLOSS:	brothers+my

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W4
      OFFSETS:	17-18
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W5
      OFFSETS:	18-19
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	عندما
     IS_TRANS:	EndmA
        INDEX:	P2W1
      OFFSETS:	1-6
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(EndmA)
          POS:	NO_FUNC
          VOC:	EndmA
        GLOSS:	nogloss

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P2W2
      OFFSETS:	7-10
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be+I

 INPUT STRING:	اطالع
     IS_TRANS:	ATAlE
        INDEX:	P2W3
      OFFSETS:	11-16
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tAliE_1]
   UNSPLITVOC:	(AtAliE)
          POS:	IV1S+IV
          VOC:	A+tAliE
        GLOSS:	I+read

 INPUT STRING:	المواضيع
     IS_TRANS:	AlmwADyE
        INDEX:	P2W4
      OFFSETS:	17-25
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawADiyE)
          POS:	DET+NOUN
          VOC:	Al+mawADiyE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	الخاصه
     IS_TRANS:	AlxASh
        INDEX:	P2W5
      OFFSETS:	26-32
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAS~ap_1]
   UNSPLITVOC:	(AlxAS~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+xAS~+ap
        GLOSS:	the+characteristic/feature/property/characteristics/features/properties+[fem.sg.]

 INPUT STRING:	بجماعة
     IS_TRANS:	bjmAEp
        INDEX:	P2W6
      OFFSETS:	33-39
       TOKENS:	P2W6-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAEap_1]
   UNSPLITVOC:	(bijamAEap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+jamAE+ap
        GLOSS:	with/by+party/group/squad/groups/parties/squads/Gama'a/Jemaah+[fem.sg.]

 INPUT STRING:	الاخوان
     IS_TRANS:	AlAxwAn
        INDEX:	P2W7
      OFFSETS:	40-47
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ax~_1]
   UNSPLITVOC:	(Al<ixowAn)
          POS:	DET+NOUN
          VOC:	Al+<ixowAn
        GLOSS:	the+brothers

 INPUT STRING:	المسلمين
     IS_TRANS:	Almslmyn
        INDEX:	P2W8
