 INPUT STRING:	وصف
     IS_TRANS:	wSf
        INDEX:	P1W1
      OFFSETS:	0-3
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waSaf_1]
   UNSPLITVOC:	(waSaf)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	waSaf+(null)
        GLOSS:	describe/characterize/prescribe/give a prescription to+he/it [verb]

 INPUT STRING:	إمام
     IS_TRANS:	<mAm
        INDEX:	P1W2
      OFFSETS:	4-8
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<imAm_1]
   UNSPLITVOC:	(<imAm)
          POS:	NOUN
          VOC:	<imAm
        GLOSS:	leader/imam

 INPUT STRING:	مسجد
     IS_TRANS:	msjd
        INDEX:	P1W3
      OFFSETS:	9-13
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misaj~id_1]
   UNSPLITVOC:	(misaj~id)
          POS:	NOUN
          VOC:	misaj~id
        GLOSS:	mosque

 INPUT STRING:	عمر
     IS_TRANS:	Emr
        INDEX:	P1W4
      OFFSETS:	14-17
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumar_1]
   UNSPLITVOC:	(Eumar)
          POS:	NOUN_PROP
          VOC:	Eumar
        GLOSS:	Omar/Umar

 INPUT STRING:	مكرم
     IS_TRANS:	mkrm
        INDEX:	P1W5
      OFFSETS:	18-22
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makoram_1]
   UNSPLITVOC:	(makoram)
          POS:	NOUN_PROP
          VOC:	makoram
        GLOSS:	Makram

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P1W6
      OFFSETS:	23-25
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	خطبته
     IS_TRANS:	xTbth
        INDEX:	P1W7
      OFFSETS:	26-31
       TOKENS:	P1W7-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xuTobap_1]
   UNSPLITVOC:	(xuTobith)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	xuTob+ap+uh
        GLOSS:	speech/sermon+[fem.sg.]+his/its

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P1W8
      OFFSETS:	31-32
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	اليوم
     IS_TRANS:	Alywm
        INDEX:	P1W9
      OFFSETS:	33-38
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(Alyawm)
          POS:	DET+NOUN
          VOC:	Al+yawm
        GLOSS:	the+today/some day/ever/days

 INPUT STRING:	الجمعة
     IS_TRANS:	AljmEp
        INDEX:	P1W10
      OFFSETS:	39-45
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jumoEap_1]
   UNSPLITVOC:	(AljumoEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+jumoE+ap
        GLOSS:	the+Friday+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P1W11
      OFFSETS:	45-46
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	سيدات
     IS_TRANS:	sydAt
        INDEX:	P1W12
      OFFSETS:	47-52
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[say~idap_1]
   UNSPLITVOC:	(say~idAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	say~id+At
        GLOSS:	ladies+[fem.pl.]

 INPUT STRING:	وبنات
     IS_TRANS:	wbnAt
        INDEX:	P1W13
      OFFSETS:	53-58
       TOKENS:	P1W14-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(wibanAt)
          POS:	CONJ+NOUN
          VOC:	wi+banAt
        GLOSS:	and+daughter/girl/daughters/girls

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P1W14
      OFFSETS:	59-62
       TOKENS:	P1W16-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	اللاتى
     IS_TRANS:	AllAtY
        INDEX:	P1W15
      OFFSETS:	63-69
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(All~Atiy)
          POS:	REL_PRON
          VOC:	All~Atiy
        GLOSS:	who/whom [fem.pl.]

 INPUT STRING:	نزلن
     IS_TRANS:	nzln
        INDEX:	P1W16
      OFFSETS:	70-74
       TOKENS:	P1W18-P1W18
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nazal-i_1]
   UNSPLITVOC:	(nazalona)
          POS:	PV+PVSUFF_SUBJ:3FP
          VOC:	nazal+na
        GLOSS:	descend/stay+they [fem.pl.] [verb]

 INPUT STRING:	إلى
     IS_TRANS:	<lY
        INDEX:	P1W17
      OFFSETS:	75-78
       TOKENS:	P1W19-P1W19
