 INPUT STRING:	عذرا
     IS_TRANS:	E*rA
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eu*or_1]
   UNSPLITVOC:	(Eu*orAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	Eu*or+AF
        GLOSS:	excuse+[acc.indef.]

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P1W2
      OFFSETS:	5-7
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	oh

 INPUT STRING:	اهل
     IS_TRANS:	Ahl
        INDEX:	P1W3
      OFFSETS:	8-11
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_1]
   UNSPLITVOC:	(>ahol)
          POS:	NOUN
          VOC:	>ahol
        GLOSS:	family/people/people/families/folk/families/indigenous people

 INPUT STRING:	سوريا
     IS_TRANS:	swryA
        INDEX:	P1W4
      OFFSETS:	12-17
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suwryA_1]
   UNSPLITVOC:	(suwryA)
          POS:	NOUN_PROP
          VOC:	suwryA
        GLOSS:	Syria

 INPUT STRING:	فقد
     IS_TRANS:	fqd
        INDEX:	P1W5
      OFFSETS:	18-21
       TOKENS:	P1W5-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qado_1]
   UNSPLITVOC:	(faqado)
          POS:	CONJ+VERB_PART
          VOC:	fa+qado
        GLOSS:	so/and+may, might, perhaps, maybe, possibly, probably

 INPUT STRING:	جاء
     IS_TRANS:	jA'
        INDEX:	P1W6
      OFFSETS:	22-25
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jA'a_1]
   UNSPLITVOC:	(jA'a)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	jA'a+(null)
        GLOSS:	come+he

 INPUT STRING:	الدور
     IS_TRANS:	Aldwr
        INDEX:	P1W7
      OFFSETS:	26-31
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[duwr_1]
   UNSPLITVOC:	(Alduwr)
          POS:	DET+NOUN
          VOC:	Al+duwr
        GLOSS:	the+turn

 INPUT STRING:	عليكم
     IS_TRANS:	Elykm
        INDEX:	P1W8
      OFFSETS:	32-37
       TOKENS:	P1W9-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealaykum)
          POS:	PREP+PRON_2P
          VOC:	EalaY+kum
        GLOSS:	on/above+you

 INPUT STRING:	فانتم
     IS_TRANS:	fAntm
        INDEX:	P2W1
      OFFSETS:	0-5
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>anotum_1]
   UNSPLITVOC:	(fa>anotum)
          POS:	CONJ+PRON_2P
          VOC:	fa+>anotum
        GLOSS:	so/and+you [masc.pl.]

 INPUT STRING:	يامن
     IS_TRANS:	yAmn
        INDEX:	P2W2
