 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P1W1
      OFFSETS:	0-2
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	تحزن
     IS_TRANS:	tHzn
        INDEX:	P1W2
      OFFSETS:	3-7
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hizin_1]
   UNSPLITVOC:	(tiHozan)
          POS:	IV2MS+IV
          VOC:	ti+Hozan
        GLOSS:	you [masc.sg.]+sadden/grieve

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P1W3
      OFFSETS:	8-10
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P1W4
      OFFSETS:	11-16
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	فهي
     IS_TRANS:	fhy
        INDEX:	P1W5
      OFFSETS:	17-20
       TOKENS:	P1W5-P1W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hiya_1]
   UNSPLITVOC:	(fahiya)
          POS:	SUB_CONJ+PRON_3FS
          VOC:	fa+hiya
        GLOSS:	because/therefore/as a result+it/they/she

 INPUT STRING:	الحياة
     IS_TRANS:	AlHyAp
        INDEX:	P1W6
      OFFSETS:	21-27
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HayAp_1]
   UNSPLITVOC:	(AlHayAp)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+HayA+ap
        GLOSS:	the+life+[fem.sg.]

 INPUT STRING:	قد
     IS_TRANS:	qd
        INDEX:	P1W7
      OFFSETS:	28-30
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qado_1]
   UNSPLITVOC:	(qado)
          POS:	VERB_PART
          VOC:	qado
        GLOSS:	may, might, perhaps, maybe, possibly, probably

 INPUT STRING:	ظلمت
     IS_TRANS:	Zlmt
        INDEX:	P1W8
      OFFSETS:	31-35
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Zulim_1]
   UNSPLITVOC:	(Zulimt)
          POS:	PV_PASS+PVSUFF_SUBJ:2MS
          VOC:	Zulim+t
        GLOSS:	be oppressed+you [masc.sg.] [verb]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P1W9
      OFFSETS:	36-38
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الاخرين
     IS_TRANS:	AlAxryn
        INDEX:	P1W10
      OFFSETS:	39-46
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|xar_1]
   UNSPLITVOC:	(Al|xariyna)
          POS:	DET+ADJ+NSUFF_MASC_PL_GEN
          VOC:	Al+|xar+iyna
        GLOSS:	the+other/another+[masc.pl.gen.]

 INPUT STRING:	وعم
     IS_TRANS:	wEm
        INDEX:	P1W11
      OFFSETS:	47-50
       TOKENS:	P1W12-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
