 INPUT STRING:	اريد
     IS_TRANS:	Aryd
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>arAd_1]
   UNSPLITVOC:	(Auriyd)
          POS:	IV1S+IV
          VOC:	Au+riyd
        GLOSS:	I+want

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P1W2
      OFFSETS:	5-7
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	That

 INPUT STRING:	اعرف
     IS_TRANS:	AErf
        INDEX:	P1W3
      OFFSETS:	8-12
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(AaEoraf)
          POS:	IV1S+IV
          VOC:	Aa+Eoraf
        GLOSS:	I+be known/know

 INPUT STRING:	ماهى
     IS_TRANS:	mAhY
        INDEX:	P1W4
      OFFSETS:	13-17
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mAhY)
          POS:	NO_FUNC
          VOC:	mAhY
        GLOSS:	nogloss

 INPUT STRING:	مدى
     IS_TRANS:	mdY
        INDEX:	P1W5
      OFFSETS:	18-21
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madaY_1]
   UNSPLITVOC:	(madaY)
          POS:	NOUN
          VOC:	madaY
        GLOSS:	extent/range/period/duration

 INPUT STRING:	قناعه
     IS_TRANS:	qnAEh
        INDEX:	P1W6
      OFFSETS:	22-27
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qanAEap_1]
   UNSPLITVOC:	(qanAEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qanAE+ap
        GLOSS:	satisfaction/moderation/confiction/belief+[fem.sg.]

 INPUT STRING:	الاعضاء
     IS_TRANS:	AlAEDA'
        INDEX:	P1W7
      OFFSETS:	28-35
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EuDow_1]
   UNSPLITVOC:	(AlAEoDA')
          POS:	DET+NOUN
          VOC:	Al+AEoDA'
        GLOSS:	the+member/members/organ/organs

 INPUT STRING:	بدوله
     IS_TRANS:	bdwlh
        INDEX:	P1W8
      OFFSETS:	36-41
       TOKENS:	P1W8-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(bidawlap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+dawl+ap
        GLOSS:	with/by+state/country/states/countries+[fem.sg.]

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P1W9
      OFFSETS:	42-45
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	لفكرة
     IS_TRANS:	lfkrp
        INDEX:	P1W10
      OFFSETS:	46-51
       TOKENS:	P1W11-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikorap_1]
   UNSPLITVOC:	(lifikorap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+fikor+ap
        GLOSS:	for/to+idea/notion/concept+[fem.sg.]

 INPUT STRING:	اعادة
     IS_TRANS:	AEAdp
        INDEX:	P1W11
      OFFSETS:	52-57
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEAdap_1]
   UNSPLITVOC:	(AiEAdap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	AiEAd+ap
        GLOSS:	return/repetition/re-(doing)+[fem.sg.]

 INPUT STRING:	احياء
     IS_TRANS:	AHyA'
        INDEX:	P1W12
      OFFSETS:	58-63
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hay~_2]
   UNSPLITVOC:	(>aHoyA')
          POS:	NOUN
          VOC:	>aHoyA'
        GLOSS:	enliven/celebrate

 INPUT STRING:	اللغه
     IS_TRANS:	Allgh
        INDEX:	P1W13
      OFFSETS:	64-69
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lugap_1]
   UNSPLITVOC:	(All~ugap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+lug+ap
        GLOSS:	the+language/languages+[fem.sg.]

 INPUT STRING:	المصريه
