 INPUT STRING:	يستمر
     IS_TRANS:	ystmr
        INDEX:	P1W1
      OFFSETS:	0-5
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisotamar~_1]
   UNSPLITVOC:	(yisotamir~)
          POS:	IV3MS+IV
          VOC:	yi+sotamir~
        GLOSS:	he/it+continue

 INPUT STRING:	الانفلات
     IS_TRANS:	AlAnflAt
        INDEX:	P1W2
      OFFSETS:	6-14
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinofilAt_1]
   UNSPLITVOC:	(AlAinofilAt)
          POS:	DET+NOUN
          VOC:	Al+AinofilAt
        GLOSS:	the+evasion/release

 INPUT STRING:	الامنى
     IS_TRANS:	AlAmnY
        INDEX:	P1W3
      OFFSETS:	15-21
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoniy_1]
   UNSPLITVOC:	(Al>amoniy)
          POS:	DET+ADJ
          VOC:	Al+>amoniy
        GLOSS:	the+security/safety

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P1W4
      OFFSETS:	22-24
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P1W5
      OFFSETS:	25-27
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	every/all/entire

 INPUT STRING:	ربوع
     IS_TRANS:	rbwE
        INDEX:	P1W6
      OFFSETS:	28-32
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rubuwE_1]
   UNSPLITVOC:	(rubuwE)
          POS:	NOUN
          VOC:	rubuwE
        GLOSS:	territory/inhabited area

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P1W7
      OFFSETS:	33-36
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	دون
     IS_TRANS:	dwn
        INDEX:	P1W8
      OFFSETS:	37-40
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwn_1]
   UNSPLITVOC:	(duwn)
          POS:	NOUN
          VOC:	duwn
        GLOSS:	without/beneath/underneath/inferior/poor

 INPUT STRING:	توقف
     IS_TRANS:	twqf
        INDEX:	P1W9
      OFFSETS:	41-45
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawaq~uf_1]
   UNSPLITVOC:	(tawaq~uf)
          POS:	NOUN
          VOC:	tawaq~uf
        GLOSS:	stop/halt

 INPUT STRING:	فكل
     IS_TRANS:	fkl
        INDEX:	P1W10
      OFFSETS:	46-49
       TOKENS:	P1W10-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(fi_kul~)
          POS:	PREP+NOUN_QUANT
          VOC:	fiy+kul~
        GLOSS:	in+all/every/entire

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P1W11
      OFFSETS:	50-53
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	day

 INPUT STRING:	بل
     IS_TRANS:	bl
        INDEX:	P1W12
      OFFSETS:	54-56
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bal_1]
   UNSPLITVOC:	(bal)
          POS:	CONJ
          VOC:	bal
        GLOSS:	Rather, even, but, yet, however

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P1W13
      OFFSETS:	57-59
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	every/all/entire

 INPUT STRING:	صباح
     IS_TRANS:	SbAH
        INDEX:	P1W14
