 INPUT STRING:	عجبت
     IS_TRANS:	Ejbt
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eajab_1]
   UNSPLITVOC:	(Eajabt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	Eajab+t
        GLOSS:	be amazed+I [verb]

 INPUT STRING:	لمن
     IS_TRANS:	lmn
        INDEX:	P1W2
      OFFSETS:	5-8
       TOKENS:	P1W2-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_2]
   UNSPLITVOC:	(limano)
          POS:	PREP+REL_PRON
          VOC:	li+mano
        GLOSS:	for/to+who/whom

 INPUT STRING:	يتحمل
     IS_TRANS:	ytHml
        INDEX:	P1W3
      OFFSETS:	9-14
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taHam~al_1]
   UNSPLITVOC:	(yataHam~al)
          POS:	IV3MS+IV
          VOC:	ya+taHam~al
        GLOSS:	he/it+assume/bear (reponsibility)

 INPUT STRING:	سنوات
     IS_TRANS:	snwAt
        INDEX:	P1W4
      OFFSETS:	15-20
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(sanawAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	sanaw+At
        GLOSS:	year/years+[fem.pl.]

 INPUT STRING:	طوالا
     IS_TRANS:	TwAlA
        INDEX:	P1W5
      OFFSETS:	21-26
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Tawiyl_1]
   UNSPLITVOC:	(TiwAlAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	TiwAl+AF
        GLOSS:	tall/long+[acc.indef.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P1W6
      OFFSETS:	27-29
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	التضييق
     IS_TRANS:	AltDyyq
        INDEX:	P1W7
      OFFSETS:	30-37
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taDoyiyq_1]
   UNSPLITVOC:	(Alt~aDoyiyq)
          POS:	DET+NOUN
          VOC:	Al+taDoyiyq
        GLOSS:	the+narrowing/tightening

 INPUT STRING:	والتعذيب
     IS_TRANS:	wAltE*yb
        INDEX:	P1W8
      OFFSETS:	38-46
       TOKENS:	P1W9-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEo*iyb_1]
   UNSPLITVOC:	(wiAltaEo*iyb)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+taEo*iyb
        GLOSS:	and+the+torture/punishment

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P1W9
      OFFSETS:	47-49
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	السجون
     IS_TRANS:	Alsjwn
        INDEX:	P1W10
      OFFSETS:	50-56
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sijon_1]
   UNSPLITVOC:	(Als~ujuwn)
          POS:	DET+NOUN
          VOC:	Al+sujuwn
        GLOSS:	the+prisons

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P1W11
      OFFSETS:	57-59
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from/for

 INPUT STRING:	أجل
     IS_TRANS:	>jl
        INDEX:	P1W12
      OFFSETS:	60-63
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ajal_1]
   UNSPLITVOC:	(>ajal)
          POS:	NOUN
          VOC:	>ajal
        GLOSS:	for sake of/because of

 INPUT STRING:	تطبيق
     IS_TRANS:	tTbyq
        INDEX:	P1W13
      OFFSETS:	64-69
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taTobiyq_1]
   UNSPLITVOC:	(taTobiyq)
          POS:	NOUN
          VOC:	taTobiyq
        GLOSS:	application

 INPUT STRING:	شرع
     IS_TRANS:	$rE
        INDEX:	P1W14
      OFFSETS:	70-73
       TOKENS:	P1W16-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aroE_1]
   UNSPLITVOC:	($aroE)
          POS:	NOUN
          VOC:	$aroE
        GLOSS:	law

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P1W15
      OFFSETS:	74-78
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	تعالى
     IS_TRANS:	tEAlY
        INDEX:	P1W16
      OFFSETS:	79-84
       TOKENS:	P1W18-P1W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEAlay_1]
   UNSPLITVOC:	(taEAlaY)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	taEAlaY+(null)
        GLOSS:	be raised/be exalted+he/it [verb]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P1W17
      OFFSETS:	84-85
       TOKENS:	P1W19-P1W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	وعندما
     IS_TRANS:	wEndmA
        INDEX:	P2W1
      OFFSETS:	0-6
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wEndmA)
          POS:	NO_FUNC
          VOC:	wEndmA
        GLOSS:	nogloss

 INPUT STRING:	يكتب
     IS_TRANS:	yktb
        INDEX:	P2W2
      OFFSETS:	7-11
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[katab_1]
   UNSPLITVOC:	(yikotib)
          POS:	IV3MS+IV
          VOC:	yi+kotib
        GLOSS:	he/it+write

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P2W3
      OFFSETS:	12-16
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	العزة
     IS_TRANS:	AlEzp
        INDEX:	P2W4
      OFFSETS:	17-22
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eiz~ap_1]
   UNSPLITVOC:	(AlEiz~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Eiz~+ap
        GLOSS:	the+power/glory/honor+[fem.sg.]

 INPUT STRING:	والتمكين
     IS_TRANS:	wAltmkyn
        INDEX:	P2W5
      OFFSETS:	23-31
       TOKENS:	P2W5-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamokiyn_1]
   UNSPLITVOC:	(wiAltamokiyn)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+tamokiyn
        GLOSS:	and+the+enabling/making possible/strengthening

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P2W6
      OFFSETS:	32-34
       TOKENS:	P2W7-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	for/to+him/it

 INPUT STRING:	إذا
     IS_TRANS:	<*A
        INDEX:	P2W7
      OFFSETS:	35-38
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<i*A_2]
   UNSPLITVOC:	(<i*A)
          POS:	PART
          VOC:	<i*A
        GLOSS:	suddenly

 INPUT STRING:	به
     IS_TRANS:	bh
        INDEX:	P2W8
      OFFSETS:	39-41
       TOKENS:	P2W10-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(buh)
          POS:	PREP+PRON_3MS
          VOC:	bi+uh
        GLOSS:	with/by+him/it

 INPUT STRING:	يتملص
     IS_TRANS:	ytmlS
        INDEX:	P2W9
      OFFSETS:	42-47
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tomal~aS_1]
   UNSPLITVOC:	(yitomal~aS)
          POS:	IV3MS+IV
          VOC:	yi+tomal~aS
        GLOSS:	he/it+get rid of/be released/shrik

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W10
      OFFSETS:	48-50
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	شريعة
     IS_TRANS:	$ryEp
        INDEX:	P2W11
      OFFSETS:	51-56
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ariyEap_1]
   UNSPLITVOC:	($ariyEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$ariyE+ap
        GLOSS:	religious law/prescriptions of religious law+[fem.sg.]

 INPUT STRING:	الرحمن
     IS_TRANS:	AlrHmn
        INDEX:	P2W12
      OFFSETS:	57-63
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raHoman_1]
   UNSPLITVOC:	(Alr~aHoman)
          POS:	DET+NOUN_PROP
          VOC:	Al+raHoman
        GLOSS:	the+Rahman (i.e., God, one of the 99 Beautiful Names)

 INPUT STRING:	ويبحث
     IS_TRANS:	wybHv
        INDEX:	P2W13
      OFFSETS:	64-69
       TOKENS:	P2W16-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baHav_1]
   UNSPLITVOC:	(wiyiboHav)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+boHav
        GLOSS:	and+he+discuss/search (for)

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P2W14
      OFFSETS:	70-72
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	about/for

 INPUT STRING:	مصالحه
     IS_TRANS:	mSAlHh
        INDEX:	P2W15
      OFFSETS:	73-79
       TOKENS:	P2W19-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSolaHap_1]
   UNSPLITVOC:	(maSAloHuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	maSAloH+uh
        GLOSS:	interest/advantage/favor+his/its

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P2W16
      OFFSETS:	80-82
       TOKENS:	P2W21-P2W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	something with

 INPUT STRING:	الغرب
     IS_TRANS:	Algrb
        INDEX:	P2W17
      OFFSETS:	83-88
       TOKENS:	P2W22-P2W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[garob_1]
   UNSPLITVOC:	(Algarob)
          POS:	DET+NOUN
          VOC:	Al+garob
        GLOSS:	the+west/West/westward/in the West

