 INPUT STRING:	البحث
     IS_TRANS:	AlbHv
        INDEX:	P1W1
      OFFSETS:	1-6
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baHov_1]
   UNSPLITVOC:	(AlbaHov)
          POS:	DET+NOUN
          VOC:	Al+baHov
        GLOSS:	the+search/examination/research

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P1W2
      OFFSETS:	7-9
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	أبناء
     IS_TRANS:	>bnA'
        INDEX:	P1W3
      OFFSETS:	10-15
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aibon_1]
   UNSPLITVOC:	(>abonA')
          POS:	NOUN
          VOC:	>abonA'
        GLOSS:	sons/children

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P1W4
      OFFSETS:	16-19
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P1W5
      OFFSETS:	20-22
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الخارج
     IS_TRANS:	AlxArj
        INDEX:	P1W6
      OFFSETS:	23-29
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xArij_1]
   UNSPLITVOC:	(AlxArij)
          POS:	DET+NOUN
          VOC:	Al+xArij
        GLOSS:	the+outside/outer part/overseas/exterior

 INPUT STRING:	أيها
     IS_TRANS:	>yhA
        INDEX:	P2W1
      OFFSETS:	1-5
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ay~uhA_1]
   UNSPLITVOC:	(>ay~uhA)
          POS:	VOC_PART
          VOC:	>ay~uhA
        GLOSS:	O, oh

 INPUT STRING:	الأعضاء
     IS_TRANS:	Al>EDA'
        INDEX:	P2W2
      OFFSETS:	6-13
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EuDow_1]
   UNSPLITVOC:	(AlAEoDA')
          POS:	DET+NOUN
          VOC:	Al+AEoDA'
        GLOSS:	the+member/members

 INPUT STRING:	الأعزاء
     IS_TRANS:	Al>EzA'
        INDEX:	P2W3
      OFFSETS:	14-21
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaziyz_2]
   UNSPLITVOC:	(Al>aEiz~A')
          POS:	DET+ADJ
          VOC:	Al+>aEiz~A'
        GLOSS:	the+dear/precious

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P2W4
      OFFSETS:	22-23
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	أنا
     IS_TRANS:	>nA
        INDEX:	P2W5
      OFFSETS:	24-27
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	إيطالي
     IS_TRANS:	<yTAly
        INDEX:	P2W6
      OFFSETS:	28-34
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iyTAliy_1]
   UNSPLITVOC:	(<iyTAliy)
          POS:	ADJ
          VOC:	<iyTAliy
