 INPUT STRING:	استفتاء
     IS_TRANS:	AstftA'
        INDEX:	P1W1
      OFFSETS:	0-7
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotifotA'_1]
   UNSPLITVOC:	(AisotifotA')
          POS:	NOUN
          VOC:	AisotifotA'
        GLOSS:	referendum/poll/questionnaire

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P1W2
      OFFSETS:	10-14
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inotiy_2]
   UNSPLITVOC:	(<inotiy)
          POS:	NOUN_PROP
          VOC:	<inotiy
        GLOSS:	Enty

 INPUT STRING:	ورئيسك
     IS_TRANS:	wr}ysk
        INDEX:	P1W3
      OFFSETS:	15-21
       TOKENS:	P1W3-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ra}iys_2]
   UNSPLITVOC:	(wira}iysik)
          POS:	CONJ+NOUN_PROP+POSS_PRON_2FS
          VOC:	wi+ra}iys+ik
        GLOSS:	and+Ra'is+your [fem.sg.]

 INPUT STRING:	اخواتي
     IS_TRANS:	AxwAty
        INDEX:	P2W1
      OFFSETS:	0-6
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>uxot_1]
   UNSPLITVOC:	(>axawAtiy)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_1S
          VOC:	>axaw+At+iy
        GLOSS:	sisters+[fem.pl.]+my

 INPUT STRING:	الحبيبات
     IS_TRANS:	AlHbybAt
        INDEX:	P2W2
      OFFSETS:	7-15
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlHabiyb_1]
   UNSPLITVOC:	(AlHabiybAt)
          POS:	DET+ADJ+NSUFF_FEM_PL
          VOC:	Al+Habiyb+At
        GLOSS:	the+dear/beloved/sweetheart+[fem.pl.]

 INPUT STRING:	_
     IS_TRANS:	_
        INDEX:	P2W3
      OFFSETS:	15-16
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(_)
          POS:	PUNC
          VOC:	_
        GLOSS:	nogloss

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	هنا
     IS_TRANS:	hnA
        INDEX:	P3W2
