 INPUT STRING:	تعرض
     IS_TRANS:	tErD
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taEar~aD_1]
   UNSPLITVOC:	(taEar~aD)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	taEar~aD+(null)
        GLOSS:	be exposed to+he/it

 INPUT STRING:	محمد
     IS_TRANS:	mHmd
        INDEX:	P1W2
      OFFSETS:	5-9
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHam~ad_1]
   UNSPLITVOC:	(maHam~ad)
          POS:	NOUN_PROP
          VOC:	maHam~ad
        GLOSS:	Muhammad/Mohamed

 INPUT STRING:	جمال
     IS_TRANS:	jmAl
        INDEX:	P1W3
      OFFSETS:	10-14
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAl_1]
   UNSPLITVOC:	(jamAl)
          POS:	NOUN_PROP
          VOC:	jamAl
        GLOSS:	Jamal/Gamal

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P1W4
      OFFSETS:	14-15
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	عضو
     IS_TRANS:	EDw
        INDEX:	P1W5
      OFFSETS:	16-19
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EuDow_1]
   UNSPLITVOC:	(EuDow)
          POS:	NOUN
          VOC:	EuDow
        GLOSS:	member/members

 INPUT STRING:	ائتلاف
     IS_TRANS:	A}tlAf
        INDEX:	P1W6
      OFFSETS:	20-26
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai}otilAf_1]
   UNSPLITVOC:	(Ai}otilAf)
          POS:	NOUN
          VOC:	Ai}otilAf
        GLOSS:	coalition/entente

 INPUT STRING:	لجان
     IS_TRANS:	ljAn
        INDEX:	P1W7
      OFFSETS:	27-31
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lajonap_1]
   UNSPLITVOC:	(lijAn)
          POS:	NOUN
          VOC:	lijAn
        GLOSS:	councils/committees/commissions

 INPUT STRING:	الدفاع
     IS_TRANS:	AldfAE
        INDEX:	P1W8
      OFFSETS:	32-38
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[difAE_1]
   UNSPLITVOC:	(Ald~ifAE)
          POS:	DET+NOUN
          VOC:	Al+difAE
        GLOSS:	the+defense/in defense

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P1W9
      OFFSETS:	39-41
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P1W10
      OFFSETS:	42-48
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P1W11
      OFFSETS:	49-51
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	حوالى
     IS_TRANS:	HwAlY
        INDEX:	P1W12
      OFFSETS:	52-57
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HawAliy_1]
   UNSPLITVOC:	(HawAliy)
          POS:	ADV
          VOC:	HawAliy
        GLOSS:	around

 INPUT STRING:	الرابعة
     IS_TRANS:	AlrAbEp
        INDEX:	P1W13
      OFFSETS:	58-65
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rAbiE_1]
   UNSPLITVOC:	(AlrAbiEap)
          POS:	DET+ADJ_NUM+NSUFF_FEM_SG
          VOC:	Al+rAbiE+ap
        GLOSS:	the+fourth+[fem.sg.]

 INPUT STRING:	فجرًا
     IS_TRANS:	fjrFA
        INDEX:	P1W14
      OFFSETS:	66-71
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fajrA_1]
   UNSPLITVOC:	(fajrA)
          POS:	NOUN
          VOC:	fajrA
        GLOSS:	sunrise

 INPUT STRING:	لحادث
     IS_TRANS:	lHAdv
        INDEX:	P1W15
      OFFSETS:	72-77
       TOKENS:	P1W15-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAdiv_1]
   UNSPLITVOC:	(liHAdiv)
          POS:	PREP+NOUN
          VOC:	li+HAdiv
        GLOSS:	for/to+accident/mishap/accidents/mishaps

 INPUT STRING:	اغتيال
     IS_TRANS:	AgtyAl
        INDEX:	P1W16
      OFFSETS:	78-84
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{igotiyAl_1]
   UNSPLITVOC:	(AigotiyAl)
          POS:	NOUN
          VOC:	{igotiyAl
        GLOSS:	assassination/murder

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P1W17
      OFFSETS:	85-88
       TOKENS:	P1W18-P1W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	أيدي
     IS_TRANS:	>ydy
        INDEX:	P1W18
      OFFSETS:	89-93
       TOKENS:	P1W19-P1W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yad_1]
   UNSPLITVOC:	(>aydiy)
          POS:	NOUN
          VOC:	>aydiy
        GLOSS:	hands

 INPUT STRING:	مجهولين
     IS_TRANS:	mjhwlyn
        INDEX:	P1W19
      OFFSETS:	94-101
       TOKENS:	P1W20-P1W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majohuwl_1]
   UNSPLITVOC:	(majohuwliyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	majohuwl+iyn
        GLOSS:	unknown+[masc.pl.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P1W20
      OFFSETS:	102-104
       TOKENS:	P1W21-P1W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ظروف
     IS_TRANS:	Zrwf
        INDEX:	P1W21
      OFFSETS:	105-109
       TOKENS:	P1W22-P1W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zarof_1]
   UNSPLITVOC:	(Zuruwf)
          POS:	NOUN
          VOC:	Zuruwf
        GLOSS:	circumstance/condition/situation/circumstances/condition/situation

 INPUT STRING:	غامضة
     IS_TRANS:	gAmDp
        INDEX:	P1W22
      OFFSETS:	110-115
       TOKENS:	P1W23-P1W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gAmiD_1]
   UNSPLITVOC:	(gAmiDap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	gAmiD+ap
        GLOSS:	obscure/ambiguous/vague+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P1W23
      OFFSETS:	115-116
       TOKENS:	P1W24-P1W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	حيث
     IS_TRANS:	Hyv
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hayov_1]
   UNSPLITVOC:	(Hayov)
          POS:	REL_ADV
          VOC:	Hayov
        GLOSS:	where/whereby/since/given that

 INPUT STRING:	تم
     IS_TRANS:	tm
        INDEX:	P2W2
      OFFSETS:	4-6
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tam~_1]
   UNSPLITVOC:	(tam~)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	tam~+(null)
        GLOSS:	conclude/take place+he/it

 INPUT STRING:	ذبحه
     IS_TRANS:	*bHh
        INDEX:	P2W3
      OFFSETS:	7-11
       TOKENS:	P2W3-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*aboH_1]
   UNSPLITVOC:	(*aboHuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	*aboH+uh
        GLOSS:	killing+his/its

 INPUT STRING:	بسلاح
     IS_TRANS:	bslAH
        INDEX:	P2W4
      OFFSETS:	12-17
       TOKENS:	P2W5-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[silAH_1]
   UNSPLITVOC:	(bisilAH)
          POS:	PREP+NOUN
          VOC:	bi+silAH
        GLOSS:	with/by+weapon

 INPUT STRING:	حاد
     IS_TRANS:	HAd
        INDEX:	P2W5
      OFFSETS:	18-21
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAd~ap_1]
   UNSPLITVOC:	(HAd~)
          POS:	ADJ
          VOC:	HAd~
        GLOSS:	sharp/intense

 INPUT STRING:	خلف
     IS_TRANS:	xlf
        INDEX:	P2W6
      OFFSETS:	22-25
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalof_1]
   UNSPLITVOC:	(xalof)
          POS:	NOUN
          VOC:	xalof
        GLOSS:	behind/rear/back

 INPUT STRING:	دار
     IS_TRANS:	dAr
        INDEX:	P2W7
      OFFSETS:	26-29
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAr_1]
   UNSPLITVOC:	(dAr)
          POS:	NOUN
          VOC:	dAr
        GLOSS:	house/home/houses/homes/homes/abodes

 INPUT STRING:	القضاءالعالى
     IS_TRANS:	AlqDA'AlEAlY
        INDEX:	P2W8
      OFFSETS:	30-42
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AlqDA'AlEAlY)
          POS:	TYPO
          VOC:	AlqDA'AlEAlY
        GLOSS:	nogloss

 INPUT STRING:	أثناء
     IS_TRANS:	>vnA'
        INDEX:	P2W9
      OFFSETS:	43-48
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>avonA'_1]
   UNSPLITVOC:	(>avonA')
          POS:	NOUN
          VOC:	>avonA'
        GLOSS:	during/meanwhile/meantime

 INPUT STRING:	تواجده
     IS_TRANS:	twAjdh
        INDEX:	P2W10
      OFFSETS:	49-55
       TOKENS:	P2W12-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tawAjud_1]
   UNSPLITVOC:	(tawAjduh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	tawAjd+uh
        GLOSS:	presence+his/its

 INPUT STRING:	أمام
     IS_TRANS:	>mAm
        INDEX:	P2W11
      OFFSETS:	56-60
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amAm_1]
   UNSPLITVOC:	(>amAm)
          POS:	NOUN
          VOC:	>amAm
        GLOSS:	front/forward

 INPUT STRING:	مكتب
     IS_TRANS:	mktb
        INDEX:	P2W12
      OFFSETS:	61-65
       TOKENS:	P2W15-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makotab_1]
   UNSPLITVOC:	(makotab)
          POS:	NOUN
          VOC:	makotab
        GLOSS:	bureau/office/department

 INPUT STRING:	النائب
     IS_TRANS:	AlnA}b
        INDEX:	P2W13
      OFFSETS:	66-72
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nA}ib_1]
   UNSPLITVOC:	(Aln~A}ib)
          POS:	DET+NOUN
          VOC:	Al+nA}ib
        GLOSS:	the+deputy/delegate/vice-

 INPUT STRING:	العام
     IS_TRANS:	AlEAm
        INDEX:	P2W14
      OFFSETS:	73-78
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAm_1]
   UNSPLITVOC:	(AlEAm)
          POS:	DET+ADJ
          VOC:	Al+EAm
        GLOSS:	the+general/common/public

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P2W15
      OFFSETS:	79-81
       TOKENS:	P2W18-P2W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	مجموعة
     IS_TRANS:	mjmwEp
        INDEX:	P2W16
      OFFSETS:	82-88
       TOKENS:	P2W19-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majomuwEap_1]
   UNSPLITVOC:	(majomuwEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	majomuwE+ap
        GLOSS:	collection/group/bloc+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W17
      OFFSETS:	89-91
       TOKENS:	P2W20-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	زملائه
     IS_TRANS:	zmlA}h
        INDEX:	P2W18
      OFFSETS:	92-98
       TOKENS:	P2W21-P2W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zamiyl_1]
   UNSPLITVOC:	(zumalA}uh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	zumalA}+uh
        GLOSS:	friends+his/its

 INPUT STRING:	المعتصمين
     IS_TRANS:	AlmEtSmyn
        INDEX:	P2W19
      OFFSETS:	99-108
       TOKENS:	P2W23-P2W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muEtaSim_1]
   UNSPLITVOC:	(AlmuEtaSmiyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+muEtaSm+iyn
        GLOSS:	the+sit-inners+[masc.pl.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P2W20
      OFFSETS:	108-109
       TOKENS:	P2W24-P2W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	الذين
     IS_TRANS:	Al*yn
        INDEX:	P2W21
      OFFSETS:	110-115
       TOKENS:	P2W25-P2W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~a*iyna)
          POS:	REL_PRON
          VOC:	Al~a*iyna
        GLOSS:	who/whom [pl.]

 INPUT STRING:	يطالبون
     IS_TRANS:	yTAlbwn
        INDEX:	P2W22
      OFFSETS:	116-123
       TOKENS:	P2W26-P2W26
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[TAlab_1]
   UNSPLITVOC:	(yuTAlibuwna)
          POS:	IV3MP+IV+IVSUFF_SUBJ:MP_MOOD:I
          VOC:	yu+TAlib+uwna
        GLOSS:	they (people)+demand/require+[masc.pl.]

 INPUT STRING:	بتطهير
     IS_TRANS:	btThyr
        INDEX:	P2W23
      OFFSETS:	124-130
       TOKENS:	P2W27-P2W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taTohiyr_1]
   UNSPLITVOC:	(bitaTohiyr)
          POS:	PREP+NOUN
          VOC:	bi+taTohiyr
        GLOSS:	with/by+purging/disinfecting

 INPUT STRING:	القضاء
     IS_TRANS:	AlqDA'
        INDEX:	P2W24
      OFFSETS:	131-137
       TOKENS:	P2W29-P2W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaDA'_1]
   UNSPLITVOC:	(AlqaDA')
          POS:	DET+NOUN
          VOC:	Al+qaDA'
        GLOSS:	the+justice/judiciary

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W25
      OFFSETS:	137-138
       TOKENS:	P2W30-P2W30
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وقال
     IS_TRANS:	wqAl
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wiqAl)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+qAl+(null)
        GLOSS:	and+said/say/be said/say/(for example)+he/it

 INPUT STRING:	المستشار
     IS_TRANS:	Almst$Ar
        INDEX:	P3W2
      OFFSETS:	5-13
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musota$Ar_1]
   UNSPLITVOC:	(Almusota$Ar)
          POS:	DET+NOUN
          VOC:	Al+musota$Ar
        GLOSS:	the+counselor/adviser

 INPUT STRING:	أحمد
     IS_TRANS:	>Hmd
        INDEX:	P3W3
      OFFSETS:	14-18
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHomad_1]
   UNSPLITVOC:	(>aHomad)
          POS:	NOUN_PROP
          VOC:	>aHomad
        GLOSS:	Ahmad/Ahmed

 INPUT STRING:	الجرحي
     IS_TRANS:	AljrHy
        INDEX:	P3W4
      OFFSETS:	19-25
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[juroHiy_1]
   UNSPLITVOC:	(AljuroHiy)
          POS:	DET+NOUN_PROP
          VOC:	Al+juroHiy
        GLOSS:	the+Jorhi

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P3W5
      OFFSETS:	25-26
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	رئيس
     IS_TRANS:	r}ys
        INDEX:	P3W6
      OFFSETS:	27-31
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(ra}iys)
          POS:	NOUN
          VOC:	ra}iys
        GLOSS:	president/head/chairman

 INPUT STRING:	ائتلاف
     IS_TRANS:	A}tlAf
        INDEX:	P3W7
      OFFSETS:	32-38
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai}otilAf_1]
   UNSPLITVOC:	(Ai}otilAf)
          POS:	NOUN
          VOC:	Ai}otilAf
        GLOSS:	coalition/entente

 INPUT STRING:	القضاء
     IS_TRANS:	AlqDA'
        INDEX:	P3W8
      OFFSETS:	39-45
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaDA'_1]
   UNSPLITVOC:	(AlqaDA')
          POS:	DET+NOUN
          VOC:	Al+qaDA'
        GLOSS:	the+justice/judiciary

 INPUT STRING:	الحر
     IS_TRANS:	AlHr
        INDEX:	P3W9
      OFFSETS:	46-50
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hur~_1]
   UNSPLITVOC:	(AlHur~)
          POS:	DET+ADJ
          VOC:	Al+Hur~
        GLOSS:	the+free/independent

 INPUT STRING:	ورئيس
     IS_TRANS:	wr}ys
        INDEX:	P3W10
      OFFSETS:	51-56
       TOKENS:	P3W11-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(wira}iys)
          POS:	CONJ+NOUN
          VOC:	wi+ra}iys
        GLOSS:	and+president/head/chairman

 INPUT STRING:	محكمة
     IS_TRANS:	mHkmp
        INDEX:	P3W11
      OFFSETS:	57-62
       TOKENS:	P3W13-P3W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHokamap_1]
   UNSPLITVOC:	(maHokamap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	maHokam+ap
        GLOSS:	court/tribunal+[fem.sg.]

 INPUT STRING:	الجيزة
     IS_TRANS:	Aljyzp
        INDEX:	P3W12
      OFFSETS:	63-69
       TOKENS:	P3W14-P3W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jiyzap_1]
   UNSPLITVOC:	(Aljiyzap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+jiyz+ap
        GLOSS:	the+Giza+[fem.sg.]

 INPUT STRING:	سابقًا
     IS_TRANS:	sAbqFA
        INDEX:	P3W13
      OFFSETS:	70-76
       TOKENS:	P3W15-P3W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sAbiq_1]
   UNSPLITVOC:	(sAbiqAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	sAbiq+AF
        GLOSS:	former+[acc.indef.]

 INPUT STRING:	والمعتصم
     IS_TRANS:	wAlmEtSm
        INDEX:	P3W14
      OFFSETS:	77-85
       TOKENS:	P3W16-P3W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEotaSim_1]
   UNSPLITVOC:	(wiAlmuEotaSim)
