 INPUT STRING:	إقتباس
     IS_TRANS:	<qtbAs
        INDEX:	P1W1
      OFFSETS:	0-6
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{iqotibAs_1]
   UNSPLITVOC:	(AiqotibAs)
          POS:	NOUN
          VOC:	{iqotibAs
        GLOSS:	quotation/acquisition/adaptation

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P1W2
      OFFSETS:	6-7
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	شكرا
     IS_TRANS:	$krA
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ukor_1]
   UNSPLITVOC:	($ukorAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	$ukor+AF
        GLOSS:	thank you/thanks+[acc.indef.]

 INPUT STRING:	للحكومه
     IS_TRANS:	llHkwmh
        INDEX:	P2W2
      OFFSETS:	5-12
       TOKENS:	P2W2-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukuwmap_1]
   UNSPLITVOC:	(lilHukuwmap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+Hukuwm+ap
        GLOSS:	for/to+the+government/administration/governments/administrations+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P2W3
      OFFSETS:	13-16
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	انشاءها
     IS_TRANS:	An$A'hA
        INDEX:	P2W4
      OFFSETS:	17-24
       TOKENS:	P2W5-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ino$A'_1]
   UNSPLITVOC:	(<ino$A'hA)
          POS:	NOUN.VN+POSS_PRON_3FS
          VOC:	<ino$A'+hA
        GLOSS:	establishing/setting up/founding+its/their/her

 INPUT STRING:	الكثير
     IS_TRANS:	Alkvyr
        INDEX:	P2W5
      OFFSETS:	25-31
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kaviyr_2]
   UNSPLITVOC:	(Alkaviyr)
          POS:	DET+ADJ
          VOC:	Al+kaviyr
        GLOSS:	the+many/much/numerous

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W6
      OFFSETS:	32-34
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الطرق
     IS_TRANS:	AlTrq
        INDEX:	P2W7
      OFFSETS:	35-40
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tariyqap_1]
   UNSPLITVOC:	(AlT~uruq)
          POS:	DET+NOUN
          VOC:	Al+Turuq
        GLOSS:	the+method/procedure/methods/manners

 INPUT STRING:	الجديده
     IS_TRANS:	Aljdydh
        INDEX:	P2W8
      OFFSETS:	41-48
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jidiyd_1]
   UNSPLITVOC:	(Aljidiydap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+jidiyd+ap
        GLOSS:	the+new/modern+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P2W9
      OFFSETS:	49-52
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	مستوى
     IS_TRANS:	mstwY
        INDEX:	P2W10
      OFFSETS:	53-58
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musotawaY_1]
   UNSPLITVOC:	(musotawaY)
          POS:	NOUN
          VOC:	musotawaY
        GLOSS:	level/standard

 INPUT STRING:	المحافظه
     IS_TRANS:	AlmHAfZh
        INDEX:	P2W11
      OFFSETS:	59-67
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muHAfaZap_2]
   UNSPLITVOC:	(AlmuHAfaZap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+muHAfaZ+ap
        GLOSS:	the+province/governorate+[fem.sg.]

 INPUT STRING:	ولكن
     IS_TRANS:	wlkn
        INDEX:	P2W12
      OFFSETS:	69-73
       TOKENS:	P2W14-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lakino_1]
   UNSPLITVOC:	(walakino)
          POS:	CONJ+CONJ
          VOC:	wa+lakino
        GLOSS:	and+But, however, yet, still, nevertheless, on the other hand

 INPUT STRING:	دون
     IS_TRANS:	dwn
        INDEX:	P2W13
      OFFSETS:	74-77
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwn_1]
