 INPUT STRING:	اخواتي
     IS_TRANS:	AxwAty
        INDEX:	P1W1
      OFFSETS:	0-6
       TOKENS:	P1W1-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ax~_1]
   UNSPLITVOC:	(<ixowAtiy)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_1S
          VOC:	<ixow+At+iy
        GLOSS:	brothers+[fem.pl.]+my

 INPUT STRING:	حبايبي
     IS_TRANS:	HbAyby
        INDEX:	P1W2
      OFFSETS:	7-13
       TOKENS:	P1W3-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Habiyb_1]
   UNSPLITVOC:	(HabAyobiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	HabAyob+iy
        GLOSS:	dear/beloved/sweetheart+my

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P1W3
      OFFSETS:	14-17
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	خايفه
     IS_TRANS:	xAyfh
        INDEX:	P1W4
      OFFSETS:	18-23
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAyif_1]
   UNSPLITVOC:	(xAyofap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	xAyof+ap
        GLOSS:	afraid+[fem.sg.]

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P1W5
      OFFSETS:	24-27
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	very/much+[acc.indef.]

 INPUT STRING:	افتحو
     IS_TRANS:	AftHw
        INDEX:	P2W1
      OFFSETS:	0-5
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fataH_1]
   UNSPLITVOC:	(<ifotaH~uwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	<ifotaH~+uwA
        GLOSS:	open+you

 INPUT STRING:	حلقة
     IS_TRANS:	Hlqp
        INDEX:	P2W2
      OFFSETS:	6-10
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haloqap_1]
   UNSPLITVOC:	(Haloqap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Haloq+ap
        GLOSS:	episode+[fem.sg.]

 INPUT STRING:	عمرو
     IS_TRANS:	Emrw
        INDEX:	P2W3
      OFFSETS:	11-15
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamorw_1]
   UNSPLITVOC:	(Eamorw)
          POS:	NOUN_PROP
          VOC:	Eamorw
        GLOSS:	Amr

 INPUT STRING:	اديب
     IS_TRANS:	Adyb
        INDEX:	P2W4
      OFFSETS:	16-20
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>adiyb_1]
   UNSPLITVOC:	(>adiyb)
          POS:	NOUN_PROP
          VOC:	>adiyb
        GLOSS:	Adeeb/Adib

 INPUT STRING:	دلوقتي
     IS_TRANS:	dlwqty
        INDEX:	P2W5
      OFFSETS:	21-27
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dilowaqotiy_1]
   UNSPLITVOC:	(dilowaqotiy)
          POS:	ADV
          VOC:	dilowaqotiy
        GLOSS:	now

 INPUT STRING:	هتلقوها
     IS_TRANS:	htlqwhA
        INDEX:	P2W6
      OFFSETS:	28-35
       TOKENS:	P2W6-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[laqaY_1]
   UNSPLITVOC:	(hatilaquwAhA)
          POS:	FUT_PART+IV2P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:3FS
          VOC:	ha+ti+laq+uwA+hA
        GLOSS:	will+you+find+you[pl.]+it/she

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P2W7
      OFFSETS:	36-38
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	الانفلات
     IS_TRANS:	AlAnflAt
        INDEX:	P2W8
      OFFSETS:	39-47
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinofilAt_1]
   UNSPLITVOC:	(AlAinofilAt)
          POS:	DET+NOUN
          VOC:	Al+AinofilAt
        GLOSS:	the+evasion/release

 INPUT STRING:	الامني
     IS_TRANS:	AlAmny
        INDEX:	P2W9
      OFFSETS:	48-54
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amoniy~_1]
   UNSPLITVOC:	(Al>amoniy~)
          POS:	DET+ADJ
          VOC:	Al+>amoniy~
        GLOSS:	the+security/safety

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P2W10
      OFFSETS:	55-57
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P2W11
      OFFSETS:	58-61
       TOKENS:	P2W13-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	وكل
     IS_TRANS:	wkl
        INDEX:	P3W1
      OFFSETS:	0-3
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(wikul~)
          POS:	CONJ+NOUN_QUANT
          VOC:	wi+kul~
        GLOSS:	and+all/entire

 INPUT STRING:	الامهات
     IS_TRANS:	AlAmhAt
        INDEX:	P3W2
      OFFSETS:	4-11
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~_1]
   UNSPLITVOC:	(Al>um~ahAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+>um~ah+At
        GLOSS:	the+mothers+[fem.pl.]

 INPUT STRING:	خايفين
     IS_TRANS:	xAyfyn
        INDEX:	P3W3
      OFFSETS:	12-18
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAyif_1]
   UNSPLITVOC:	(xAyifiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	xAyif+iyn
        GLOSS:	afraid+[masc.pl.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P3W4
      OFFSETS:	19-22
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	ولادهم
     IS_TRANS:	wlAdhm
        INDEX:	P3W5
      OFFSETS:	23-29
       TOKENS:	P3W6-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[walad_1]
   UNSPLITVOC:	(wilAdhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	wilAd+hum
        GLOSS:	child/son+their

 INPUT STRING:	والناس
     IS_TRANS:	wAlnAs
        INDEX:	P4W1
      OFFSETS:	0-6
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(wiAlnAs)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+nAs
        GLOSS:	and+the+people

 INPUT STRING:	مبتخرجش
     IS_TRANS:	mbtxrj$
        INDEX:	P4W2
      OFFSETS:	7-14
       TOKENS:	P4W3-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaraj_1]
   UNSPLITVOC:	(mA_bituxoruj$)
          POS:	NEG_PART+PROG_PART+IV3FS+IV+NEG_PART
          VOC:	mA+bi+tu+xoruj+$
        GLOSS:	not+[present-tense]+it/they/she+go out+not

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P4W3
      OFFSETS:	15-17
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	بيتها
     IS_TRANS:	bythA
        INDEX:	P4W4
      OFFSETS:	18-23
       TOKENS:	P4W8-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[biyt_1]
   UNSPLITVOC:	(biythA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	biyt+hA
        GLOSS:	house/houses+its/their/her

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P4W5
      OFFSETS:	24-26
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	وقت
     IS_TRANS:	wqt
        INDEX:	P4W6
      OFFSETS:	27-30
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(waqot)
          POS:	NOUN
          VOC:	waqot
        GLOSS:	time/moment/period of time

 INPUT STRING:	متأخر
     IS_TRANS:	mt>xr
        INDEX:	P4W7
      OFFSETS:	31-36
       TOKENS:	P4W12-P4W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mito>ax~ar_1]
   UNSPLITVOC:	(mito>ax~ar)
          POS:	ADJ
          VOC:	mito>ax~ar
        GLOSS:	late

 INPUT STRING:	وعصابات
     IS_TRANS:	wESAbAt
        INDEX:	P5W1
      OFFSETS:	0-7
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EiSAbAp_1]
   UNSPLITVOC:	(wiEiSAbAt)
          POS:	CONJ+NOUN+NSUFF_FEM_PL
          VOC:	wi+EiSAb+At
        GLOSS:	and+gangs/groups+[fem.pl.]

 INPUT STRING:	خطف
     IS_TRANS:	xTf
        INDEX:	P5W2
      OFFSETS:	8-11
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaTof_1]
   UNSPLITVOC:	(xaTof)
          POS:	NOUN
          VOC:	xaTof
        GLOSS:	hijacking/abduction/kidnapping/by force/rapidly

 INPUT STRING:	الاطفال
     IS_TRANS:	AlATfAl
        INDEX:	P5W3
      OFFSETS:	12-19
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tifol_1]
   UNSPLITVOC:	(AlATofAl)
          POS:	DET+NOUN
          VOC:	Al+ATofAl
        GLOSS:	the+child/boy/child/girl/children/infants

 INPUT STRING:	وبعدين
     IS_TRANS:	wbEdyn
        INDEX:	P6W1
      OFFSETS:	0-6
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEodayn_1]
   UNSPLITVOC:	(wibaEodayn)
          POS:	CONJ+ADV
          VOC:	wi+baEodayn
        GLOSS:	and+then

