 INPUT STRING:	ياجماعه
     IS_TRANS:	yAjmAEh
        INDEX:	P1W1
      OFFSETS:	0-7
       TOKENS:	P1W1-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAEap_1]
   UNSPLITVOC:	(yAjamAEap)
          POS:	VOC_PART+NOUN+NSUFF_FEM_SG
          VOC:	yA+jamAE+ap
        GLOSS:	O/oh+party/group/squad/groups/parties/squads+[fem.sg.]

 INPUT STRING:	مالكم
     IS_TRANS:	mAlkm
        INDEX:	P1W2
      OFFSETS:	8-13
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mAlkm)
          POS:	NO_FUNC
          VOC:	mAlkm
        GLOSS:	nogloss

 INPUT STRING:	نسيتوا
     IS_TRANS:	nsytwA
        INDEX:	P1W3
      OFFSETS:	14-20
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisiy_1]
   UNSPLITVOC:	(nisiytuwA)
          POS:	PV+PVSUFF_SUBJ:2P
          VOC:	nisiy+tuwA
        GLOSS:	forget+you

 INPUT STRING:	الاحداث
     IS_TRANS:	AlAHdAv
        INDEX:	P1W4
      OFFSETS:	21-28
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadav_1]
   UNSPLITVOC:	(Al>aHodAv)
          POS:	DET+NOUN
          VOC:	Al+>aHodAv
        GLOSS:	the+incident/event/events

 INPUT STRING:	بسرعه
     IS_TRANS:	bsrEh
        INDEX:	P1W5
      OFFSETS:	29-34
       TOKENS:	P1W6-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suroEap_1]
   UNSPLITVOC:	(bisuroEap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+suroE+ap
        GLOSS:	with/by+speed/velocity/promptness/speeds+[fem.sg.]

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P1W6
      OFFSETS:	35-38
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	like that

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P1W7
      OFFSETS:	39-42
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	REL_ADV
          VOC:	layoh
        GLOSS:	who/why/whose

 INPUT STRING:	نسيته
     IS_TRANS:	nsyth
        INDEX:	P1W8
      OFFSETS:	43-48
       TOKENS:	P1W10-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nisiy_1]
   UNSPLITVOC:	(nisiytuh)
          POS:	PV+PVSUFF_SUBJ:2P+PVSUFF_DO:3MS
          VOC:	nisiy+tuwA+hu
        GLOSS:	forget+you+it/him

 INPUT STRING:	احداث
     IS_TRANS:	AHdAv
        INDEX:	P1W9
      OFFSETS:	49-54
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadav_1]
   UNSPLITVOC:	(>aHodAv)
          POS:	NOUN
          VOC:	>aHodAv
        GLOSS:	incident/event/events

 INPUT STRING:	بور
     IS_TRANS:	bwr
        INDEX:	P1W10
      OFFSETS:	55-58
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[buwr_2]
   UNSPLITVOC:	(buwr)
          POS:	NOUN_PROP
          VOC:	buwr
        GLOSS:	Port

 INPUT STRING:	سعيد
     IS_TRANS:	sEyd
        INDEX:	P1W11
      OFFSETS:	59-63
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saEiyd_1]
   UNSPLITVOC:	(saEiyd)
          POS:	NOUN_PROP
          VOC:	saEiyd
        GLOSS:	Said/Saeed

 INPUT STRING:	وكان
     IS_TRANS:	wkAn
        INDEX:	P1W12
      OFFSETS:	64-68
       TOKENS:	P1W15-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(wikAn)
          POS:	PART+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+kAn+(null)
        GLOSS:	[part.]+be/was/were+he/it

 INPUT STRING:	شىء
     IS_TRANS:	$Y'
        INDEX:	P1W13
      OFFSETS:	69-72
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$iy'_1]
   UNSPLITVOC:	($iy')
          POS:	NOUN
          VOC:	$iy'
        GLOSS:	thing/things/something

 INPUT STRING:	لم
     IS_TRANS:	lm
        INDEX:	P1W14
      OFFSETS:	73-75
       TOKENS:	P1W18-P1W18
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamo_1]
   UNSPLITVOC:	(lamo)
          POS:	NEG_PART
          VOC:	lamo
        GLOSS:	did not

 INPUT STRING:	يحدث
     IS_TRANS:	yHdv
        INDEX:	P1W15
      OFFSETS:	76-80
       TOKENS:	P1W19-P1W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadav_1]
   UNSPLITVOC:	(yiHoduv)
          POS:	IV3MS+IV
          VOC:	yi+Hoduv
        GLOSS:	he/it+happen/take place

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P1W16
      OFFSETS:	81-88
       TOKENS:	P1W20-P1W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
