 INPUT STRING:	الملاحظ
     IS_TRANS:	AlmlAHZ
        INDEX:	P1W1
      OFFSETS:	0-7
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mulAHaZ_1]
   UNSPLITVOC:	(AlmulAHaZ)
          POS:	DET+NOUN
          VOC:	Al+mulAHaZ
        GLOSS:	the+noticeable

 INPUT STRING:	ارتفاع
     IS_TRANS:	ArtfAE
        INDEX:	P1W2
      OFFSETS:	8-14
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AirotifAE_1]
   UNSPLITVOC:	(AirotifAE)
          POS:	NOUN
          VOC:	AirotifAE
        GLOSS:	rise/increase/elevation

 INPUT STRING:	تكاليف
     IS_TRANS:	tkAlyf
        INDEX:	P1W3
      OFFSETS:	15-21
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[takolifap_1]
   UNSPLITVOC:	(takAliyf)
          POS:	NOUN
          VOC:	takAliyf
        GLOSS:	cost computation

 INPUT STRING:	الزواج
     IS_TRANS:	AlzwAj
        INDEX:	P1W4
      OFFSETS:	22-28
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zawAj_1]
   UNSPLITVOC:	(Alz~awAj)
          POS:	DET+NOUN
          VOC:	Al+zawAj
        GLOSS:	the+marriage/wedding

 INPUT STRING:	فما
     IS_TRANS:	fmA
        INDEX:	P1W5
      OFFSETS:	29-32
       TOKENS:	P1W5-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(famA)
          POS:	CONJ+INTERROG_PRON
          VOC:	fa+mA
        GLOSS:	so/and+what/which

 INPUT STRING:	الحل
     IS_TRANS:	AlHl
        INDEX:	P1W6
      OFFSETS:	33-37
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hal~_1]
   UNSPLITVOC:	(AlHal~)
          POS:	DET+NOUN
          VOC:	Al+Hal~
        GLOSS:	the+solution/dissolution/cancellation/solutions/dissolutions/cancellations

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P1W7
      OFFSETS:	38-39
