 INPUT STRING:	اليوم
     IS_TRANS:	Alywm
        INDEX:	P1W1
      OFFSETS:	0-5
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(Alyawm)
          POS:	DET+NOUN
          VOC:	Al+yawm
        GLOSS:	the+today/some day/ever/days

 INPUT STRING:	زارتنى
     IS_TRANS:	zArtnY
        INDEX:	P1W2
      OFFSETS:	6-12
       TOKENS:	P1W2-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zAr_1]
   UNSPLITVOC:	(zAritniy)
          POS:	PV+PVSUFF_SUBJ:3FS+PVSUFF_DO:1S
          VOC:	zAr+it+niy
        GLOSS:	visit+it/they/she+me

 INPUT STRING:	قريبة
     IS_TRANS:	qrybp
        INDEX:	P1W3
      OFFSETS:	13-18
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qariyb_2]
   UNSPLITVOC:	(qariybap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qariyb+ap
        GLOSS:	relative+[fem.sg.]

 INPUT STRING:	لية
     IS_TRANS:	lyp
        INDEX:	P1W4
      OFFSETS:	19-22
       TOKENS:	P1W5-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liya)
          POS:	PREP+PRON_1S
          VOC:	li+ya
        GLOSS:	to/for+me

 INPUT STRING:	وقالتلى
     IS_TRANS:	wqAltlY
        INDEX:	P1W5
      OFFSETS:	23-30
       TOKENS:	P1W7-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wiqAlit_liy)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS+PREP+PRON_1S
          VOC:	wi+qAl+it+li+iy
