 INPUT STRING:	الطرف
     IS_TRANS:	AlTrf
        INDEX:	P1W1
      OFFSETS:	0-5
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Taraf_1]
   UNSPLITVOC:	(AlT~araf)
          POS:	DET+NOUN
          VOC:	Al+Taraf
        GLOSS:	the+participant/player/involved member/party/side/parties/sides

 INPUT STRING:	الثالث
     IS_TRANS:	AlvAlv
        INDEX:	P1W2
      OFFSETS:	6-12
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlvAliv_1]
   UNSPLITVOC:	(AlvAliv)
          POS:	DET+ADJ_NUM
          VOC:	Al+vAliv
        GLOSS:	the+third

 INPUT STRING:	اللهو
     IS_TRANS:	Allhw
        INDEX:	P1W3
      OFFSETS:	21-26
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lahow_1]
   UNSPLITVOC:	(All~ahow)
          POS:	DET+NOUN
          VOC:	Al+lahow
        GLOSS:	the+entertainment/amusement

 INPUT STRING:	الخفى
     IS_TRANS:	AlxfY
        INDEX:	P1W4
      OFFSETS:	27-32
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xafiy_1]
   UNSPLITVOC:	(Alxafiy)
          POS:	DET+ADJ
          VOC:	Al+xafiy
        GLOSS:	the+hidden/secret/invisible

 INPUT STRING:	حريق
     IS_TRANS:	Hryq
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hariyq_1]
   UNSPLITVOC:	(Hariyq)
          POS:	NOUN
          VOC:	Hariyq
        GLOSS:	fire/fires

 INPUT STRING:	سيوة
     IS_TRANS:	sywp
        INDEX:	P2W2
      OFFSETS:	6-10
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[siywap_1]
   UNSPLITVOC:	(siywap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	siyw+ap
        GLOSS:	Siwa+[fem.sg.]

 INPUT STRING:	يلتهم
     IS_TRANS:	ylthm
        INDEX:	P2W3
      OFFSETS:	12-17
       TOKENS:	P2W3-P2W3
