 INPUT STRING:	ظهرت
     IS_TRANS:	Zhrt
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zahar_1]
   UNSPLITVOC:	(Zaharit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	Zahar+it
        GLOSS:	appear/emerge+it/they/she

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P1W2
      OFFSETS:	5-7
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	عدد
     IS_TRANS:	Edd
        INDEX:	P1W3
      OFFSETS:	8-11
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eadad_1]
   UNSPLITVOC:	(Eadad)
          POS:	NOUN
          VOC:	Eadad
        GLOSS:	number/quantity/issue/numbers/issues

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P1W4
      OFFSETS:	12-14
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	المدارس
     IS_TRANS:	AlmdArs
        INDEX:	P1W5
      OFFSETS:	15-22
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madorasap_1]
   UNSPLITVOC:	(AlmadAris)
          POS:	DET+NOUN
          VOC:	Al+madAris
        GLOSS:	the+school

 INPUT STRING:	بالقاهرة
     IS_TRANS:	bAlqAhrp
        INDEX:	P1W6
      OFFSETS:	23-31
       TOKENS:	P1W6-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAhirap_1]
   UNSPLITVOC:	(biAlqAhirap)
          POS:	PREP+DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	bi+Al+qAhir+ap
        GLOSS:	with/by+the+Cairo+[fem.sg.]

 INPUT STRING:	ومختلف
     IS_TRANS:	wmxtlf
        INDEX:	P1W7
      OFFSETS:	32-38
       TOKENS:	P1W8-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muxotalif_1]
   UNSPLITVOC:	(wimuxotalif)
          POS:	CONJ+NOUN
          VOC:	wi+muxotalif
        GLOSS:	and+different/various

 INPUT STRING:	المحافظات
     IS_TRANS:	AlmHAfZAt
        INDEX:	P1W8
      OFFSETS:	39-48
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHAfoZap_1]
   UNSPLITVOC:	(AlmuHAfoZAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+muHAfoZ+At
        GLOSS:	the+Province/Governorate+[fem.pl.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P1W9
      OFFSETS:	48-49
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	ظاهرة
     IS_TRANS:	ZAhrp
        INDEX:	P1W10
      OFFSETS:	50-55
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ZAhirap_1]
   UNSPLITVOC:	(ZAhirap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	ZAhir+ap
        GLOSS:	phenomenon/phenomena+[fem.sg.]

 INPUT STRING:	جديدة
     IS_TRANS:	jdydp
        INDEX:	P1W11
      OFFSETS:	56-61
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jidiyd_1]
   UNSPLITVOC:	(jidiydap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	jidiyd+ap
        GLOSS:	new+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P1W12
      OFFSETS:	62-64
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	نوعها
     IS_TRANS:	nwEhA
        INDEX:	P1W13
      OFFSETS:	65-70
       TOKENS:	P1W15-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[nuwE_1]
   UNSPLITVOC:	(nuwEhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	nuwE+hA
        GLOSS:	type/kind/form+its/their/her

 INPUT STRING:	وهى
     IS_TRANS:	whY
        INDEX:	P1W14
      OFFSETS:	71-74
       TOKENS:	P1W17-P1W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(wihiy~a)
          POS:	CONJ+DEM_PRON_FS
          VOC:	wi+hiy~a
        GLOSS:	and+she

 INPUT STRING:	استبدال
     IS_TRANS:	AstbdAl
        INDEX:	P1W15
      OFFSETS:	75-82
       TOKENS:	P1W19-P1W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotibodAl_1]
   UNSPLITVOC:	(AisotibodAl)
          POS:	NOUN
          VOC:	AisotibodAl
        GLOSS:	substitution

 INPUT STRING:	النشيد
     IS_TRANS:	Aln$yd
        INDEX:	P1W16
      OFFSETS:	83-89
       TOKENS:	P1W20-P1W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[na$iyd_1]
   UNSPLITVOC:	(Aln~a$iyd)
          POS:	DET+NOUN
          VOC:	Al+na$iyd
        GLOSS:	the+anthem/hymn/song

 INPUT STRING:	الوطني
     IS_TRANS:	AlwTny
        INDEX:	P1W17
      OFFSETS:	90-96
       TOKENS:	P1W21-P1W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waTaniy_1]
   UNSPLITVOC:	(AlwaTaniy)
          POS:	DET+ADJ
          VOC:	Al+waTaniy
        GLOSS:	the+national

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P1W18
      OFFSETS:	97-99
       TOKENS:	P1W22-P1W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	طابور
     IS_TRANS:	TAbwr
        INDEX:	P1W19
      OFFSETS:	100-105
       TOKENS:	P1W23-P1W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAbuwr_1]
   UNSPLITVOC:	(TAbuwr)
          POS:	NOUN
          VOC:	TAbuwr
        GLOSS:	column/battalion

 INPUT STRING:	الصباح
     IS_TRANS:	AlSbAH
        INDEX:	P1W20
      OFFSETS:	106-112
       TOKENS:	P1W24-P1W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SabAH_1]
   UNSPLITVOC:	(AlS~abAH)
          POS:	DET+NOUN
          VOC:	Al+SabAH
        GLOSS:	the+morning

 INPUT STRING:	بالأناشيد
     IS_TRANS:	bAl>nA$yd
        INDEX:	P1W21
      OFFSETS:	113-122
       TOKENS:	P1W25-P1W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nA$iyd_1]
   UNSPLITVOC:	(biAl>anA$iyd)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+>anA$iyd
        GLOSS:	with/by+the+anthems/hymns/songs

 INPUT STRING:	الدينية
     IS_TRANS:	Aldynyp
        INDEX:	P1W22
      OFFSETS:	123-130
       TOKENS:	P1W27-P1W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyniy_1]
   UNSPLITVOC:	(Ald~iyniy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+diyniy~+ap
        GLOSS:	the+religious+[fem.sg.]

 INPUT STRING:	الخاصة
     IS_TRANS:	AlxASp
        INDEX:	P1W23
      OFFSETS:	131-137
       TOKENS:	P1W28-P1W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAS~ap_1]
   UNSPLITVOC:	(AlxAS~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+xAS~+ap
        GLOSS:	the+elite+[fem.sg.]

 INPUT STRING:	بجماعة
     IS_TRANS:	bjmAEp
        INDEX:	P1W24
      OFFSETS:	138-144
       TOKENS:	P1W29-P1W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAEap_1]
   UNSPLITVOC:	(bijamAEap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+jamAE+ap
        GLOSS:	with/by+party/group/squad/groups/parties/squads/Gama'a/Jemaah+[fem.sg.]

 INPUT STRING:	الإخوان
     IS_TRANS:	Al<xwAn
        INDEX:	P1W25
      OFFSETS:	145-152
       TOKENS:	P1W31-P1W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ixowAn_1]
   UNSPLITVOC:	(AlAixowAn)
          POS:	DET+NOUN_PROP
          VOC:	Al+<ixowAn
        GLOSS:	the+Akhwan

 INPUT STRING:	المسلمين
     IS_TRANS:	Almslmyn
        INDEX:	P1W26
      OFFSETS:	153-161
       TOKENS:	P1W32-P1W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[musolim_1]
   UNSPLITVOC:	(Almusolimiyn)
          POS:	DET+NOUN_PROP+NSUFF_MASC_PL
          VOC:	Al+musolim+iyn
        GLOSS:	the+Muslims+[masc.pl.]

 INPUT STRING:	والتيار
     IS_TRANS:	wAltyAr
