 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P1W1
      OFFSETS:	0-1
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	ننتظر
     IS_TRANS:	nntZr
        INDEX:	P1W2
      OFFSETS:	1-6
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{inotaZar_1]
   UNSPLITVOC:	(nanotaZir)
          POS:	IV1P+IV
          VOC:	na+notaZir
        GLOSS:	we+wait/expect

 INPUT STRING:	المشير
     IS_TRANS:	Alm$yr
        INDEX:	P1W3
      OFFSETS:	7-13
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$iyr_1]
   UNSPLITVOC:	(Almu$iyr)
          POS:	DET+NOUN
          VOC:	Al+mu$iyr
        GLOSS:	the+field marshal/general

 INPUT STRING:	واللؤات
     IS_TRANS:	wAll&At
        INDEX:	P1W4
      OFFSETS:	14-21
       TOKENS:	P1W4-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[l~iwA'_1]
   UNSPLITVOC:	(wiAll~iwA'At)
          POS:	CONJ+DET+NOUN+NSUFF_MASC_PL
          VOC:	wi+Al+l~iwA'+At
        GLOSS:	and+the+major/ general+[fem.pl.]

 INPUT STRING:	والرتب
     IS_TRANS:	wAlrtb
        INDEX:	P1W5
      OFFSETS:	22-28
       TOKENS:	P1W6-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rutobap_1]
   UNSPLITVOC:	(wiAlrutab)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+r~utab
        GLOSS:	and+the+levels /ranks

 INPUT STRING:	العااااااااليه
     IS_TRANS:	AlEAAAAAAAAlyh
        INDEX:	P1W6
      OFFSETS:	29-43
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlEAliy_1]
   UNSPLITVOC:	(AlEAliyap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+EAliy+ap
        GLOSS:	the+high/elevated+[fem.sg.]

 INPUT STRING:	قوي
     IS_TRANS:	qwy
        INDEX:	P1W7
      OFFSETS:	44-47
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(qawiy)
          POS:	NOUN
          VOC:	qawiy
        GLOSS:	very much

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P1W8
      OFFSETS:	48-52
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	بتاخد
     IS_TRANS:	btAxd
        INDEX:	P1W9
      OFFSETS:	53-58
       TOKENS:	P1W11-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaxad_1]
   UNSPLITVOC:	(bitAxud)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+t+Axud
        GLOSS:	[present-tense]+it/they/she+take

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P1W10
      OFFSETS:	59-61
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الشهر
     IS_TRANS:	Al$hr
        INDEX:	P1W11
      OFFSETS:	62-67
       TOKENS:	P1W14-P1W14
