 INPUT STRING:	مخطوفة
     IS_TRANS:	mxTwfp
        INDEX:	P1W1
      OFFSETS:	0-6
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maxoTuwf_2]
   UNSPLITVOC:	(maxoTuwfap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	maxoTuwf+ap
        GLOSS:	abducted/kidnapped+[fem.sg.]

 INPUT STRING:	منك
     IS_TRANS:	mnk
        INDEX:	P1W2
      OFFSETS:	7-10
       TOKENS:	P1W2-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~ak)
          POS:	PREP+PRON_2MS
          VOC:	min~+ak
        GLOSS:	from+you

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P2W1
      OFFSETS:	0-2
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	صفحة
     IS_TRANS:	SfHp
        INDEX:	P2W2
      OFFSETS:	3-7
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SafoHap_1]
   UNSPLITVOC:	(SafoHap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	SafoH+ap
        GLOSS:	page+[fem.sg.]

 INPUT STRING:	الحوادث
     IS_TRANS:	AlHwAdv
        INDEX:	P2W3
      OFFSETS:	8-15
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAdiv_1]
   UNSPLITVOC:	(AlHawAdiv)
          POS:	DET+NOUN
          VOC:	Al+HawAdiv
        GLOSS:	the+incidents/events

 INPUT STRING:	وفي
     IS_TRANS:	wfy
        INDEX:	P2W4
      OFFSETS:	16-19
       TOKENS:	P2W4-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(wifiy)
          POS:	CONJ+PREP
          VOC:	wi+fiy
        GLOSS:	and+in

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P2W5
      OFFSETS:	20-23
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/days/day

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P2W6
      OFFSETS:	24-28
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	one

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P2W7
      OFFSETS:	29-33
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be+it/they/she

 INPUT STRING:	هناك
     IS_TRANS:	hnAk
        INDEX:	P2W8
      OFFSETS:	34-38
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinAk_1]
   UNSPLITVOC:	(hinAk)
          POS:	ADV
          VOC:	hinAk
        GLOSS:	there

 INPUT STRING:	5
     IS_TRANS:	5
        INDEX:	P2W9
      OFFSETS:	39-40
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(5)
          POS:	NOUN_NUM
          VOC:	5
        GLOSS:	5

 INPUT STRING:	حوادث
     IS_TRANS:	HwAdv
        INDEX:	P2W10
      OFFSETS:	41-46
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[HAdvap_1]
   UNSPLITVOC:	(HawAdiv)
          POS:	NOUN
          VOC:	HawAdiv
        GLOSS:	incidents/events

 INPUT STRING:	عناوينها
     IS_TRANS:	EnAwynhA
        INDEX:	P2W11
      OFFSETS:	47-55
       TOKENS:	P2W12-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EinwAn_2]
   UNSPLITVOC:	(EanAwiynhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	EanAwiyn+hA
        GLOSS:	titles/headlines+its/their/her

 INPUT STRING:	كالتالي
     IS_TRANS:	kAltAly
        INDEX:	P2W12
      OFFSETS:	56-63
       TOKENS:	P2W14-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAliy_1]
   UNSPLITVOC:	(kaAlt~Aliy)
          POS:	PREP+DET+ADJ
          VOC:	ka+Al+tAliy
        GLOSS:	like/such+the+following/subsequent

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P2W13
      OFFSETS:	63-64
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	عودة
     IS_TRANS:	Ewdp
        INDEX:	P3W1
      OFFSETS:	2-6
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eawdap_1]
   UNSPLITVOC:	(Eawdap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Eawd+ap
        GLOSS:	return+[fem.sg.]

 INPUT STRING:	لواء
     IS_TRANS:	lwA'
        INDEX:	P3W2
      OFFSETS:	7-11
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liwA'_2]
   UNSPLITVOC:	(liwA')
          POS:	NOUN
          VOC:	liwA'
        GLOSS:	major general

 INPUT STRING:	شرطة
     IS_TRANS:	$rTp
        INDEX:	P3W3
      OFFSETS:	12-16
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uroTap_1]
   UNSPLITVOC:	($uroTap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$uroT+ap
        GLOSS:	police+[fem.sg.]

 INPUT STRING:	تركه
     IS_TRANS:	trkh
        INDEX:	P3W4
      OFFSETS:	17-21
       TOKENS:	P3W4-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tarak_1]
   UNSPLITVOC:	(tarakuh)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3MS
          VOC:	tarak+(null)+uh
        GLOSS:	leave/quit/be left/be abandoned+he/it+it/him

 INPUT STRING:	مختطفوه
     IS_TRANS:	mxtTfwh
        INDEX:	P3W5
      OFFSETS:	22-29
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mxtTfwh)
          POS:	NO_FUNC
          VOC:	mxtTfwh
        GLOSS:	nogloss

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P3W6
      OFFSETS:	30-33
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	دفع
     IS_TRANS:	dfE
        INDEX:	P3W7
      OFFSETS:	34-37
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dafoE_1]
   UNSPLITVOC:	(dafoE)
          POS:	NOUN
          VOC:	dafoE
        GLOSS:	payment

 INPUT STRING:	الفدية
     IS_TRANS:	Alfdyp
        INDEX:	P3W8
      OFFSETS:	38-44
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fidoyap_1]
   UNSPLITVOC:	(Alfidoyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+fidoy+ap
        GLOSS:	the+ransom/ransoms+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W9
      OFFSETS:	44-45
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	مقاول
     IS_TRANS:	mqAwl
        INDEX:	P4W1
      OFFSETS:	2-7
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miqAwil_1]
   UNSPLITVOC:	(miqAwil)
          POS:	NOUN
          VOC:	miqAwil
        GLOSS:	contractor

 INPUT STRING:	يستأجر
     IS_TRANS:	yst>jr
        INDEX:	P4W2
      OFFSETS:	8-14
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<isota>ojar_1]
   UNSPLITVOC:	(yisota>ojar)
          POS:	IV3MS+IV
          VOC:	yi+sota>ojar
        GLOSS:	he/it+rent/hire

 INPUT STRING:	7
     IS_TRANS:	7
        INDEX:	P4W3
      OFFSETS:	15-16
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(7)
          POS:	NOUN_NUM
          VOC:	7
        GLOSS:	7

 INPUT STRING:	بلطجية
     IS_TRANS:	blTjyp
        INDEX:	P4W4
      OFFSETS:	17-23
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baloTajiy_1]
   UNSPLITVOC:	(baloTajiy~ap)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	baloTajiy~+ap
        GLOSS:	gangster/ruffian+[masc.pl.]

 INPUT STRING:	لاختطاف
     IS_TRANS:	lAxtTAf
        INDEX:	P4W5
      OFFSETS:	24-31
       TOKENS:	P4W5-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ixotiTAf_1]
   UNSPLITVOC:	(li<ixotiTAf)
          POS:	PREP+NOUN
          VOC:	li+<ixotiTAf
        GLOSS:	for/to+abduction/kidnapping

 INPUT STRING:	زميله
     IS_TRANS:	zmylh
        INDEX:	P4W6
      OFFSETS:	32-37
       TOKENS:	P4W7-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zimiyl_1]
   UNSPLITVOC:	(zimiyluh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	zimiyl+uh
        GLOSS:	colleague/associate/companion+his/its

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W7
      OFFSETS:	37-38
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	مسجل
     IS_TRANS:	msjl
        INDEX:	P5W1
      OFFSETS:	2-6
       TOKENS:	P5W1-P5W1
