 INPUT STRING:	وبدات
     IS_TRANS:	wbdAt
        INDEX:	P1W1
      OFFSETS:	0-5
       TOKENS:	P1W1-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bada>_1]
   UNSPLITVOC:	(wibada>it)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS
          VOC:	wi+bada>+it
        GLOSS:	and+start/begin+it/they/she

 INPUT STRING:	فضائح
     IS_TRANS:	fDA}H
        INDEX:	P1W2
      OFFSETS:	6-11
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faDiyHap_1]
   UNSPLITVOC:	(faDA}iH)
          POS:	NOUN
          VOC:	faDA}iH
        GLOSS:	scandal

 INPUT STRING:	الجنزورى
     IS_TRANS:	AljnzwrY
        INDEX:	P1W3
      OFFSETS:	12-20
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[janozuwriy_1]
   UNSPLITVOC:	(Aljanozuwriy)
          POS:	DET+NOUN_PROP
          VOC:	Al+janozuwriy
        GLOSS:	the+Janzouri

 INPUT STRING:	رجل
     IS_TRANS:	rjl
        INDEX:	P1W4
      OFFSETS:	21-24
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijol_1]
   UNSPLITVOC:	(rijol)
          POS:	NOUN
          VOC:	rijol
        GLOSS:	man

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P1W5
      OFFSETS:	25-30
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	وطنطاوى
     IS_TRANS:	wTnTAwY
        INDEX:	P1W6
      OFFSETS:	31-38
       TOKENS:	P1W7-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[TanoTAwiy~_1]
   UNSPLITVOC:	(waTanoTAwiy~)
          POS:	CONJ+NOUN_PROP
          VOC:	wa+TanoTAwiy~
        GLOSS:	and+Tantawi/Tantaoui

