 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P1W1
      OFFSETS:	0-3
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	تعرف
     IS_TRANS:	tErf
        INDEX:	P1W2
      OFFSETS:	4-8
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(tiEoraf)
          POS:	IV2MS+IV
          VOC:	ti+Eoraf
        GLOSS:	you+know/be known

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P1W3
      OFFSETS:	9-11
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P1W4
      OFFSETS:	12-14
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	وفد
     IS_TRANS:	wfd
        INDEX:	P1W5
      OFFSETS:	15-18
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wafod_1]
   UNSPLITVOC:	(wafod)
          POS:	NOUN
          VOC:	wafod
        GLOSS:	delegation

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P1W6
      OFFSETS:	19-21
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	حماس
     IS_TRANS:	HmAs
        INDEX:	P1W7
      OFFSETS:	22-26
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HamAs_1]
   UNSPLITVOC:	(HamAs)
          POS:	NOUN_PROP
          VOC:	HamAs
        GLOSS:	Hamas

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P1W8
      OFFSETS:	27-29
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P1W9
      OFFSETS:	30-33
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P1W10
      OFFSETS:	34-36
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	امبارح
     IS_TRANS:	AmbArH
        INDEX:	P1W11
      OFFSETS:	37-43
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<imobAriH_1]
   UNSPLITVOC:	(<imobAriH)
          POS:	NOUN
          VOC:	<imobAriH
        GLOSS:	yesterday

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P1W12
      OFFSETS:	44-48
       TOKENS:	P1W12-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	for+that

 INPUT STRING:	يعزي
     IS_TRANS:	yEzy
        INDEX:	P1W13
      OFFSETS:	49-53
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaz~ay_1]
   UNSPLITVOC:	(yiEaz~iy)
          POS:	IV3MS+IV
          VOC:	yi+Eaz~iy
