 INPUT STRING:	الان
     IS_TRANS:	AlAn
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|an_1]
   UNSPLITVOC:	(Al|an)
          POS:	DET+NOUN
          VOC:	Al+|an
        GLOSS:	the+time/moment

 INPUT STRING:	تواجد
     IS_TRANS:	twAjd
        INDEX:	P1W2
      OFFSETS:	5-10
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawAjud_1]
   UNSPLITVOC:	(tawAjud)
          POS:	NOUN
          VOC:	tawAjud
        GLOSS:	presence

 INPUT STRING:	أمنى
     IS_TRANS:	>mnY
        INDEX:	P1W3
      OFFSETS:	11-15
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoniy_1]
   UNSPLITVOC:	(>amoniy)
          POS:	ADJ
          VOC:	>amoniy
        GLOSS:	security/safety

 INPUT STRING:	مكثف
     IS_TRANS:	mkvf
        INDEX:	P1W4
      OFFSETS:	16-20
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mikav~if_1]
   UNSPLITVOC:	(mikav~if)
          POS:	ADJ
          VOC:	mikav~if
        GLOSS:	intensive

 INPUT STRING:	بأسوان
     IS_TRANS:	b>swAn
        INDEX:	P1W5
      OFFSETS:	21-27
       TOKENS:	P1W5-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asowAn_1]
   UNSPLITVOC:	(bi>asowAn)
          POS:	PREP+NOUN_PROP
          VOC:	bi+>asowAn
        GLOSS:	with/by+Aswan

