 INPUT STRING:	ستار
     IS_TRANS:	stAr
        INDEX:	P1W1
      OFFSETS:	1-5
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(stAr)
          POS:	FOREIGN
          VOC:	stAr
        GLOSS:	nogloss

 INPUT STRING:	أكاديمي
     IS_TRANS:	>kAdymy
        INDEX:	P1W2
      OFFSETS:	6-13
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(>kAdymy)
          POS:	FOREIGN
          VOC:	>kAdymy
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W3
      OFFSETS:	14-15
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W4
      OFFSETS:	15-16
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W5
      OFFSETS:	16-17
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	عادل
     IS_TRANS:	EAdl
        INDEX:	P1W6
      OFFSETS:	18-22
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdil_1]
   UNSPLITVOC:	(EAdil)
          POS:	NOUN_PROP
          VOC:	EAdil
        GLOSS:	Adel/Adil

 INPUT STRING:	إمام
     IS_TRANS:	<mAm
        INDEX:	P1W7
      OFFSETS:	23-27
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[imAm_1]
   UNSPLITVOC:	(AimAm)
          POS:	NOUN_PROP
          VOC:	AimAm
        GLOSS:	Imam

 INPUT STRING:	وانحلال
     IS_TRANS:	wAnHlAl
        INDEX:	P1W8
      OFFSETS:	28-35
       TOKENS:	P1W8-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{inoHilAl_1]
   UNSPLITVOC:	(waAinoHilAl)
          POS:	CONJ+NOUN
          VOC:	wa+{inoHilAl
        GLOSS:	and+dissolution/breakup

 INPUT STRING:	اخلاقي
     IS_TRANS:	AxlAqy
        INDEX:	P1W9
      OFFSETS:	36-42
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>axolAqiy_1]
   UNSPLITVOC:	(>axolAqiy)
          POS:	ADJ
          VOC:	>axolAqiy
        GLOSS:	moral/ethical

 INPUT STRING:	جديد
     IS_TRANS:	jdyd
        INDEX:	P1W10
      OFFSETS:	43-47
       TOKENS:	P1W11-P1W11
