 INPUT STRING:	جميعنا
     IS_TRANS:	jmyEnA
        INDEX:	P1W1
      OFFSETS:	0-6
       TOKENS:	P1W1-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jamiyE_1]
   UNSPLITVOC:	(jamiyEunA)
          POS:	NOUN_QUANT+POSS_PRON_1P
          VOC:	jamiyE+nA
        GLOSS:	all, entire, every, whole+our

 INPUT STRING:	يعلم
     IS_TRANS:	yElm
        INDEX:	P1W2
      OFFSETS:	7-11
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eilim_1]
   UNSPLITVOC:	(yiEolam)
          POS:	IV3MS+IV
          VOC:	yi+Eolam
        GLOSS:	he/it+know/find out

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P1W3
      OFFSETS:	12-14
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although,even if, despite, in spite of the fact that, verily, truly

 INPUT STRING:	تفاوت
     IS_TRANS:	tfAwt
        INDEX:	P1W4
      OFFSETS:	15-20
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tafAwut_1]
   UNSPLITVOC:	(tafAwut)
          POS:	NOUN
          VOC:	tafAwut
        GLOSS:	disparity/contradiction/difference

 INPUT STRING:	العقول
     IS_TRANS:	AlEqwl
        INDEX:	P1W5
      OFFSETS:	21-27
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaquwl_1]
   UNSPLITVOC:	(AlEaquwl)
          POS:	DET+NOUN
          VOC:	Al+Eaquwl
