 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P1W1
      OFFSETS:	0-3
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after/if/unless/whether/as long as/as soon as/which

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P1W2
      OFFSETS:	4-6
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	غيرت
     IS_TRANS:	gyrt
        INDEX:	P1W3
      OFFSETS:	7-11
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gay~ar_1]
   UNSPLITVOC:	(gay~art)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	gay~ar+t
        GLOSS:	change/modify+I

 INPUT STRING:	الفتيس
     IS_TRANS:	Alftys
        INDEX:	P1W4
      OFFSETS:	12-18
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fitays_1]
   UNSPLITVOC:	(Alfitays)
          POS:	DET+NOUN
          VOC:	Al+fitays
        GLOSS:	the+gear

 INPUT STRING:	اتوماتيك
     IS_TRANS:	AtwmAtyk
        INDEX:	P1W5
      OFFSETS:	19-27
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AutuwmAtiyk_1]
   UNSPLITVOC:	(AutuwmAtiyk)
          POS:	NOUN
          VOC:	AutuwmAtiyk
        GLOSS:	otumatic

 INPUT STRING:	استعمال
     IS_TRANS:	AstEmAl
        INDEX:	P1W6
      OFFSETS:	29-36
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotiEomAl_1]
   UNSPLITVOC:	(AisotiEomAl)
          POS:	NOUN
          VOC:	AisotiEomAl
        GLOSS:	use/application/handling

 INPUT STRING:	كلة
     IS_TRANS:	klp
        INDEX:	P1W7
      OFFSETS:	39-42
       TOKENS:	P1W7-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uh)
          POS:	NOUN_QUANT+POSS_PRON_3MS
          VOC:	kul~+uh
        GLOSS:	all/entire/every/whole+his/its

 INPUT STRING:	تمام
     IS_TRANS:	tmAm
        INDEX:	P1W8
      OFFSETS:	43-47
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamAm_1]
   UNSPLITVOC:	(tamAm)
          POS:	ADJ
          VOC:	tamAm
        GLOSS:	exact/complete/exactly/completely

 INPUT STRING:	ولكن
     IS_TRANS:	wlkn
        INDEX:	P1W9
      OFFSETS:	48-52
       TOKENS:	P1W10-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(wilakin)
          POS:	CONJ+CONJ
          VOC:	wi+lakin
        GLOSS:	and+Rather/even/but/yet/however/but rather

 INPUT STRING:	الفتيس
     IS_TRANS:	Alftys
        INDEX:	P1W10
      OFFSETS:	53-59
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fitays_1]
   UNSPLITVOC:	(Alfitays)
          POS:	DET+NOUN
          VOC:	Al+fitays
        GLOSS:	the+gear

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P1W11
      OFFSETS:	60-63
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as/when

 INPUT STRING:	يرجع
     IS_TRANS:	yrjE
        INDEX:	P1W12
      OFFSETS:	64-68
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[rigiE_1]
   UNSPLITVOC:	(yirojaE)
          POS:	IV3MS+IV
