 INPUT STRING:	بثينة
     IS_TRANS:	bvynp
        INDEX:	P1W1
      OFFSETS:	0-5
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[buvaynap_1]
   UNSPLITVOC:	(buvaynap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	buvayn+ap
        GLOSS:	Buthaina+[fem.sg.]

 INPUT STRING:	كامل
     IS_TRANS:	kAml
        INDEX:	P1W2
      OFFSETS:	6-10
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAmil_1]
   UNSPLITVOC:	(kAmil)
          POS:	NOUN_PROP
          VOC:	kAmil
        GLOSS:	Kamil

 INPUT STRING:	تدعو
     IS_TRANS:	tdEw
        INDEX:	P1W3
      OFFSETS:	11-15
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEay_1]
   UNSPLITVOC:	(tidoEuw)
          POS:	IV3FS+IV
          VOC:	ti+doEuw
        GLOSS:	it/they/she+call/invite

 INPUT STRING:	لتحرير
     IS_TRANS:	ltHryr
        INDEX:	P1W4
      OFFSETS:	16-22
       TOKENS:	P1W4-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoriyr_1]
   UNSPLITVOC:	(litaHoriyr)
          POS:	PREP+NOUN
          VOC:	li+taHoriyr
        GLOSS:	for/to+liberation/liberating/editorship/editing

 INPUT STRING:	المرأة
     IS_TRANS:	Almr>p
        INDEX:	P1W5
      OFFSETS:	23-29
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maro>ap_1]
   UNSPLITVOC:	(Almaro>ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maro>+ap
        GLOSS:	the+woman+[fem.sg.]

 INPUT STRING:	المصرية
     IS_TRANS:	AlmSryp
        INDEX:	P1W6
      OFFSETS:	30-37
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+maSoriy~+ap
        GLOSS:	the+Egyptian+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P1W7
      OFFSETS:	38-40
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	محاضرة
     IS_TRANS:	mHADrp
        INDEX:	P1W8
      OFFSETS:	41-47
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHADorap_1]
   UNSPLITVOC:	(muHADorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	muHADor+ap
        GLOSS:	lecture+[fem.sg.]

 INPUT STRING:	بأمريكا
     IS_TRANS:	b>mrykA
        INDEX:	P1W9
      OFFSETS:	48-55
       TOKENS:	P1W10-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoriykA_1]
   UNSPLITVOC:	(bi>amoriykA)
          POS:	PREP+NOUN_PROP
          VOC:	bi+>amoriykA
        GLOSS:	with/by+America

 INPUT STRING:	راي
     IS_TRANS:	rAy
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(rAy)
          POS:	TYPO
          VOC:	rAy
        GLOSS:	nogloss

 INPUT STRING:	الشخصي
     IS_TRANS:	Al$xSy
        INDEX:	P2W2
      OFFSETS:	4-10
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$axoSiy_1]
   UNSPLITVOC:	(Al$~axoSiy)
          POS:	DET+ADJ
          VOC:	Al+$axoSiy
        GLOSS:	the+private/personal

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P2W3
      OFFSETS:	11-12
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	nogloss

 INPUT STRING:	لماذا
     IS_TRANS:	lmA*A
        INDEX:	P3W1
      OFFSETS:	0-5
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[limA*A_1]
   UNSPLITVOC:	(limA*A)
          POS:	INTERROG_ADV
          VOC:	limA*A
        GLOSS:	why

 INPUT STRING:	لم
     IS_TRANS:	lm
        INDEX:	P3W2
      OFFSETS:	6-8
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamo_1]
   UNSPLITVOC:	(lamo)
          POS:	NEG_PART
          VOC:	lamo
        GLOSS:	did not

 INPUT STRING:	نهتم
     IS_TRANS:	nhtm
        INDEX:	P3W3
      OFFSETS:	9-13
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aihotam~_1]
   UNSPLITVOC:	(nihotam~)
