 INPUT STRING:	اكاذيب
     IS_TRANS:	AkA*yb
        INDEX:	P1W1
      OFFSETS:	1-7
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>uko*uwbap_1]
   UNSPLITVOC:	(>akA*iyb)
          POS:	NOUN
          VOC:	>akA*iyb
        GLOSS:	lies

 INPUT STRING:	القمم
     IS_TRANS:	Alqmm
        INDEX:	P1W2
      OFFSETS:	8-13
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qim~ap_1]
   UNSPLITVOC:	(Alqimam)
          POS:	DET+NOUN
          VOC:	Al+qimam
        GLOSS:	the+summet

 INPUT STRING:	العربية
     IS_TRANS:	AlErbyp
        INDEX:	P1W3
      OFFSETS:	14-21
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy~ap_1]
   UNSPLITVOC:	(AlEarabiy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Earabiy~+ap
        GLOSS:	the+Arab+[fem.sg.]

 INPUT STRING:	اجتماعات
     IS_TRANS:	AjtmAEAt
        INDEX:	P2W1
      OFFSETS:	1-9
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AijotimAE_1]
   UNSPLITVOC:	(AijotimAEAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	AijotimAE+At
        GLOSS:	meetings/gatherings+[fem.pl.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W2
      OFFSETS:	10-11
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W3
      OFFSETS:	11-12
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	مباحثات
     IS_TRANS:	mbAHvAt
        INDEX:	P2W4
      OFFSETS:	13-20
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubAHavap_1]
   UNSPLITVOC:	(mubAHavAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	mubAHav+At
        GLOSS:	discussions/talks/negotiations+[fem.pl.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W5
      OFFSETS:	21-22
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P2W6
      OFFSETS:	22-23
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	فض
     IS_TRANS:	fD
        INDEX:	P2W7
      OFFSETS:	24-26
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faD~_1]
   UNSPLITVOC:	(faD~)
          POS:	NOUN
          VOC:	faD~
        GLOSS:	dispersal/separation

 INPUT STRING:	اشتباكات
     IS_TRANS:	A$tbAkAt
        INDEX:	P2W8
      OFFSETS:	27-35
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai$otibAk_1]
   UNSPLITVOC:	(Ai$otibAkAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	Ai$otibAk+At
        GLOSS:	skirmishes/clashes+[fem.pl.]

 INPUT STRING:	وادى
     IS_TRANS:	wAdY
        INDEX:	P2W9
      OFFSETS:	36-40
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wAdiy_2]
   UNSPLITVOC:	(wAdiy)
          POS:	NOUN_PROP
          VOC:	wAdiy
        GLOSS:	Wadi

 INPUT STRING:	وش
     IS_TRANS:	w$
        INDEX:	P2W10
      OFFSETS:	41-43
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wi$~_1]
   UNSPLITVOC:	(wi$~)
          POS:	NOUN_PROP
          VOC:	wi$~
        GLOSS:	wish

 INPUT STRING:	الضيف
     IS_TRANS:	AlDyf
        INDEX:	P2W11
      OFFSETS:	44-49
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Dayf_1]
   UNSPLITVOC:	(AlD~ayf)
          POS:	DET+NOUN_PROP
          VOC:	Al+Dayf
        GLOSS:	the+Diyf

 INPUT STRING:	رساله
     IS_TRANS:	rsAlh
        INDEX:	P3W1
      OFFSETS:	1-6
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[risAlap_1]
   UNSPLITVOC:	(risAlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	risAl+ap
        GLOSS:	letter/communication/dissertation/letters/messages+[fem.sg.]

 INPUT STRING:	اوجهها
     IS_TRANS:	AwjhhA
        INDEX:	P3W2
      OFFSETS:	7-13
       TOKENS:	P3W2-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waj~ih_1]
   UNSPLITVOC:	(AawjhahA)
          POS:	IV1S+IV+IVSUFF_DO:3FS
          VOC:	Aa+wjh+hA
        GLOSS:	I+direct+it/them/her

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P3W3
      OFFSETS:	14-17
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to

 INPUT STRING:	حكامنا
     IS_TRANS:	HkAmnA
        INDEX:	P3W4
      OFFSETS:	18-24
       TOKENS:	P3W5-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HAkim_1]
   UNSPLITVOC:	(HkAminA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	HkAm+nA
        GLOSS:	judges+our

 INPUT STRING:	العرب
     IS_TRANS:	AlErb
        INDEX:	P3W5
      OFFSETS:	25-30
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy_1]
   UNSPLITVOC:	(AlEarab)
          POS:	DET+NOUN
          VOC:	Al+Earab
        GLOSS:	the+Arabs

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W6
      OFFSETS:	31-32
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W7
      OFFSETS:	32-33
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W8
      OFFSETS:	33-34
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W9
      OFFSETS:	34-35
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	حكامنا
     IS_TRANS:	HkAmnA
        INDEX:	P4W1
      OFFSETS:	1-7
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HAkim_1]
   UNSPLITVOC:	(HkAminA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	HkAm+nA
        GLOSS:	judges+our

 INPUT STRING:	الذين
     IS_TRANS:	Al*yn
        INDEX:	P4W2
      OFFSETS:	8-13
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~a*iyna)
          POS:	REL_PRON
          VOC:	Al~a*iyna
        GLOSS:	who/whom [pl.]

 INPUT STRING:	ادمنوا
     IS_TRANS:	AdmnwA
        INDEX:	P4W3
      OFFSETS:	14-20
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>adoman_1]
   UNSPLITVOC:	(>adomanuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	>adoman+uwA
        GLOSS:	be addicted or devoted to+they [verb]

 INPUT STRING:	طاولة
     IS_TRANS:	TAwlp
        INDEX:	P4W4
      OFFSETS:	21-26
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAwolap_1]
   UNSPLITVOC:	(TAwolap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	TAwol+ap
        GLOSS:	table+[fem.sg.]

 INPUT STRING:	الاجتماعات
     IS_TRANS:	AlAjtmAEAt
        INDEX:	P4W5
      OFFSETS:	27-37
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AijotimAE_1]
   UNSPLITVOC:	(AlAijotimAEAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+AijotimAE+At
        GLOSS:	the+meetings/gatherings+[fem.pl.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W6
      OFFSETS:	38-39
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W7
      OFFSETS:	39-40
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
