 INPUT STRING:	اهلا
     IS_TRANS:	AhlA
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AholAF_1]
   UNSPLITVOC:	(AholAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	Ahol+AF
        GLOSS:	welcome+[acc.indef.]

 INPUT STRING:	بكل
     IS_TRANS:	bkl
        INDEX:	P1W2
      OFFSETS:	5-8
       TOKENS:	P1W2-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(bikul~)
          POS:	PREP+NOUN_QUANT
          VOC:	bi+kul~
        GLOSS:	with/by+all, entire, every, whole

 INPUT STRING:	اعضاء
     IS_TRANS:	AEDA'
        INDEX:	P1W3
      OFFSETS:	9-14
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EuDow_1]
   UNSPLITVOC:	(>aEoDA')
          POS:	NOUN
          VOC:	>aEoDA'
        GLOSS:	member

 INPUT STRING:	بوابه
     IS_TRANS:	bwAbh
        INDEX:	P1W4
      OFFSETS:	15-20
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baw~Abap_1]
   UNSPLITVOC:	(baw~Abap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	baw~Ab+ap
        GLOSS:	portal/gate/portals/gates+[fem.sg.]

 INPUT STRING:	الثانوية
     IS_TRANS:	AlvAnwyp
        INDEX:	P1W5
      OFFSETS:	21-29
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vAnawiy~ap_1]
   UNSPLITVOC:	(Alv~Anawiy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vAnawiy~+ap
        GLOSS:	the+secondary school+[fem.sg.]

 INPUT STRING:	العامة
     IS_TRANS:	AlEAmp
        INDEX:	P1W6
      OFFSETS:	30-36
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAm_1]
   UNSPLITVOC:	(AlEAm~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+EAm~+ap
        GLOSS:	the+general/common/public+[fem.sg.]

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P2W1
      OFFSETS:	0-2
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	عام
     IS_TRANS:	EAm
        INDEX:	P2W2
      OFFSETS:	3-6
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAm_1]
   UNSPLITVOC:	(EAm)
          POS:	NOUN
          VOC:	EAm
        GLOSS:	year/years

 INPUT STRING:	وانتم
     IS_TRANS:	wAntm
        INDEX:	P2W3
      OFFSETS:	7-12
       TOKENS:	P2W3-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aintum_1]
   UNSPLITVOC:	(wiAintum)
          POS:	CONJ+PRON_2P
          VOC:	wi+Aintum
        GLOSS:	and+you

 INPUT STRING:	بخير
     IS_TRANS:	bxyr
        INDEX:	P2W4
      OFFSETS:	13-17
       TOKENS:	P2W5-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xayr_1]
   UNSPLITVOC:	(bixayr)
          POS:	PREP+NOUN
          VOC:	bi+xayr
        GLOSS:	with/by+good

 INPUT STRING:	عايز
     IS_TRANS:	EAyz
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyiz)
          POS:	ADJ.VN
          VOC:	EAyiz
        GLOSS:	wanting

 INPUT STRING:	احكيلوا
     IS_TRANS:	AHkylwA
        INDEX:	P3W2
      OFFSETS:	5-12
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AHkylwA)
          POS:	TYPO
          VOC:	AHkylwA
        GLOSS:	nogloss

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P3W3
      OFFSETS:	13-16
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
