 INPUT STRING:	ماتأخذونيش
     IS_TRANS:	mAt>x*wny$
        INDEX:	P1W1
      OFFSETS:	0-10
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mAt>x*wny$)
          POS:	NO_FUNC
          VOC:	mAt>x*wny$
        GLOSS:	nogloss

 INPUT STRING:	ياجماعة
     IS_TRANS:	yAjmAEp
        INDEX:	P1W2
      OFFSETS:	11-18
       TOKENS:	P1W2-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jamAEap_1]
   UNSPLITVOC:	(yAjamAEap)
          POS:	VOC_PART+NOUN+NSUFF_FEM_SG
          VOC:	yaA+jamAE+ap
        GLOSS:	oh+party/group/squad/groups/parties/squads/Gama'a/Jemaah+[fem.sg.]

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P1W3
      OFFSETS:	19-21
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	سؤال
     IS_TRANS:	s&Al
        INDEX:	P1W4
      OFFSETS:	22-26
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[su&Al_1]
   UNSPLITVOC:	(su&Al)
          POS:	NOUN
          VOC:	su&Al
        GLOSS:	question/inquiry

 INPUT STRING:	محرج
     IS_TRANS:	mHrj
        INDEX:	P1W5
      OFFSETS:	27-31
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHorij_1]
   UNSPLITVOC:	(muHorij)
          POS:	ADJ
          VOC:	muHorij
        GLOSS:	embarrassing

 INPUT STRING:	بجد
     IS_TRANS:	bjd
        INDEX:	P1W6
      OFFSETS:	32-35
       TOKENS:	P1W7-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~_1]
   UNSPLITVOC:	(bijad~)
          POS:	PREP+NOUN
          VOC:	bi+jad~
        GLOSS:	with/by+seriousness/earnestness

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P1W7
      OFFSETS:	36-38
       TOKENS:	P1W9-P1W9
