 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P1W1
      OFFSETS:	0-1
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P1W2
      OFFSETS:	2-9
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue/subjects/themes/issues

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P1W3
      OFFSETS:	10-12
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not/non-

 INPUT STRING:	يتناول
     IS_TRANS:	ytnAwl
        INDEX:	P1W4
      OFFSETS:	13-19
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitonAwil_1]
   UNSPLITVOC:	(yitonAwil)
          POS:	IV3MS+IV
          VOC:	yi+tonAwil
        GLOSS:	he/it+eat/start/deal with

 INPUT STRING:	الجانب
     IS_TRANS:	AljAnb
        INDEX:	P1W5
      OFFSETS:	20-26
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAnib_1]
   UNSPLITVOC:	(AljAnib)
          POS:	DET+NOUN
          VOC:	Al+jAnib
        GLOSS:	the+side/aspect/next (to)/beside/sides/aspects

 INPUT STRING:	الدينى
     IS_TRANS:	AldynY
        INDEX:	P1W6
      OFFSETS:	27-33
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyniy_1]
   UNSPLITVOC:	(Ald~iyniy)
          POS:	DET+ADJ
          VOC:	Al+diyniy
        GLOSS:	the+religious

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P1W7
      OFFSETS:	34-37
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	these/this

 INPUT STRING:	اولا
     IS_TRANS:	AwlA
        INDEX:	P1W8
      OFFSETS:	38-42
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw~al_1]
   UNSPLITVOC:	(>aw~alAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	>aw~al+AF
        GLOSS:	first of all/primarily/in the first place+[acc.indef.]

 INPUT STRING:	قبل
     IS_TRANS:	qbl
        INDEX:	P1W9
      OFFSETS:	43-46
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qabol)
          POS:	NOUN
          VOC:	qabol
        GLOSS:	before/previously/formerly

 INPUT STRING:	الحديث
     IS_TRANS:	AlHdyv
        INDEX:	P1W10
      OFFSETS:	47-53
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadiyv_1]
   UNSPLITVOC:	(AlHadiyv)
          POS:	DET+NOUN
          VOC:	Al+Hadiyv
        GLOSS:	the+discussion/talk/interview/discussions/talks/Hadith (Islamic tradition)/Hadiths (Islamic traditions)

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P1W11
      OFFSETS:	54-56
