 INPUT STRING:	اغرب
     IS_TRANS:	Agrb
        INDEX:	P1W1
      OFFSETS:	1-5
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>agorab_1]
   UNSPLITVOC:	(>agorab)
          POS:	ADJ_COMP
          VOC:	>agorab
        GLOSS:	stranger/strangest

 INPUT STRING:	نصيحة
     IS_TRANS:	nSyHp
        INDEX:	P1W2
      OFFSETS:	6-11
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naSiyHap_1]
   UNSPLITVOC:	(naSiyHap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	naSiyH+ap
        GLOSS:	advice , counsel , recommendation+[fem.sg.]

 INPUT STRING:	عند
     IS_TRANS:	End
        INDEX:	P1W3
      OFFSETS:	12-15
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Einod_1]
   UNSPLITVOC:	(Einod)
          POS:	NOUN
          VOC:	Einod
        GLOSS:	with / at

 INPUT STRING:	دخولك
     IS_TRANS:	dxwlk
        INDEX:	P1W4
      OFFSETS:	16-21
       TOKENS:	P1W4-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duxuwl_1]
   UNSPLITVOC:	(duxuwlak)
          POS:	NOUN.VN+POSS_PRON_2MS
          VOC:	duxuwl+ak
        GLOSS:	entrance/penetration+your

 INPUT STRING:	السعودية
     IS_TRANS:	AlsEwdyp
        INDEX:	P1W5
      OFFSETS:	22-30
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suEuwdiy~ap_1]
   UNSPLITVOC:	(Als~uEuwdiy~ap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+suEuwdiy~+ap
        GLOSS:	the+Saudi Arabia+[fem.sg.]

 INPUT STRING:	عندما
     IS_TRANS:	EndmA
