 INPUT STRING:	الحكومة
     IS_TRANS:	AlHkwmp
        INDEX:	P1W1
      OFFSETS:	0-7
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukuwmap_1]
   UNSPLITVOC:	(AlHukuwmap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Hukuwm+ap
        GLOSS:	the+government/administration/governments/administrations+[fem.sg.]

 INPUT STRING:	عندنا
     IS_TRANS:	EndnA
        INDEX:	P1W2
      OFFSETS:	8-13
       TOKENS:	P1W2-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Einod_1]
   UNSPLITVOC:	(EinodinA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Einod+nA
        GLOSS:	with / at+our

 INPUT STRING:	فرحانة
     IS_TRANS:	frHAnp
        INDEX:	P1W3
      OFFSETS:	14-20
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faroHAn_1]
   UNSPLITVOC:	(faroHAnap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	faroHAn+ap
        GLOSS:	cheerful/delighted+[fem.sg.]

 INPUT STRING:	بقانون
     IS_TRANS:	bqAnwn
        INDEX:	P1W4
      OFFSETS:	21-27
       TOKENS:	P1W5-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAnuwn_1]
   UNSPLITVOC:	(biqAnuwn)
          POS:	PREP+NOUN
          VOC:	bi+qAnuwn
        GLOSS:	with/by+law/statutes/regulations

 INPUT STRING:	الطوارئ
     IS_TRANS:	AlTwAr}
        INDEX:	P1W5
      OFFSETS:	28-35
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Taroqap_1]
   UNSPLITVOC:	(AlT~awAri})
          POS:	DET+NOUN
          VOC:	Al+TawAri}
        GLOSS:	the+emergency

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P1W6
      OFFSETS:	36-41
       TOKENS:	P1W8-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	دا
     IS_TRANS:	dA
        INDEX:	P1W7
      OFFSETS:	42-44
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	يساعد
     IS_TRANS:	ysAEd
        INDEX:	P1W8
      OFFSETS:	45-50
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEid_1]
   UNSPLITVOC:	(yisAEid)
          POS:	IV3MS+IV
          VOC:	yi+sAEid
        GLOSS:	he/it+help/assist/support/contribute

 INPUT STRING:	السلطات
     IS_TRANS:	AlslTAt
        INDEX:	P1W9
      OFFSETS:	51-58
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suloTap_1]
   UNSPLITVOC:	(Als~uluTAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+suluT+At
        GLOSS:	the+authorities+[fem.pl.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P1W10
      OFFSETS:	59-62
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	القبض
     IS_TRANS:	AlqbD
        INDEX:	P1W11
      OFFSETS:	63-68
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaboD_1]
   UNSPLITVOC:	(AlqaboD)
          POS:	DET+NOUN
          VOC:	Al+qaboD
        GLOSS:	the+arrest/seizure

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P1W12
      OFFSETS:	69-72
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P1W13
      OFFSETS:	73-75
       TOKENS:	P1W16-P1W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	تشاء
     IS_TRANS:	t$A'
        INDEX:	P1W14
      OFFSETS:	76-80
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$A'-a_1]
   UNSPLITVOC:	(ta$A'a)
          POS:	IV3FS+IV+IVSUFF_MOOD:S
          VOC:	ta+$A'+a
        GLOSS:	it/they/she+want/desire/wish+[sub.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P1W15
      OFFSETS:	81-83
       TOKENS:	P1W18-P1W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P1W16
      OFFSETS:	84-86
       TOKENS:	P1W19-P1W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	وقت
     IS_TRANS:	wqt
        INDEX:	P1W17
      OFFSETS:	87-90
       TOKENS:	P1W20-P1W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(waqot)
          POS:	NOUN
          VOC:	waqot
        GLOSS:	time/moment/period of time

 INPUT STRING:	دون
     IS_TRANS:	dwn
        INDEX:	P1W18
      OFFSETS:	91-94
       TOKENS:	P1W21-P1W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwn_1]
   UNSPLITVOC:	(duwn)
          POS:	NOUN
          VOC:	duwn
        GLOSS:	without/beneath/underneath/inferior/poor

 INPUT STRING:	تهم
     IS_TRANS:	thm
        INDEX:	P1W19
      OFFSETS:	95-98
       TOKENS:	P1W22-P1W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tuhomap_1]
   UNSPLITVOC:	(tuham)
          POS:	NOUN
          VOC:	tuham
        GLOSS:	accusations/charges

 INPUT STRING:	محددة
     IS_TRANS:	mHddp
        INDEX:	P1W20
      OFFSETS:	99-104
       TOKENS:	P1W23-P1W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHad~ad_1]
