 INPUT STRING:	ماحدش
     IS_TRANS:	mAHd$
        INDEX:	P1W1
      OFFSETS:	0-5
       TOKENS:	P1W1-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(mA_Had~i$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3MS+NEG_PART
          VOC:	mA+Had~+(null)+$
        GLOSS:	not+person+he/it+not

 INPUT STRING:	يقول
     IS_TRANS:	yqwl
        INDEX:	P1W2
      OFFSETS:	6-10
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(yiquwl)
          POS:	IV3MS+IV
          VOC:	yi+quwl
        GLOSS:	he/it+said/say/be said/say/(for example)

 INPUT STRING:	بلطجيه
     IS_TRANS:	blTjyh
        INDEX:	P1W3
      OFFSETS:	11-17
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baloTajiy~_1]
   UNSPLITVOC:	(baloTajiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	baloTajiy~+ap
        GLOSS:	gangster/ruffian+[fem.sg.]

 INPUT STRING:	التحرير
     IS_TRANS:	AltHryr
        INDEX:	P1W4
      OFFSETS:	18-25
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoriyr_1]
   UNSPLITVOC:	(Alt~aHoriyr)
          POS:	DET+NOUN_PROP
          VOC:	Al+taHoriyr
        GLOSS:	the+Tahrir

 INPUT STRING:	تاني
     IS_TRANS:	tAny
        INDEX:	P1W5
      OFFSETS:	26-30
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	ADJ
          VOC:	tAniy
        GLOSS:	second

 INPUT STRING:	شوفوا
     IS_TRANS:	$wfwA
        INDEX:	P1W6
      OFFSETS:	31-36
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	($uwfuwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	$uwf+uwA
        GLOSS:	look+you [pl.]

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P1W7
      OFFSETS:	37-41
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	بيحصل
     IS_TRANS:	byHSl
        INDEX:	P1W8
      OFFSETS:	42-47
       TOKENS:	P1W10-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(biyiHoSal)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+HoSal
        GLOSS:	[present-tense]+he/it+occur/happen/take place

 INPUT STRING:	هناك
     IS_TRANS:	hnAk
        INDEX:	P1W9
      OFFSETS:	48-52
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinAk_1]
   UNSPLITVOC:	(hinAk)
          POS:	ADV
          VOC:	hinAk
        GLOSS:	there

 INPUT STRING:	نفس
     IS_TRANS:	nfs
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafos)
          POS:	NOUN
          VOC:	nafos
        GLOSS:	same/self/selves

 INPUT STRING:	الزفت
     IS_TRANS:	Alzft
        INDEX:	P2W2
      OFFSETS:	4-9
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zifot_1]
   UNSPLITVOC:	(Alz~ifot)
          POS:	DET+NOUN
          VOC:	Al+zifot
        GLOSS:	the+asphalt/pitch

 INPUT STRING:	السيناريو
     IS_TRANS:	AlsynAryw
        INDEX:	P2W3
      OFFSETS:	10-19
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siynAriyw_1]
   UNSPLITVOC:	(Als~iynAriyw)
          POS:	DET+NOUN
          VOC:	Al+siynAriyw
        GLOSS:	the+scenario

 INPUT STRING:	بيتكرر
     IS_TRANS:	bytkrr
        INDEX:	P2W4
      OFFSETS:	20-26
       TOKENS:	P2W4-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kar~ar_1]
   UNSPLITVOC:	(biyitokar~ar)
          POS:	PROG_PART+IV3MS+IV_PASS
          VOC:	bi+yi+tokar~ar
        GLOSS:	[present-tense]+he/it+repeat/reiterate

 INPUT STRING:	خلوا
     IS_TRANS:	xlwA
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(xal~uwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	xal~+uwA
        GLOSS:	release/evacuate/allow/be released/be evacuated/be allowed+they

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P3W2
      OFFSETS:	5-10
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	تنشغل
     IS_TRANS:	tn$gl
        INDEX:	P3W3
      OFFSETS:	11-16
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ain$agal_1]
   UNSPLITVOC:	(tin$igil)
          POS:	IV3FS+IV
          VOC:	ti+n$igil
        GLOSS:	it/they/she+be busy

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P3W4
      OFFSETS:	17-19
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الأنتخابات
     IS_TRANS:	Al>ntxAbAt
        INDEX:	P3W5
      OFFSETS:	20-30
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AintixAb_1]
   UNSPLITVOC:	(AlAintixAbAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+AintixAb+At
        GLOSS:	the+elections+[fem.pl.]

 INPUT STRING:	وبيعملوا
     IS_TRANS:	wbyEmlwA
        INDEX:	P3W6
      OFFSETS:	31-39
       TOKENS:	P3W6-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(wibiyiEomiluwA)
          POS:	CONJ+PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	wi+bi+yi+Eomil+uwA
        GLOSS:	and+[present-tense]+they+do/make+they

 INPUT STRING:	موقعه
     IS_TRANS:	mwqEh
        INDEX:	P3W7
      OFFSETS:	40-45
       TOKENS:	P3W9-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mawoqiE_1]
   UNSPLITVOC:	(mawoqiEuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	mawoqiE+uh
        GLOSS:	place+his/its

 INPUT STRING:	جمل
     IS_TRANS:	jml
        INDEX:	P3W8
      OFFSETS:	46-49
       TOKENS:	P3W11-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jumolap_1]
   UNSPLITVOC:	(jumal)
          POS:	NOUN
          VOC:	jumal
        GLOSS:	sentence/clause/sentences/clauses

 INPUT STRING:	تانيه
     IS_TRANS:	tAnyh
        INDEX:	P3W9
      OFFSETS:	50-55
       TOKENS:	P3W12-P3W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAnoyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	tAnoy+ap
        GLOSS:	second+[fem.sg.]

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P4W1
      OFFSETS:	0-4
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master+our

 INPUT STRING:	ينتقم
     IS_TRANS:	yntqm
        INDEX:	P4W2
      OFFSETS:	5-10
       TOKENS:	P4W3-P4W3
