 INPUT STRING:	سؤالى
     IS_TRANS:	s&AlY
        INDEX:	P1W1
      OFFSETS:	0-5
       TOKENS:	P1W1-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[su&Al_1]
   UNSPLITVOC:	(su&Aliy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	su&Al+iy
        GLOSS:	question/inquiry+my

 INPUT STRING:	للشيخ
     IS_TRANS:	ll$yx
        INDEX:	P1W2
      OFFSETS:	6-11
       TOKENS:	P1W3-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	(lil$~ayx)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+$ayx
        GLOSS:	for/to+the+Sheikh/chieftain/Sheikhs/chieftains/senators

 INPUT STRING:	حسان
     IS_TRANS:	HsAn
        INDEX:	P1W3
      OFFSETS:	12-16
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HasAn_1]
   UNSPLITVOC:	(HasAn)
          POS:	NOUN_PROP
          VOC:	HasAn
        GLOSS:	HasAn

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W4
      OFFSETS:	16-17
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1W5
      OFFSETS:	17-18
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
