 INPUT STRING:	تفجير
     IS_TRANS:	tfjyr
        INDEX:	P1W1
      OFFSETS:	0-5
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tafojiyr_1]
   UNSPLITVOC:	(tafojiyr)
          POS:	NOUN
          VOC:	tafojiyr
        GLOSS:	blowing up/exploding/detonating/explosion

 INPUT STRING:	خط
     IS_TRANS:	xT
        INDEX:	P1W2
      OFFSETS:	6-8
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaT~_1]
   UNSPLITVOC:	(xaT~)
          POS:	NOUN
          VOC:	xaT~
        GLOSS:	line

 INPUT STRING:	الغاز
     IS_TRANS:	AlgAz
        INDEX:	P1W3
      OFFSETS:	9-14
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gAz_1]
   UNSPLITVOC:	(AlgAz)
          POS:	DET+NOUN
          VOC:	Al+gAz
        GLOSS:	the+gas/gasses

 INPUT STRING:	الرابط
     IS_TRANS:	AlrAbT
        INDEX:	P1W4
      OFFSETS:	15-21
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAbiT_1]
   UNSPLITVOC:	(Alr~AbiT)
          POS:	DET+ADJ
          VOC:	Al+rAbiT
        GLOSS:	the+tying/connecting

 INPUT STRING:	بين
     IS_TRANS:	byn
        INDEX:	P1W5
      OFFSETS:	22-25
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayon_1]
   UNSPLITVOC:	(bayon)
          POS:	NOUN
          VOC:	bayon
        GLOSS:	between/among

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P1W6
      OFFSETS:	26-29
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P1W7
      OFFSETS:	30-31
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	اسرائيل
     IS_TRANS:	AsrA}yl
        INDEX:	P1W8
      OFFSETS:	32-39
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isorA}iyl_1]
   UNSPLITVOC:	(<isorA}iyl)
          POS:	NOUN_PROP
          VOC:	<isorA}iyl
        GLOSS:	Israel

 INPUT STRING:	والذي
     IS_TRANS:	wAl*y
        INDEX:	P1W9
      OFFSETS:	40-45
       TOKENS:	P1W9-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(waAl~a*iy)
          POS:	CONJ+REL_PRON
          VOC:	wa+Al~a*iy
        GLOSS:	and+who

 INPUT STRING:	يتم
     IS_TRANS:	ytm
        INDEX:	P1W10
      OFFSETS:	46-49
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tam~_1]
   UNSPLITVOC:	(yatim~)
          POS:	IV3MS+IV
          VOC:	ya+tim~
        GLOSS:	he/it+conclude/take place

 INPUT STRING:	استخدامة
     IS_TRANS:	AstxdAmp
        INDEX:	P1W11
      OFFSETS:	50-58
       TOKENS:	P1W12-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AistixdAm_1]
   UNSPLITVOC:	(AistixdAmuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	AistixdAm+uh
        GLOSS:	use+his/its

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P1W12
      OFFSETS:	59-61
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
