 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P1W1
      OFFSETS:	0-2
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[halo_1]
   UNSPLITVOC:	(halo)
          POS:	INTERROG_PART
          VOC:	halo
        GLOSS:	do?/is?

 INPUT STRING:	تعرفون
     IS_TRANS:	tErfwn
        INDEX:	P1W2
      OFFSETS:	3-9
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Earaf_1]
   UNSPLITVOC:	(taEorifuwn)
          POS:	IV2P+IV+IVSUFF_SUBJ:P
          VOC:	ta+Eorif+uwn
        GLOSS:	you+know+[masc.pl.]

 INPUT STRING:	لمن
     IS_TRANS:	lmn
        INDEX:	P1W3
      OFFSETS:	10-13
       TOKENS:	P1W3-P1W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_2]
   UNSPLITVOC:	(limano)
          POS:	PREP+INTERROG_PRON
          VOC:	li+mano
        GLOSS:	for/to+who/whom

 INPUT STRING:	هذه
     IS_TRANS:	h*h
        INDEX:	P1W4
      OFFSETS:	14-17
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*ihi)
          POS:	DEM_PRON_F
          VOC:	ha*ihi
        GLOSS:	this/these

 INPUT STRING:	الصورة
     IS_TRANS:	AlSwrp
        INDEX:	P1W5
      OFFSETS:	18-24
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(AlSuwrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Suwr+ap
        GLOSS:	the+picture/image/illustration/photo+[fem.sg.]

 INPUT STRING:	الغريبة
     IS_TRANS:	Algrybp
        INDEX:	P1W6
      OFFSETS:	25-32
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gariyb_1]
   UNSPLITVOC:	(Algariybap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+gariyb+ap
        GLOSS:	the+strange+[fem.sg.]

 INPUT STRING:	هذه
     IS_TRANS:	h*h
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*ihi)
          POS:	DEM_PRON_F
          VOC:	ha*ihi
        GLOSS:	this/these

 INPUT STRING:	صورة
     IS_TRANS:	Swrp
        INDEX:	P2W2
      OFFSETS:	4-8
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(Suwrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Suwr+ap
        GLOSS:	picture/image/illustration/photo+[fem.sg.]

 INPUT STRING:	لحظة
     IS_TRANS:	lHZp
        INDEX:	P2W3
      OFFSETS:	9-13
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laHoZap_1]
   UNSPLITVOC:	(laHoZap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	laHoZ+ap
        GLOSS:	moment/instant+[fem.sg.]

 INPUT STRING:	اعدام
     IS_TRANS:	AEdAm
        INDEX:	P2W4
      OFFSETS:	14-19
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iEodAm_1]
   UNSPLITVOC:	(<iEodAm)
          POS:	NOUN
          VOC:	<iEodAm
        GLOSS:	execution/capital punishment

 INPUT STRING:	خائن
     IS_TRANS:	xA}n
        INDEX:	P2W5
      OFFSETS:	20-24
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xA}in_1]
   UNSPLITVOC:	(xA}in)
          POS:	NOUN
          VOC:	xA}in
        GLOSS:	traitor/treacherous

 INPUT STRING:	فلسطيني
     IS_TRANS:	flsTyny
        INDEX:	P2W6
      OFFSETS:	25-32
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[filasoTiyniy~_1]
   UNSPLITVOC:	(filasoTiyniy~)
          POS:	ADJ
          VOC:	filasoTiyniy~
        GLOSS:	Palestinian

 INPUT STRING:	ولكن
     IS_TRANS:	wlkn
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(walakin)
          POS:	CONJ+CONJ
          VOC:	wa+lakin
        GLOSS:	and+But, however, yet, still, nevertheless, on the other hand

 INPUT STRING:	حدث
     IS_TRANS:	Hdv
        INDEX:	P3W2
      OFFSETS:	5-8
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadav_1]
   UNSPLITVOC:	(Hadav)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Hadav+(null)
        GLOSS:	happen/take place+he/it [verb]

 INPUT STRING:	شي
     IS_TRANS:	$y
        INDEX:	P3W3
      OFFSETS:	9-11
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$ayo'_1]
   UNSPLITVOC:	($ayo')
          POS:	NOUN
          VOC:	$ayo'
        GLOSS:	something/thing

 INPUT STRING:	غريب
     IS_TRANS:	gryb
        INDEX:	P3W4
      OFFSETS:	12-16
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gariyb_1]
   UNSPLITVOC:	(gariyb)
          POS:	ADJ
          VOC:	gariyb
        GLOSS:	strange

 INPUT STRING:	عند
     IS_TRANS:	End
        INDEX:	P3W5
      OFFSETS:	17-20
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Einod_1]
   UNSPLITVOC:	(Einod)
          POS:	NOUN
          VOC:	Einod
        GLOSS:	with/at

 INPUT STRING:	اعدامه
     IS_TRANS:	AEdAmh
        INDEX:	P3W6
      OFFSETS:	21-27
       TOKENS:	P3W7-P3W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iEodAm_1]
   UNSPLITVOC:	(<iEodAmihi)
          POS:	NOUN+CASE_DEF_GEN+POSS_PRON_3MS
          VOC:	<iEodAm+i+hi
        GLOSS:	execution/capital punishment+[def.gen.]+its/his

 INPUT STRING:	اتعرفون
     IS_TRANS:	AtErfwn
        INDEX:	P3W7
      OFFSETS:	28-35
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AtErfwn)
          POS:	NO_FUNC
          VOC:	AtErfwn
        GLOSS:	nogloss

 INPUT STRING:	ماهو
     IS_TRANS:	mAhw
        INDEX:	P3W8
      OFFSETS:	36-40
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mAhw)
          POS:	NO_FUNC
          VOC:	mAhw
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
