 INPUT STRING:	احترمه
     IS_TRANS:	AHtrmh
        INDEX:	P1W1
      OFFSETS:	0-6
       TOKENS:	P1W1-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotaram_1]
   UNSPLITVOC:	(AaHotiromuh)
          POS:	IV1S+IV+IVSUFF_DO:3MS
          VOC:	Aa+Hotirom+uh
        GLOSS:	I+respect/revere+it/him

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P1W2
      OFFSETS:	7-10
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	very/much+[acc.indef.]

 INPUT STRING:	لوقوفه
     IS_TRANS:	lwqwfh
        INDEX:	P1W3
      OFFSETS:	11-17
       TOKENS:	P1W4-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wuquwf_1]
   UNSPLITVOC:	(liwuquwfuh)
          POS:	PREP+NOUN+POSS_PRON_3MS
          VOC:	li+wuquwf+uh
        GLOSS:	for/to+standing/stopping/halting+its/his

 INPUT STRING:	ضد
     IS_TRANS:	Dd
        INDEX:	P1W4
      OFFSETS:	18-20
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Did~_1]
   UNSPLITVOC:	(Did~)
          POS:	NOUN
          VOC:	Did~
        GLOSS:	contrary/against/opposed/anti-/counter-

 INPUT STRING:	النظام
     IS_TRANS:	AlnZAm
        INDEX:	P1W5
      OFFSETS:	21-27
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niZAm_1]
   UNSPLITVOC:	(Aln~iZAm)
          POS:	DET+NOUN
          VOC:	Al+niZAm
        GLOSS:	the+regime/government/regimes/governments/systems/methodology/system/order

 INPUT STRING:	عندما
     IS_TRANS:	EndmA
        INDEX:	P1W6
      OFFSETS:	28-33
       TOKENS:	P1W9-P1W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EinodamA_1]
   UNSPLITVOC:	(EindamA)
          POS:	NOUN+CASE_DEF_ACC+SUB_CONJ
          VOC:	Einod+a+mA
        GLOSS:	the time when+[def.acc.]+that

 INPUT STRING:	تحالف
     IS_TRANS:	tHAlf
        INDEX:	P1W7
      OFFSETS:	34-39
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taHAlaf_1]
   UNSPLITVOC:	(taHAlaf)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	taHAlaf+(null)
        GLOSS:	ally/join in alliance+he/it [verb]

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P1W8
      OFFSETS:	40-42
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[maE_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	something with/together

 INPUT STRING:	الجماعة
     IS_TRANS:	AljmAEp
        INDEX:	P1W9
      OFFSETS:	43-50
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAEap_1]
   UNSPLITVOC:	(AljamAEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+jamAE+ap
        GLOSS:	the+party/group/squad/groups/parties/squads+[fem.sg.]

 INPUT STRING:	وتم
     IS_TRANS:	wtm
        INDEX:	P1W10
      OFFSETS:	51-54
       TOKENS:	P1W14-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tam~_1]
   UNSPLITVOC:	(witam~)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+tam~+(null)
        GLOSS:	and+conclude/take place+he/it

 INPUT STRING:	تزوير
     IS_TRANS:	tzwyr
        INDEX:	P1W11
      OFFSETS:	55-60
       TOKENS:	P1W16-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tazowiyr_1]
   UNSPLITVOC:	(tazowiyr)
          POS:	NOUN
          VOC:	tazowiyr
        GLOSS:	forgery/falsification

 INPUT STRING:	الانتخابات
     IS_TRANS:	AlAntxAbAt
        INDEX:	P1W12
      OFFSETS:	61-71
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inotixAb_1]
   UNSPLITVOC:	(Al<inotixAbAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+<inotixAb+At
        GLOSS:	the+selection/selections/elections+[fem.pl.]

 INPUT STRING:	ضده
     IS_TRANS:	Ddh
        INDEX:	P1W13
      OFFSETS:	72-75
       TOKENS:	P1W18-P1W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Did~_1]
   UNSPLITVOC:	(Did~uh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Did~+uh
        GLOSS:	contrary/against/opposed/anti-/counter-/opposites+his/its

 INPUT STRING:	ولكن
     IS_TRANS:	wlkn
        INDEX:	P1W14
      OFFSETS:	76-80
       TOKENS:	P1W20-P1W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(wilakin)
          POS:	CONJ+CONJ
          VOC:	wi+lakin
        GLOSS:	and+yet/on the other hand/still/But/however/nevertheless

 INPUT STRING:	لن
     IS_TRANS:	ln
        INDEX:	P1W15
      OFFSETS:	81-83
       TOKENS:	P1W22-P1W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lan_1]
   UNSPLITVOC:	(lan)
          POS:	NEG_PART
          VOC:	lan
        GLOSS:	not/never/nevermore

 INPUT STRING:	أرشحه
     IS_TRANS:	>r$Hh
        INDEX:	P1W16
      OFFSETS:	84-89
       TOKENS:	P1W23-P1W24
