 INPUT STRING:	المزرعه
     IS_TRANS:	AlmzrEh
        INDEX:	P1W1
      OFFSETS:	0-7
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mazoraEap_1]
   UNSPLITVOC:	(AlmazoraEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mazoraE+ap
        GLOSS:	the+farm/bowery+[fem.sg.]

 INPUT STRING:	الصنيه
     IS_TRANS:	AlSnyh
        INDEX:	P1W2
      OFFSETS:	8-14
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AlSnyh)
          POS:	TYPO
          VOC:	AlSnyh
        GLOSS:	nogloss

 INPUT STRING:	هى
     IS_TRANS:	hY
        INDEX:	P1W3
      OFFSETS:	15-17
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	معركه
     IS_TRANS:	mErkh
        INDEX:	P1W4
      OFFSETS:	18-23
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEorakap_1]
   UNSPLITVOC:	(maEorakap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	maEorak+ap
        GLOSS:	battle/campaign/battles/campaigns+[fem.sg.]

 INPUT STRING:	بين
     IS_TRANS:	byn
        INDEX:	P1W5
      OFFSETS:	24-27
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[biyon_1]
   UNSPLITVOC:	(biyon)
          POS:	NOUN
          VOC:	biyon
        GLOSS:	between/betwen/among

 INPUT STRING:	كتيبه
     IS_TRANS:	ktybh
        INDEX:	P1W6
      OFFSETS:	28-33
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[katiybap_1]
   UNSPLITVOC:	(katiybap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	katiyb+ap
        GLOSS:	brigade/squadron/corps/brigades/squadrons+[fem.sg.]

 INPUT STRING:	16
     IS_TRANS:	16
        INDEX:	P1W7
      OFFSETS:	34-36
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(16)
          POS:	NOUN_NUM
          VOC:	16
        GLOSS:	16

 INPUT STRING:	المشاه
     IS_TRANS:	Alm$Ah
        INDEX:	P1W8
      OFFSETS:	37-43
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$Ah_1]
   UNSPLITVOC:	(Almu$Ah)
          POS:	DET+NOUN
          VOC:	Al+mu$Ah
        GLOSS:	the+infantry/pedestrians/going/walking/on fot/walker

 INPUT STRING:	المصريه
     IS_TRANS:	AlmSryh
        INDEX:	P1W9
      OFFSETS:	44-51
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+maSoriy~+ap
        GLOSS:	the+Egyptian+[fem.sg.]

 INPUT STRING:	وكتيبه
     IS_TRANS:	wktybh
        INDEX:	P1W10
      OFFSETS:	52-58
       TOKENS:	P1W10-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[katiybap_1]
   UNSPLITVOC:	(wikatiybap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+katiyb+ap
        GLOSS:	and+brigade/squadron/corps/brigades/squadrons+[fem.sg.]

 INPUT STRING:	المظلات
     IS_TRANS:	AlmZlAt
        INDEX:	P1W11
      OFFSETS:	59-66
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miZal~ap_2]
   UNSPLITVOC:	(AlmiZal~At)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+miZal~+At
        GLOSS:	the+parachute+[fem.pl.]

 INPUT STRING:	الاسرائيليه
     IS_TRANS:	AlAsrA}ylyh
        INDEX:	P1W12
      OFFSETS:	67-78
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isirA}iyliy_1]
   UNSPLITVOC:	(Al<isirA}iylay~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+<isirA}iylay~+ap
        GLOSS:	the+Israeli+[fem.sg.]

 INPUT STRING:	هذه
     IS_TRANS:	h*h
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*ihi)
          POS:	DEM_PRON_FS
          VOC:	ha*ihi
        GLOSS:	these/this

 INPUT STRING:	المعركه
     IS_TRANS:	AlmErkh
        INDEX:	P2W2
      OFFSETS:	4-11
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEorakap_1]
   UNSPLITVOC:	(AlmaEorakap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maEorak+ap
        GLOSS:	the+battle/campaign/battles/campaigns+[fem.sg.]

 INPUT STRING:	لم
     IS_TRANS:	lm
        INDEX:	P2W3
      OFFSETS:	12-14
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lam_1]
   UNSPLITVOC:	(lam)
          POS:	NEG_PART
          VOC:	lam
        GLOSS:	did not

 INPUT STRING:	يتحدث
     IS_TRANS:	ytHdv
        INDEX:	P2W4
      OFFSETS:	15-20
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHad~av_1]
   UNSPLITVOC:	(yitoHad~iv)
          POS:	IV3MS+IV
          VOC:	yi+toHad~iv
        GLOSS:	he/it+speak/discuss

 INPUT STRING:	عنها
     IS_TRANS:	EnhA
        INDEX:	P2W5
      OFFSETS:	21-25
       TOKENS:	P2W5-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean~ahA)
          POS:	PREP+PRON_3FS
          VOC:	Ean~+hA
        GLOSS:	(away) from/off/about/on/over+her/it

 INPUT STRING:	اى
     IS_TRANS:	AY
        INDEX:	P2W6
      OFFSETS:	26-28
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	طرف
     IS_TRANS:	Trf
        INDEX:	P2W7
      OFFSETS:	29-32
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Taraf_1]
   UNSPLITVOC:	(Taraf)
          POS:	NOUN
          VOC:	Taraf
        GLOSS:	participant/player/involved member/party/side/parties/sides

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P2W8
      OFFSETS:	33-35
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not/non-

 INPUT STRING:	الطرف
     IS_TRANS:	AlTrf
        INDEX:	P2W9
      OFFSETS:	36-41
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Taraf_1]
   UNSPLITVOC:	(AlT~araf)
          POS:	DET+NOUN
          VOC:	Al+Taraf
        GLOSS:	the+participant/player/involved member/party/side/parties/sides

 INPUT STRING:	المهزوم
     IS_TRANS:	Almhzwm
        INDEX:	P2W10
      OFFSETS:	42-49
       TOKENS:	P2W11-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mahozuwm_1]
   UNSPLITVOC:	(Almahozuwm)
          POS:	DET+ADJ
          VOC:	Al+mahozuwm
        GLOSS:	the+defeated

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P2W11
      OFFSETS:	50-53
       TOKENS:	P2W12-P2W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not/non-

 INPUT STRING:	الطرف
     IS_TRANS:	AlTrf
        INDEX:	P2W12
      OFFSETS:	54-59
       TOKENS:	P2W14-P2W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Taraf_1]
   UNSPLITVOC:	(AlT~araf)
          POS:	DET+NOUN
          VOC:	Al+Taraf
        GLOSS:	the+participant/player/involved member/party/side/parties/sides

