 INPUT STRING:	محامي
     IS_TRANS:	mHAmy
        INDEX:	P1W1
      OFFSETS:	0-5
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHAmiy_1]
   UNSPLITVOC:	(muHAmiy)
          POS:	NOUN
          VOC:	muHAmiy
        GLOSS:	lawyer/defense counsel

 INPUT STRING:	حبيب
     IS_TRANS:	Hbyb
        INDEX:	P1W2
      OFFSETS:	6-10
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Habiyb_2]
   UNSPLITVOC:	(Habiyb)
          POS:	NOUN_PROP
          VOC:	Habiyb
        GLOSS:	Habib/Habeeb

 INPUT STRING:	العادلي
     IS_TRANS:	AlEAdly
        INDEX:	P1W3
      OFFSETS:	11-18
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdiliy_1]
   UNSPLITVOC:	(AlEAdoliy)
          POS:	DET+NOUN_PROP
          VOC:	Al+EAdoliy
        GLOSS:	the+Adli/Adly

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P1W4
      OFFSETS:	19-21
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[maE_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	something with

 INPUT STRING:	وائل
     IS_TRANS:	wA}l
        INDEX:	P1W5
      OFFSETS:	22-26
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wA}il_1]
   UNSPLITVOC:	(wA}il)
          POS:	NOUN_PROP
          VOC:	wA}il
        GLOSS:	Wael/Wa'il

 INPUT STRING:	الابراشي
     IS_TRANS:	AlAbrA$y
        INDEX:	P1W6
      OFFSETS:	27-35
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iborA$iy_1]
   UNSPLITVOC:	(Al<iborA$iy)
          POS:	DET+NOUN_PROP
