 INPUT STRING:	حمله
     IS_TRANS:	Hmlh
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamolap_1]
   UNSPLITVOC:	(Hamolap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Hamol+ap
        GLOSS:	campaign/expedition/attack/campaigns/expeditions/attacks+[fem.sg.]

 INPUT STRING:	تعليم
     IS_TRANS:	tElym
        INDEX:	P1W2
      OFFSETS:	5-10
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEoliym_1]
   UNSPLITVOC:	(taEoliym)
          POS:	NOUN.VN
          VOC:	taEoliym
        GLOSS:	education/teaching/instructions/precepts

 INPUT STRING:	شركات
     IS_TRANS:	$rkAt
        INDEX:	P1W3
      OFFSETS:	11-16
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$arikap_1]
   UNSPLITVOC:	($arikAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	$arik+At
        GLOSS:	company/corporation/companies/corporations+[fem.pl.]

 INPUT STRING:	المحمول
     IS_TRANS:	AlmHmwl
        INDEX:	P1W4
      OFFSETS:	17-24
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHomuwl_1]
   UNSPLITVOC:	(AlmaHomuwl)
          POS:	DET+NOUN
          VOC:	Al+maHomuwl
        GLOSS:	the+mobile (phone)

 INPUT STRING:	احترام
     IS_TRANS:	AHtrAm
        INDEX:	P1W5
      OFFSETS:	25-31
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{iHotirAm_1]
   UNSPLITVOC:	(AiHotirAm)
          POS:	NOUN
          VOC:	{iHotirAm
        GLOSS:	respect/honoring

 INPUT STRING:	عملائها
     IS_TRANS:	EmlA}hA
        INDEX:	P1W6
      OFFSETS:	32-39
       TOKENS:	P1W6-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamiyl_1]
   UNSPLITVOC:	(EumalA}hA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	EumalA}+hA
        GLOSS:	clients+its/their/her

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P1W7
      OFFSETS:	40-42
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P1W8
      OFFSETS:	43-48
       TOKENS:	P1W9-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	الشبكه
     IS_TRANS:	Al$bkh
        INDEX:	P1W9
      OFFSETS:	49-55
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$abakap_1]
   UNSPLITVOC:	(Al$~abakap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$abak+ap
        GLOSS:	the+network/system+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P1W10
      OFFSETS:	56-58
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	اديهم
     IS_TRANS:	Adyhm
        INDEX:	P1W11
      OFFSETS:	59-64
       TOKENS:	P1W13-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yad_1]
   UNSPLITVOC:	(Aidiyhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	Aidiy+hum
        GLOSS:	hand+their

 INPUT STRING:	يفصلوها
     IS_TRANS:	yfSlwhA
        INDEX:	P1W12
      OFFSETS:	65-72
       TOKENS:	P1W15-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yifSiluwAhA]
   UNSPLITVOC:	(yifSiluwAhA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:3FS
          VOC:	yi+fSil+uwA+hA
        GLOSS:	they+disconnect+we+it/them/her

 INPUT STRING:	عننا
     IS_TRANS:	EnnA
        INDEX:	P1W13
      OFFSETS:	73-77
       TOKENS:	P1W17-P1W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean~inA)
          POS:	PREP+PRON_1P
          VOC:	Ean~+nA
        GLOSS:	(away) from, off, about, on, over+gloss

 INPUT STRING:	3
     IS_TRANS:	3
        INDEX:	P1W14
      OFFSETS:	78-79
       TOKENS:	P1W19-P1W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(3)
          POS:	NOUN_NUM
          VOC:	3
        GLOSS:	3

 INPUT STRING:	ايام
     IS_TRANS:	AyAm
        INDEX:	P1W15
      OFFSETS:	80-84
       TOKENS:	P1W20-P1W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(Aiy~Am)
          POS:	NOUN
          VOC:	Aiy~Am
        GLOSS:	today/some day/ever/days

 INPUT STRING:	واحنا
     IS_TRANS:	wAHnA
        INDEX:	P1W16
      OFFSETS:	85-90
       TOKENS:	P1W21-P1W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(wiAiHonA)
          POS:	CONJ+PRON_1P
          VOC:	wi+AiHonA
        GLOSS:	and+we

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P1W17
      OFFSETS:	91-93
       TOKENS:	P1W23-P1W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	امس
     IS_TRANS:	Ams
        INDEX:	P1W18
      OFFSETS:	94-97
       TOKENS:	P1W24-P1W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amas~_1]
   UNSPLITVOC:	(>amas~)
          POS:	ADJ_COMP
          VOC:	>amas~
        GLOSS:	most urgent

 INPUT STRING:	الحاجه
     IS_TRANS:	AlHAjh
        INDEX:	P1W19
      OFFSETS:	98-104
       TOKENS:	P1W25-P1W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(AlHAjap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+HAj+ap
        GLOSS:	the+need/needs+[fem.sg.]

 INPUT STRING:	ليها
     IS_TRANS:	lyhA
        INDEX:	P1W20
      OFFSETS:	105-109
       TOKENS:	P1W26-P1W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liyhA)
          POS:	PREP+PRON_3FS
          VOC:	li+hA
        GLOSS:	for+she/it

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P2W1
      OFFSETS:	0-1
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P2W2
      OFFSETS:	2-4
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	تقول
     IS_TRANS:	tqwl
        INDEX:	P2W3
      OFFSETS:	5-9
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(tiquwl)
          POS:	IV2MS+IV
          VOC:	ti+quwl
        GLOSS:	you+said/say/be said/say/(for example)

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P2W4
      OFFSETS:	10-14
       TOKENS:	P2W4-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	العمال
     IS_TRANS:	AlEmAl
        INDEX:	P2W5
      OFFSETS:	15-21
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(AlEum~Al)
          POS:	DET+NOUN
          VOC:	Al+Eum~Al
        GLOSS:	the+workers

 INPUT STRING:	وكده
     IS_TRANS:	wkdh
        INDEX:	P2W6
      OFFSETS:	22-26
       TOKENS:	P2W7-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(wikidah)
          POS:	CONJ+NOUN
          VOC:	wi+kidah
        GLOSS:	and+that way

 INPUT STRING:	وذنبهم
     IS_TRANS:	w*nbhm
        INDEX:	P2W7
      OFFSETS:	27-33
       TOKENS:	P2W9-P2W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wi*anb_1]
   UNSPLITVOC:	(wi*anbhum)
          POS:	CONJ+NOUN+POSS_PRON_3P
          VOC:	wi+*anb+hum
        GLOSS:	and+guilt+their

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P2W8
      OFFSETS:	34-37
       TOKENS:	P2W12-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>iyoh_1]
   UNSPLITVOC:	(>iyoh)
          POS:	INTERROG_PRON
          VOC:	>iyoh
        GLOSS:	what

 INPUT STRING:	هنقولها
     IS_TRANS:	hnqwlhA
        INDEX:	P3W1
      OFFSETS:	0-7
       TOKENS:	P3W1-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(hanquwllahA)
          POS:	FUT_PART+IV1P+IV+PREP+PRON_3FS
          VOC:	ha+n+quwl+la+hA
        GLOSS:	will+we+say+to+she/it

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P3W2
      OFFSETS:	8-10
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P3W3
      OFFSETS:	11-14
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/days

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P3W4
      OFFSETS:	15-19
       TOKENS:	P3W7-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	one

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P3W5
      OFFSETS:	20-22
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P4W1
      OFFSETS:	0-2
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هيخسر
     IS_TRANS:	hyxsr
        INDEX:	P4W2
      OFFSETS:	3-8
       TOKENS:	P4W2-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xisir_1]
   UNSPLITVOC:	(Hayixosar)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+xosar
        GLOSS:	will+he/it+lose

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P4W3
      OFFSETS:	9-13
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	الشركه
     IS_TRANS:	Al$rkh
        INDEX:	P5W2
      OFFSETS:	5-11
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$arikap_1]
   UNSPLITVOC:	(Al$~arikap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$arik+ap
        GLOSS:	the+company/corporation/companies/corporations+[fem.sg.]

 INPUT STRING:	تعرف
     IS_TRANS:	tErf
        INDEX:	P5W3
      OFFSETS:	12-16
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earaf_1]
   UNSPLITVOC:	(tiEoraf)
          POS:	IV3FS+IV
          VOC:	ti+Eoraf
        GLOSS:	it/they/she+know/be known

 INPUT STRING:	اننا
     IS_TRANS:	AnnA
        INDEX:	P5W4
      OFFSETS:	17-21
       TOKENS:	P5W5-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~inA)
          POS:	SUB_CONJ+PRON_1P
          VOC:	<in~+nA
        GLOSS:	that+we

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P5W5
      OFFSETS:	22-24
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	قليلين
     IS_TRANS:	qlylyn
        INDEX:	P5W6
      OFFSETS:	25-31
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qulay~il_1]
   UNSPLITVOC:	(qulay~iliyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	qulay~il+iyn
        GLOSS:	have no value/powerless+[masc.pl.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P5W7
      OFFSETS:	32-34
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P5W8
      OFFSETS:	35-40
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/country/countries

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P6W1
      OFFSETS:	0-2
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	ازمه
     IS_TRANS:	Azmh
        INDEX:	P6W2
      OFFSETS:	3-7
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>azomap_1]
   UNSPLITVOC:	(>azomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	>azom+ap
        GLOSS:	crisis/crises+[fem.sg.]

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P6W3
      OFFSETS:	8-12
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P7W1
      OFFSETS:	0-3
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	عجبك
     IS_TRANS:	Ejbk
        INDEX:	P7W2
      OFFSETS:	4-8
       TOKENS:	P7W2-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eajab_1]
   UNSPLITVOC:	(Eajabik)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:2FS
          VOC:	Eajab+(null)+ik
        GLOSS:	please+he/it+you

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P7W3
      OFFSETS:	9-13
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P7W4
      OFFSETS:	14-17
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
