 INPUT STRING:	الموقف
     IS_TRANS:	Almwqf
        INDEX:	P1W1
      OFFSETS:	0-6
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawqif_1]
   UNSPLITVOC:	(Almawqif)
          POS:	DET+NOUN
          VOC:	Al+mawqif
        GLOSS:	the+position

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P1W2
      OFFSETS:	7-9
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	حصلي
     IS_TRANS:	HSly
        INDEX:	P1W3
      OFFSETS:	10-14
       TOKENS:	P1W3-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(HaSal~iy)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:1S
          VOC:	HaSal+(null)+niy
        GLOSS:	occur/happen/take place+he/it+me

 INPUT STRING:	بجد
     IS_TRANS:	bjd
        INDEX:	P1W4
      OFFSETS:	15-18
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bijad~_1]
   UNSPLITVOC:	(bijad~)
          POS:	NOUN
          VOC:	bijad~
        GLOSS:	actually

 INPUT STRING:	امبارح
     IS_TRANS:	AmbArH
        INDEX:	P1W5
      OFFSETS:	19-25
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AimobAriH_1]
   UNSPLITVOC:	(AimobAriH)
          POS:	NOUN
          VOC:	AimobAriH
        GLOSS:	yesterday

 INPUT STRING:	احمممممممممممممم
     IS_TRANS:	AHmmmmmmmmmmmmmm
        INDEX:	P1W6
      OFFSETS:	26-42
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AiHim_1]
   UNSPLITVOC:	(AiHim)
          POS:	INTERJ
          VOC:	AiHim
        GLOSS:	start to speak

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	عندنا
     IS_TRANS:	EndnA
        INDEX:	P2W2
      OFFSETS:	5-10
       TOKENS:	P2W2-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Einod_1]
   UNSPLITVOC:	(EinodnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Einod+nA
        GLOSS:	with / at+us

 INPUT STRING:	مادة
     IS_TRANS:	mAdp
        INDEX:	P2W3
      OFFSETS:	11-15
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAd~ap_1]
   UNSPLITVOC:	(mAd~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mAd~+ap
        GLOSS:	subject/topic+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P2W4
      OFFSETS:	16-18
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الكلية
     IS_TRANS:	Alklyp
        INDEX:	P2W5
      OFFSETS:	19-25
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~iy~ap_1]
   UNSPLITVOC:	(Alkul~iy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
