 INPUT STRING:	عمر
     IS_TRANS:	Emr
        INDEX:	P1W1
      OFFSETS:	0-3
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumor_1]
   UNSPLITVOC:	(Eumor)
          POS:	NOUN
          VOC:	Eumor
        GLOSS:	age/life

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P1W2
      OFFSETS:	4-6
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	الفلوس
     IS_TRANS:	Alflws
        INDEX:	P1W3
      OFFSETS:	7-13
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fuluws_1]
   UNSPLITVOC:	(Alfuluws)
          POS:	DET+NOUN
          VOC:	Al+fuluws
        GLOSS:	the+fils (small coins)/money

 INPUT STRING:	تكون
     IS_TRANS:	tkwn
        INDEX:	P1W4
      OFFSETS:	14-18
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(tikuwn)
          POS:	IV3FS+IV
          VOC:	ti+kuwn
        GLOSS:	it/they/she+be

 INPUT STRING:	تمن
     IS_TRANS:	tmn
        INDEX:	P1W5
      OFFSETS:	19-22
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taman_1]
   UNSPLITVOC:	(taman)
          POS:	NOUN
          VOC:	taman
        GLOSS:	value/price

 INPUT STRING:	للكرامة
     IS_TRANS:	llkrAmp
        INDEX:	P1W6
      OFFSETS:	23-30
       TOKENS:	P1W6-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[karAmap_1]
   UNSPLITVOC:	(lilkarAmap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+karAm+ap
        GLOSS:	for/to+the+dignity/generosity+[fem.sg.]

 INPUT STRING:	كلام
     IS_TRANS:	klAm
        INDEX:	P1W7
      OFFSETS:	31-35
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(kalAm)
          POS:	NOUN
          VOC:	kalAm
        GLOSS:	speech/statement/remark/talk/saying

 INPUT STRING:	كويس
     IS_TRANS:	kwys
        INDEX:	P1W8
      OFFSETS:	36-40
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuway~is_1]
   UNSPLITVOC:	(kuway~is)
          POS:	ADJ
          VOC:	kuway~is
        GLOSS:	good

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P1W9
      OFFSETS:	41-43
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P1W10
      OFFSETS:	44-48
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P1W11
      OFFSETS:	49-53
       TOKENS:	P1W12-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	on/above+matter/affair/case

 INPUT STRING:	نصون
     IS_TRANS:	nSwn
        INDEX:	P1W12
      OFFSETS:	54-58
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAn_1]
   UNSPLITVOC:	(niSuwn)
          POS:	IV1P+IV
          VOC:	ni+Suwn
        GLOSS:	we+maintain/preserve/protect

 INPUT STRING:	كرامتنا
     IS_TRANS:	krAmtnA
        INDEX:	P1W13
      OFFSETS:	59-66
       TOKENS:	P1W15-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[karAmap_1]
   UNSPLITVOC:	(karAmitnA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	karAm+ap+nA
        GLOSS:	dignity/generosity+[fem.sg.]+our

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P1W14
      OFFSETS:	67-71
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	ADJ
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	نكون
     IS_TRANS:	nkwn
        INDEX:	P1W15
      OFFSETS:	72-76
       TOKENS:	P1W18-P1W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(nikuwn)
          POS:	IV1P+IV
          VOC:	ni+kuwn
        GLOSS:	we+be

 INPUT STRING:	مكتفين
     IS_TRANS:	mktfyn
        INDEX:	P1W16
      OFFSETS:	77-83
       TOKENS:	P1W19-P1W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mukotafiy_1]
   UNSPLITVOC:	(mukotafiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	mukotaf+iyn
        GLOSS:	self content/self satisfied+[masc.pl.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P1W17
      OFFSETS:	84-85
       TOKENS:	P1W20-P1W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	نعول
     IS_TRANS:	nEwl
        INDEX:	P1W18
      OFFSETS:	86-90
       TOKENS:	P1W21-P1W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aEal_1]
   UNSPLITVOC:	(niEuwl)
          POS:	IV1P+IV
          VOC:	ni+Euwl
        GLOSS:	we+take in charge

 INPUT STRING:	انفسنا
     IS_TRANS:	AnfsnA
        INDEX:	P1W19
      OFFSETS:	91-97
       TOKENS:	P1W22-P1W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[nafs_1]
   UNSPLITVOC:	(>anofusnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	>anofus+nA
        GLOSS:	selves+our

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P1W20
      OFFSETS:	98-99
       TOKENS:	P1W24-P1W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	نبطل
     IS_TRANS:	nbTl
        INDEX:	P1W21
      OFFSETS:	100-104
       TOKENS:	P1W25-P1W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baT~al_1]
   UNSPLITVOC:	(nibaT~al)
          POS:	IV1P+IV
          VOC:	ni+baT~al
        GLOSS:	we+thwart/abolish

 INPUT STRING:	ناخد
     IS_TRANS:	nAxd
        INDEX:	P1W22
      OFFSETS:	105-109
       TOKENS:	P1W26-P1W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaxad_1]
   UNSPLITVOC:	(nAxud)
          POS:	IV1P+IV
          VOC:	n+Axud
        GLOSS:	we+take/begin

 INPUT STRING:	معونة
     IS_TRANS:	mEwnp
        INDEX:	P1W23
      OFFSETS:	110-115
       TOKENS:	P1W27-P1W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEuwnap_1]
   UNSPLITVOC:	(maEuwnap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	maEuwn+ap
        GLOSS:	aid/assistance/support+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P1W24
      OFFSETS:	116-118
       TOKENS:	P1W28-P1W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P1W25
      OFFSETS:	119-121
       TOKENS:	P1W29-P1W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	one (of)/someone/anyone/no-one

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P1W26
      OFFSETS:	122-123
       TOKENS:	P1W30-P1W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P1W27
      OFFSETS:	124-126
       TOKENS:	P1W31-P1W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
