 INPUT STRING:	الحياة
     IS_TRANS:	AlHyAp
        INDEX:	P1W1
      OFFSETS:	1-7
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HayAp_1]
   UNSPLITVOC:	(AlHayAp)
          POS:	DET+NOUN
          VOC:	Al+HayAp
        GLOSS:	the+life/lives

 INPUT STRING:	داخل
     IS_TRANS:	dAxl
        INDEX:	P1W2
      OFFSETS:	8-12
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAxil_1]
   UNSPLITVOC:	(dAxil)
          POS:	NOUN
          VOC:	dAxil
        GLOSS:	inside of/interior/inside

 INPUT STRING:	الصندوق
     IS_TRANS:	AlSndwq
        INDEX:	P1W3
      OFFSETS:	13-20
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sanoduwq_1]
   UNSPLITVOC:	(AlS~anoduwq)
          POS:	DET+NOUN
          VOC:	Al+Sanoduwq
        GLOSS:	the+box/bin

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P2W1
      OFFSETS:	1-3
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	زيارة
     IS_TRANS:	zyArp
        INDEX:	P2W2
      OFFSETS:	4-9
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ziyArap_1]
   UNSPLITVOC:	(ziyArap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	ziyAr+ap
        GLOSS:	visit+[fem.sg.]

 INPUT STRING:	قصيرة
     IS_TRANS:	qSyrp
        INDEX:	P2W3
      OFFSETS:	10-15
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quSay~ar_1]
   UNSPLITVOC:	(quSay~arap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	quSay~ar+ap
        GLOSS:	short/small+[fem.sg.]

 INPUT STRING:	لبيروت
     IS_TRANS:	lbyrwt
        INDEX:	P2W4
      OFFSETS:	16-22
       TOKENS:	P2W4-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayruwt_1]
   UNSPLITVOC:	(libayruwt)
          POS:	PREP+NOUN_PROP
          VOC:	li+bayruwt
        GLOSS:	for/to+Beirut

 INPUT STRING:	الجميلة
     IS_TRANS:	Aljmylp
        INDEX:	P2W5
      OFFSETS:	23-30
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyl_1]
   UNSPLITVOC:	(Aljamiylap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+jamiyl+ap
        GLOSS:	the+beautiful/nice/fine+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P2W6
      OFFSETS:	30-31
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	الجميلة
     IS_TRANS:	Aljmylp
        INDEX:	P2W7
      OFFSETS:	32-39
       TOKENS:	P2W8-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyl_1]
   UNSPLITVOC:	(Aljamiylap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+jamiyl+ap
