 INPUT STRING:	واحنا
     IS_TRANS:	wAHnA
        INDEX:	P1W1
      OFFSETS:	0-5
       TOKENS:	P1W1-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(wiAiHonA)
          POS:	CONJ+PRON_1P
          VOC:	wi+AiHonA
        GLOSS:	and+we

 INPUT STRING:	عندنا
     IS_TRANS:	EndnA
        INDEX:	P1W2
      OFFSETS:	6-11
       TOKENS:	P1W3-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(EanodinA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Eanod+nA
        GLOSS:	with/at+our

 INPUT STRING:	ازمه
     IS_TRANS:	Azmh
        INDEX:	P1W3
      OFFSETS:	12-16
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>azomap_1]
   UNSPLITVOC:	(>azomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	>azom+ap
        GLOSS:	crisis/crises+[fem.sg.]

 INPUT STRING:	فيالنزن
     IS_TRANS:	fyAlnzn
        INDEX:	P1W4
      OFFSETS:	17-24
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(fyAlnzn)
          POS:	FOREIGN
          VOC:	fyAlnzn
        GLOSS:	nogloss

 INPUT STRING:	والسولار
     IS_TRANS:	wAlswlAr
        INDEX:	P1W5
      OFFSETS:	25-33
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(wAlswlAr)
          POS:	FOREIGN
          VOC:	wAlswlAr
        GLOSS:	nogloss

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P2W1
      OFFSETS:	0-2
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	حولا
     IS_TRANS:	HwlA
        INDEX:	P2W2
      OFFSETS:	3-7
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hawol_2]
   UNSPLITVOC:	(HawolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	Hawol+AF
        GLOSS:	power+[acc.indef.]

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P2W3
      OFFSETS:	8-11
       TOKENS:	P2W3-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(walA)
          POS:	CONJ+CONJ
          VOC:	wa+lA
        GLOSS:	and+nor, neither

 INPUT STRING:	قوة
     IS_TRANS:	qwp
        INDEX:	P2W4
      OFFSETS:	12-15
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quw~ap_1]
   UNSPLITVOC:	(quw~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	quw~+ap
        GLOSS:	power/strength/force/violence/armed forces/power/forces+[fem.sg.]

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P2W5
      OFFSETS:	16-19
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	PREP
          VOC:	<il~A
        GLOSS:	except for

 INPUT STRING:	بالله
     IS_TRANS:	bAllh
        INDEX:	P2W6
      OFFSETS:	20-25
       TOKENS:	P2W7-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(biAll~ah)
          POS:	PREP+NOUN_PROP
          VOC:	bi+All~ah
        GLOSS:	with/by+God/Allah

 INPUT STRING:	طب
     IS_TRANS:	Tb
        INDEX:	P3W1
      OFFSETS:	0-2
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tab_1]
   UNSPLITVOC:	(Tab)
          POS:	INTERJ
          VOC:	Tab
        GLOSS:	ok

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P3W2
      OFFSETS:	3-5
