 INPUT STRING:	تم
     IS_TRANS:	tm
        INDEX:	P1W1
      OFFSETS:	0-2
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tam~_1]
   UNSPLITVOC:	(tam~)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	tam~+(null)
        GLOSS:	conclude/take place+he/it

 INPUT STRING:	القبض
     IS_TRANS:	AlqbD
        INDEX:	P1W2
      OFFSETS:	3-8
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaboD_1]
   UNSPLITVOC:	(AlqaboD)
          POS:	DET+NOUN
          VOC:	Al+qaboD
        GLOSS:	the+arrest/seizure

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P1W3
      OFFSETS:	9-12
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الجاسوس
     IS_TRANS:	AljAsws
        INDEX:	P1W4
      OFFSETS:	13-20
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAsuws_1]
   UNSPLITVOC:	(AljAsuws)
          POS:	DET+NOUN
          VOC:	Al+jAsuws
        GLOSS:	the+spy/spies

 INPUT STRING:	الاسرائيلي
     IS_TRANS:	AlAsrA}yly
        INDEX:	P1W5
      OFFSETS:	21-31
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<isorA}iyliy~_1]
   UNSPLITVOC:	(Al<isorA}iyliy~)
          POS:	DET+NOUN
          VOC:	Al+<isorA}iyliy~
        GLOSS:	the+Israeli

 INPUT STRING:	المتهم
     IS_TRANS:	Almthm
        INDEX:	P1W6
      OFFSETS:	32-38
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mut~aham_1]
   UNSPLITVOC:	(Almut~aham)
          POS:	DET+ADJ.VN
          VOC:	Al+mut~aham
        GLOSS:	the+accused/indicted/suspected

 INPUT STRING:	بالتخابر
     IS_TRANS:	bAltxAbr
        INDEX:	P1W7
      OFFSETS:	39-47
       TOKENS:	P1W7-P1W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[taxAbur_1]
   UNSPLITVOC:	(biAltaxAbur)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+taxAbur
        GLOSS:	with/by+the+communication/intelligence contact

 INPUT STRING:	لصالح
     IS_TRANS:	lSAlH
        INDEX:	P1W8
      OFFSETS:	48-53
       TOKENS:	P1W9-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAliH_1]
   UNSPLITVOC:	(liSAliH)
          POS:	PREP+NOUN
          VOC:	li+SAliH
        GLOSS:	for/to+advantage/interest

 INPUT STRING:	اسرئايل
     IS_TRANS:	Asr}Ayl
        INDEX:	P1W9
      OFFSETS:	54-61
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Asr}Ayl)
          POS:	TYPO
          VOC:	Asr}Ayl
        GLOSS:	nogloss

 INPUT STRING:	والمفاجأة
     IS_TRANS:	wAlmfAj>p
        INDEX:	P1W10
      OFFSETS:	62-71
       TOKENS:	P1W12-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mufAja>ap_1]
   UNSPLITVOC:	(waAlmufAja>ap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wa+Al+mufAja>+ap
        GLOSS:	and+the+surprise+[fem.sg.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P1W11
      OFFSETS:	72-74
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الجاسوس
     IS_TRANS:	AljAsws
        INDEX:	P1W12
      OFFSETS:	75-82
       TOKENS:	P1W15-P1W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAsuws_1]
   UNSPLITVOC:	(AljAsuws)
          POS:	DET+NOUN
          VOC:	Al+jAsuws
        GLOSS:	the+spy/spies

 INPUT STRING:	الاسرائلي
     IS_TRANS:	AlAsrA}ly
        INDEX:	P1W13
      OFFSETS:	83-92
       TOKENS:	P1W16-P1W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisorA}iliy_1]
   UNSPLITVOC:	(AlAisorA}iliy)
          POS:	DET+ADJ
          VOC:	Al+AisorA}iliy
        GLOSS:	the+Israeli

 INPUT STRING:	وجد
     IS_TRANS:	wjd
        INDEX:	P1W14
      OFFSETS:	93-96
       TOKENS:	P1W17-P1W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wajad_1]
   UNSPLITVOC:	(wujid())
          POS:	PV_PASS+PVSUFF_SUBJ:3MS
          VOC:	wujid+(null)
        GLOSS:	be found/exist+he/it [verb]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P1W15
      OFFSETS:	97-99
       TOKENS:	P1W18-P1W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ميدان
     IS_TRANS:	mydAn
        INDEX:	P1W16
      OFFSETS:	100-105
       TOKENS:	P1W19-P1W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miydAn_1]
   UNSPLITVOC:	(miydAn)
          POS:	NOUN
          VOC:	miydAn
        GLOSS:	square

 INPUT STRING:	التحرير
     IS_TRANS:	AltHryr
        INDEX:	P1W17
      OFFSETS:	106-113
       TOKENS:	P1W20-P1W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoriyr_1]
   UNSPLITVOC:	(Alt~aHoriyr)
          POS:	DET+NOUN_PROP
          VOC:	Al+taHoriyr
        GLOSS:	the+Tahrir

 INPUT STRING:	حيث
     IS_TRANS:	Hyv
        INDEX:	P1W18
      OFFSETS:	114-117
       TOKENS:	P1W21-P1W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hayov_1]
   UNSPLITVOC:	(Hayov)
          POS:	REL_ADV
          VOC:	Hayov
        GLOSS:	where

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P1W19
      OFFSETS:	118-121
       TOKENS:	P1W22-P1W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	يقوم
     IS_TRANS:	yqwm
        INDEX:	P1W20
      OFFSETS:	122-126
       TOKENS:	P1W23-P1W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(yiquwm)
          POS:	IV3MS+IV
          VOC:	yi+quwm
        GLOSS:	he/it+do

 INPUT STRING:	بالتخابر
     IS_TRANS:	bAltxAbr
        INDEX:	P1W21
      OFFSETS:	127-135
       TOKENS:	P1W24-P1W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taxAbur_1]
   UNSPLITVOC:	(biAlt~axAbur)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+taxAbur
        GLOSS:	with/by+the+communication/intelligence contact

 INPUT STRING:	والدعوة
     IS_TRANS:	wAldEwp
        INDEX:	P1W22
      OFFSETS:	136-143
       TOKENS:	P1W26-P1W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEowap_1]
   UNSPLITVOC:	(wiAldaEowap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+daEow+ap
        GLOSS:	and+the+call/invitation/supplication+[fem.sg.]

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P1W23
      OFFSETS:	144-147
       TOKENS:	P1W28-P1W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	احداث
     IS_TRANS:	AHdAv
        INDEX:	P1W24
      OFFSETS:	148-153
       TOKENS:	P1W29-P1W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadav_1]
   UNSPLITVOC:	(>aHodAv)
          POS:	NOUN
          VOC:	>aHodAv
        GLOSS:	events

 INPUT STRING:	شغب
     IS_TRANS:	$gb
        INDEX:	P1W25
      OFFSETS:	154-157
       TOKENS:	P1W30-P1W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$agab_1]
   UNSPLITVOC:	($agab)
          POS:	NOUN
          VOC:	$agab
        GLOSS:	unrest/disturbance

 INPUT STRING:	ونشرت
     IS_TRANS:	wn$rt
        INDEX:	P1W26
      OFFSETS:	158-163
       TOKENS:	P1W31-P1W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[na$ar_1]
   UNSPLITVOC:	(wina$arit)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS
          VOC:	wi+na$ar+it
        GLOSS:	and+publish/announce/spread+it/they/she [verb]

 INPUT STRING:	العديد
     IS_TRANS:	AlEdyd
        INDEX:	P1W27
      OFFSETS:	164-170
       TOKENS:	P1W33-P1W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eadiyd_1]
   UNSPLITVOC:	(AlEadiyd)
          POS:	DET+ADJ
          VOC:	Al+Eadiyd
        GLOSS:	the+numerous/many

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P1W28
      OFFSETS:	171-173
       TOKENS:	P1W34-P1W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	المواقع
