 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P1W1
      OFFSETS:	0-5
       TOKENS:	P1W1-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	with/by+Allah/God

 INPUT STRING:	حكومتنا
     IS_TRANS:	HkwmtnA
        INDEX:	P1W2
      OFFSETS:	6-13
       TOKENS:	P1W3-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukuwmap_1]
   UNSPLITVOC:	(HukuwmatnA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	Hukuwm+ap+nA
        GLOSS:	government/administration+[fem.sg.]+our

 INPUT STRING:	الرشيدة
     IS_TRANS:	Alr$ydp
        INDEX:	P1W3
      OFFSETS:	14-21
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra$iyd_2]
   UNSPLITVOC:	(Alr~a$iydap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+ra$iyd+ap
        GLOSS:	the+rational/mature+[fem.sg.]

 INPUT STRING:	الحكيمة
     IS_TRANS:	AlHkymp
        INDEX:	P1W4
      OFFSETS:	22-29
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlHakiym_1]
   UNSPLITVOC:	(AlHakiymap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Hakiym+ap
        GLOSS:	the+wise/sage+[fem.sg.]

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P1W5
      OFFSETS:	30-33
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	مكنش
     IS_TRANS:	mkn$
        INDEX:	P1W6
      OFFSETS:	34-38
       TOKENS:	P1W8-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kan~_1]
   UNSPLITVOC:	(mA_kan~i$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3MS+NEG_PART
          VOC:	mA+kan~+(null)+$
        GLOSS:	not+be/was/were+he/it+not

 INPUT STRING:	ليها
     IS_TRANS:	lyhA
        INDEX:	P1W7
      OFFSETS:	39-43
       TOKENS:	P1W11-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liyhA)
          POS:	PREP+PRON_3FS
          VOC:	li+hA
        GLOSS:	to/for+she/it

 INPUT STRING:	اى
     IS_TRANS:	AY
        INDEX:	P1W8
      OFFSETS:	44-46
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	لازمة
     IS_TRANS:	lAzmp
        INDEX:	P1W9
      OFFSETS:	47-52
       TOKENS:	P1W14-P1W14
