 INPUT STRING:	يقول
     IS_TRANS:	yqwl
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(yaquwl)
          POS:	IV3MS+IV
          VOC:	ya+quwl
        GLOSS:	he/it+said/say/be said/(for example)

 INPUT STRING:	الدكتور
     IS_TRANS:	Aldktwr
        INDEX:	P1W2
      OFFSETS:	5-12
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dukotawr_1]
   UNSPLITVOC:	(Ald~ukotawr)
          POS:	DET+NOUN
          VOC:	Al+dukotawr
        GLOSS:	the+doctor/Dr./doctors

 INPUT STRING:	هشام
     IS_TRANS:	h$Am
        INDEX:	P1W3
      OFFSETS:	13-17
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hi$Am_1]
   UNSPLITVOC:	(hi$Am)
          POS:	NOUN_PROP
          VOC:	hi$Am
        GLOSS:	Hisham/Hicham

 INPUT STRING:	عزمى
     IS_TRANS:	EzmY
        INDEX:	P1W4
      OFFSETS:	18-22
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eazomiy_1]
   UNSPLITVOC:	(Eazomiy)
          POS:	NOUN_PROP
          VOC:	Eazomiy
        GLOSS:	Azmi

 INPUT STRING:	/
     IS_TRANS:	/
        INDEX:	P1W5
      OFFSETS:	23-24
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(/)
          POS:	PUNC
          VOC:	/
        GLOSS:	nogloss

 INPUT STRING:	حفظه
     IS_TRANS:	HfZh
        INDEX:	P1W6
      OFFSETS:	25-29
       TOKENS:	P1W6-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HafaZ_1]
   UNSPLITVOC:	(HafaZuh)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3MS
          VOC:	HafaZ+(null)+uh
        GLOSS:	preserve/protect/guarantee/maintain+he/it+it/him

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P1W7
      OFFSETS:	30-34
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P1W8
      OFFSETS:	35-37
       TOKENS:	P1W9-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	رده
     IS_TRANS:	rdh
        INDEX:	P1W9
      OFFSETS:	38-41
       TOKENS:	P1W10-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rad_1]
   UNSPLITVOC:	(raduh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	rad+uh
        GLOSS:	answer/response+his/its

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P1W10
      OFFSETS:	42-45
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	المقالة
     IS_TRANS:	AlmqAlp
        INDEX:	P1W11
      OFFSETS:	46-53
       TOKENS:	P1W13-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maqAlap_1]
   UNSPLITVOC:	(AlmaqAlap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maqAl+ap
        GLOSS:	the+article/essay/articles/essays+[fem.sg.]

 INPUT STRING:	السابقة
     IS_TRANS:	AlsAbqp
        INDEX:	P1W12
      OFFSETS:	54-61
       TOKENS:	P1W14-P1W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sAbiq_1]
   UNSPLITVOC:	(AlsAbiqap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+sAbiq+ap
        GLOSS:	the+former/previous/preceding+[fem.sg.]

 INPUT STRING:	جزاك
     IS_TRANS:	jzAk
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jazay_1]
   UNSPLITVOC:	(jazAk)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:2MS
          VOC:	jazA+(null)+ak
        GLOSS:	divide/partition+he/it+you

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P2W2
      OFFSETS:	5-9
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	خيرًا
     IS_TRANS:	xyrFA
        INDEX:	P2W3
      OFFSETS:	10-15
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(xyrFA)
          POS:	TYPO
          VOC:	xyrFA
        GLOSS:	nogloss

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P2W4
      OFFSETS:	16-19
       TOKENS:	P2W5-P2W5
