 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P1W1
      OFFSETS:	0-2
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	FOCUS_PART
          VOC:	mA
        GLOSS:	[emphasis]

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P1W2
      OFFSETS:	3-7
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	قولنا
     IS_TRANS:	qwlnA
        INDEX:	P1W3
      OFFSETS:	8-13
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(quwlnA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	quwl+nA
        GLOSS:	said+we

 INPUT STRING:	الجنزوى
     IS_TRANS:	AljnzwY
        INDEX:	P1W4
      OFFSETS:	14-21
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[janozawiy_1]
   UNSPLITVOC:	(Aljanozawiy)
          POS:	DET+NOUN_PROP
          VOC:	Al+janozawiy
        GLOSS:	the+Ganzory

 INPUT STRING:	تبع
     IS_TRANS:	tbE
        INDEX:	P1W5
      OFFSETS:	22-25
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tabaE_1]
   UNSPLITVOC:	(tabaE)
          POS:	NOUN
          VOC:	tabaE
        GLOSS:	follower/subordinate/followers/partisans

 INPUT STRING:	العيلة
     IS_TRANS:	AlEylp
        INDEX:	P1W6
      OFFSETS:	26-32
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaylap_1]
   UNSPLITVOC:	(AlEaylap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Eayl+ap
        GLOSS:	the+family+[fem.sg.]

 INPUT STRING:	الكريمة
     IS_TRANS:	Alkrymp
        INDEX:	P1W7
      OFFSETS:	33-40
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kariym_2]
   UNSPLITVOC:	(Alkariymap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+kariym+ap
        GLOSS:	the+distinguished/generous/noble/precious+[fem.sg.]

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>ayoh_1]
   UNSPLITVOC:	(>ayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	الوحش
     IS_TRANS:	AlwH$
        INDEX:	P2W2
      OFFSETS:	4-9
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waHo$_1]
   UNSPLITVOC:	(AlwaHo$)
          POS:	DET+NOUN
          VOC:	Al+waHo$
        GLOSS:	the+bad

 INPUT STRING:	الراجل
     IS_TRANS:	AlrAjl
        INDEX:	P3W1
      OFFSETS:	0-6
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAjil_1]
   UNSPLITVOC:	(Alr~Ajil)
          POS:	DET+NOUN
          VOC:	Al+rAjil
        GLOSS:	the+man

 INPUT STRING:	دا
     IS_TRANS:	dA
        INDEX:	P3W2
      OFFSETS:	7-9
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	كويس
     IS_TRANS:	kwys
        INDEX:	P3W3
      OFFSETS:	10-14
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuway~is_1]
   UNSPLITVOC:	(kuway~is)
          POS:	ADJ
          VOC:	kuway~is
        GLOSS:	good

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P3W4
      OFFSETS:	15-18
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	very/much+[acc.indef.]

 INPUT STRING:	ويكفي
     IS_TRANS:	wykfy
        INDEX:	P3W5
      OFFSETS:	19-24
       TOKENS:	P3W5-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kaf~aY_1]
   UNSPLITVOC:	(wiyikaf~iy)
          POS:	PART+IV3MS+IV
          VOC:	wi+yi+kaf~iy
        GLOSS:	[part.]+he/it+be enough/suffice

 INPUT STRING:	انه
     IS_TRANS:	Anh
        INDEX:	P3W6
      OFFSETS:	25-28
       TOKENS:	P3W7-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
